TARGET_PERIOD,period_dt,actual,full_gcsr_eigenvector,full_gcsr_v2_eigenvector,full_gcsr_pagerank,full_gcsr_v2_pagerank,full_gcsr_softmax,full_gcsr_v2_softmax,graph_only_eigenvector,graph_only_v2_eigenvector,graph_only_pagerank,graph_only_v2_pagerank,graph_only_softmax,graph_only_v2_softmax,rs_selection,rs_selection_v2,bates_granger_mv,var_error,recent_best,equal
2016-06-01,2016-06-01,0.1,0.76888602180772,0.7690085139059105,0.8005451379915354,0.802349398423955,0.7821140561343474,0.7707539362042787,0.700031944645308,0.7010378282784573,0.9856793489932475,0.9938253169602083,0.8035292197940426,0.7159566540929488,0.7,0.7,0.6999999999993,0.8470148988602297,0.7,1.167796610175
2016-09-01,2016-09-01,0.4,0.749052797300306,0.7496794921085184,0.7771861302423555,0.775515670521379,0.7781301147009811,0.7725787510794206,0.7000456214434717,0.7170285232381313,1.0799465920494964,1.0970698915089498,1.1224091219727106,1.0465733850228554,0.7,0.7,0.6999999999993002,0.6999999999993,0.7,1.2499500000000001
2016-12-01,2016-12-01,1.1,1.2833949066596708,1.1282323197479718,1.2221118957357264,1.1835050603441246,1.1980820652819688,1.1710126133033312,1.8099369462860895,1.005077202854433,1.4911962873839806,1.2880953915278133,1.3722774334455217,1.2124803595427536,1.81,1.0,0.999999999999,0.999999999999,1.0,1.4024999999999999
2017-03-01,2017-03-01,1.5,0.9732245262383374,0.9744549562017677,1.045745695653886,1.0446519802197942,1.0709242431288728,1.0411675675084602,0.801445640654832,0.8082350201090817,1.3081929824561405,1.2796497819233257,1.4616626087125073,1.2274389323003496,0.8,0.8,0.7999999999992001,1.2132348971295235,0.8,1.524175
2017-06-01,2017-06-01,1.3,1.079186137136797,1.1142704092265925,1.100836627197979,1.1175955868563958,1.1043411607550797,1.1076041303500757,1.012429290796033,1.1826771948635395,1.1166039505696181,1.1993733209509458,1.140736193449749,1.1510419697108274,1.0,1.1,1.0845598874828837,1.0398046093981028,1.1,1.163526763625
2017-09-01,2017-09-01,1.6,1.1774252861636558,1.0627368293366213,1.1774252861636558,1.0756430782288482,1.1774252861636558,1.0775041039538173,1.4065856089130848,1.182630874896737,1.315544011991228,1.2712545906399975,1.2887829852406505,1.2365930332078403,1.4068892105,1.0,1.1610594840646538,1.3054694988135067,1.0,1.276722302625
2017-12-01,2017-12-01,1.3,1.452192159255448,1.452192159255448,1.452192159255448,1.4999999999984999,1.452192159255448,1.439475410221179,1.4071484654905422,1.3648415951411468,1.3817231683919018,1.3965396343521244,1.379844614321304,1.363845004186877,1.4072162135,1.5,1.4426000486138069,1.458741546053659,1.5,1.376804053375
2018-03-01,2018-03-01,1.4,1.3082664931899408,1.302553613714554,1.3098479772394567,1.2932428726749432,1.3123900964755177,1.1720388933013481,1.3500353664766231,1.1543636962747397,1.2955412044128034,1.2604063447408997,1.2857166931453725,1.2651370722758133,1.3566642612,1.2,1.304198794107385,1.1706562845377297,1.2,1.281161382875
2018-06-01,2018-06-01,2.0,1.5353187430997075,1.5429781059370062,1.5241998790700066,1.4917297058518533,1.5442836448176556,1.4869104300461033,1.5001098867792624,1.4022142411438552,1.4854426595976111,1.437058254621057,1.472071914264686,1.4625166764925959,1.5,1.5,1.5634543646662291,1.4561071484229937,1.5,1.468993136225
2018-09-01,2018-09-01,2.1,1.560418236845957,1.634964854112062,1.5481458558337466,1.5870633916011934,1.546417181538202,1.6224066127320034,1.5001768195163268,1.7083664354076031,1.596636063242076,1.6753393064944608,1.6320856180351524,1.6383206326034725,1.5,1.6,1.5405031956007316,1.5703437623517793,1.6,1.6350531423499999
2018-12-01,2018-12-01,1.5,1.5994714833453774,1.5994714833453774,1.6038152272182578,1.6001775297526943,1.5994714833453774,1.6300063192397714,1.5538573115853354,1.5088905495655585,1.5663234324837267,1.5612911721511429,1.5499231742571973,1.5695426539698936,1.7,1.7,1.620040336110841,1.4767024898882835,1.4,1.55
2019-03-01,2019-03-01,1.4,1.7831184090094667,1.7831184090094667,1.7831184090094667,1.7785204023189687,1.7831184090094667,1.7831184090094667,1.7983828084215439,1.643154735246096,1.7205929158518327,1.6699138981322017,1.692617523532419,1.6889902016798926,1.8,1.6,1.7999999999982002,1.7005846404819622,1.57,1.6925
2019-06-01,2019-06-01,1.3,1.4361286850156258,1.4361286850156258,1.4361286850156258,1.4361286850156258,1.4361286850156258,1.4361286850156258,1.5999187660488403,1.5999896938709828,1.5295150286039616,1.5385114421968331,1.4872460077721406,1.4890499531726369,1.6,1.6,1.4402437099434358,1.5062792247166983,1.6,1.482974607175
2019-09-01,2019-09-01,0.8,1.7819739533484764,1.7708702635760742,1.7708702635760742,1.7708702635760742,1.7791167409342188,1.7708702635760742,1.7986971552536248,1.597443633923323,1.71899746184127,1.6300220759858237,1.6754183874173232,1.6682061187945152,1.8,1.6,1.7978716375622195,1.712654756741124,1.5,1.6724605012000002
