method,event_index,event_time,horizon,excess_risk
full_gcsr_eigenvector,0,150,0,0.18408605861201105
full_gcsr_eigenvector,0,150,1,0.08736550253903291
full_gcsr_eigenvector,0,150,2,0.05541647081554513
full_gcsr_eigenvector,0,150,3,0.050195356919144285
full_gcsr_eigenvector,0,150,4,0.03603617407060655
full_gcsr_eigenvector,0,150,5,0.040185762404171044
full_gcsr_eigenvector,0,150,6,0.06333524053389622
full_gcsr_eigenvector,0,150,7,0.06583955371742384
full_gcsr_eigenvector,0,150,8,0.07953061853528864
full_gcsr_eigenvector,0,150,9,0.049837854937541615
full_gcsr_eigenvector,0,150,10,0.05317070100323101
full_gcsr_eigenvector,0,150,11,0.048701232668072136
full_gcsr_eigenvector,0,150,12,0.04690480470248848
full_gcsr_eigenvector,0,150,13,0.054444400030483564
full_gcsr_eigenvector,0,150,14,0.03997132592978825
full_gcsr_eigenvector,0,150,15,0.07383191567677516
full_gcsr_eigenvector,0,150,16,0.06748557544907086
full_gcsr_eigenvector,0,150,17,0.0703004627251369
full_gcsr_eigenvector,0,150,18,0.07936197826417668
full_gcsr_eigenvector,0,150,19,0.11338466456997631
full_gcsr_eigenvector,0,150,20,0.10517957299846831
full_gcsr_eigenvector,0,150,21,0.0925340670255812
full_gcsr_eigenvector,0,150,22,0.10132341767413933
full_gcsr_eigenvector,0,150,23,0.09986146023427817
full_gcsr_eigenvector,0,150,24,0.09563986782420991
full_gcsr_v2_eigenvector,0,150,0,0.18057050906983296
full_gcsr_v2_eigenvector,0,150,1,0.06613271684043986
full_gcsr_v2_eigenvector,0,150,2,0.07501844852946754
full_gcsr_v2_eigenvector,0,150,3,0.06674832043593404
full_gcsr_v2_eigenvector,0,150,4,0.051659385439756456
full_gcsr_v2_eigenvector,0,150,5,0.048983299544034076
full_gcsr_v2_eigenvector,0,150,6,0.06947523041855119
full_gcsr_v2_eigenvector,0,150,7,0.06811583317956071
full_gcsr_v2_eigenvector,0,150,8,0.07612165273169719
full_gcsr_v2_eigenvector,0,150,9,0.06167525734024926
full_gcsr_v2_eigenvector,0,150,10,0.05317070100323101
full_gcsr_v2_eigenvector,0,150,11,0.048701232668072136
full_gcsr_v2_eigenvector,0,150,12,0.04690480470248848
full_gcsr_v2_eigenvector,0,150,13,0.054444400030483564
full_gcsr_v2_eigenvector,0,150,14,0.03997132592978825
full_gcsr_v2_eigenvector,0,150,15,0.07383191567677516
full_gcsr_v2_eigenvector,0,150,16,0.06748557544907086
full_gcsr_v2_eigenvector,0,150,17,0.0703004627251369
full_gcsr_v2_eigenvector,0,150,18,0.07936197826417668
full_gcsr_v2_eigenvector,0,150,19,0.11330826376928732
full_gcsr_v2_eigenvector,0,150,20,0.10796401322819393
full_gcsr_v2_eigenvector,0,150,21,0.09171136413999703
full_gcsr_v2_eigenvector,0,150,22,0.10142422288024866
full_gcsr_v2_eigenvector,0,150,23,0.09978908817093879
full_gcsr_v2_eigenvector,0,150,24,0.09563670452747358
full_gcsr_pagerank,0,150,0,0.14751329148358328
full_gcsr_pagerank,0,150,1,0.10044472193696852
full_gcsr_pagerank,0,150,2,0.05813506399024537
full_gcsr_pagerank,0,150,3,0.05715234159663246
