method,event_index,event_time,horizon,oracle_gap_profile
full_gcsr_eigenvector,0,150,0,0.34894903430443514
full_gcsr_eigenvector,0,150,1,0.3116197685623645
full_gcsr_eigenvector,0,150,2,0.2300364806578521
full_gcsr_eigenvector,0,150,3,0.22924327827736535
full_gcsr_eigenvector,0,150,4,0.20577258857464398
full_gcsr_eigenvector,0,150,5,0.2084566649458851
full_gcsr_eigenvector,0,150,6,0.29981713437573254
full_gcsr_eigenvector,0,150,7,0.309859242478705
full_gcsr_eigenvector,0,150,8,0.3241868944891484
full_gcsr_eigenvector,0,150,9,0.26074847065037177
full_gcsr_eigenvector,0,150,10,0.24760885526290877
full_gcsr_eigenvector,0,150,11,0.23624048061948988
full_gcsr_eigenvector,0,150,12,0.22886069315118474
full_gcsr_eigenvector,0,150,13,0.2366488877773486
full_gcsr_eigenvector,0,150,14,0.1971505471865307
full_gcsr_eigenvector,0,150,15,0.25979498060287964
full_gcsr_eigenvector,0,150,16,0.251174057213152
full_gcsr_eigenvector,0,150,17,0.2612558385766216
full_gcsr_eigenvector,0,150,18,0.28309813332304734
full_gcsr_eigenvector,0,150,19,0.3318458131431271
full_gcsr_eigenvector,0,150,20,0.3379267668081931
full_gcsr_eigenvector,0,150,21,0.3161792286088152
full_gcsr_eigenvector,0,150,22,0.3215681059009774
full_gcsr_eigenvector,0,150,23,0.32176910449595086
full_gcsr_eigenvector,0,150,24,0.2705321359440209
full_gcsr_v2_eigenvector,0,150,0,0.3456991755862795
full_gcsr_v2_eigenvector,0,150,1,0.25058414386958117
full_gcsr_v2_eigenvector,0,150,2,0.30985839053519815
full_gcsr_v2_eigenvector,0,150,3,0.27261288324794286
full_gcsr_v2_eigenvector,0,150,4,0.24574937047969925
full_gcsr_v2_eigenvector,0,150,5,0.24903458026412006
full_gcsr_v2_eigenvector,0,150,6,0.30556817657484037
full_gcsr_v2_eigenvector,0,150,7,0.3098481693260481
full_gcsr_v2_eigenvector,0,150,8,0.3264152234517971
full_gcsr_v2_eigenvector,0,150,9,0.28486908087227003
full_gcsr_v2_eigenvector,0,150,10,0.24760885526290877
full_gcsr_v2_eigenvector,0,150,11,0.23624048061948988
full_gcsr_v2_eigenvector,0,150,12,0.22886069315118474
full_gcsr_v2_eigenvector,0,150,13,0.2366488877773486
full_gcsr_v2_eigenvector,0,150,14,0.1971505471865307
full_gcsr_v2_eigenvector,0,150,15,0.25979498060287964
full_gcsr_v2_eigenvector,0,150,16,0.251174057213152
