Method,Events,Mean_Initial_Excess_Latent_Risk,Mean_Integrated_Excess_Risk,Mean_Half_Life,Median_Half_Life,Mean_Target_Closure_Delay,Captured_Frac,Mean_Oracle_Overlap
full_gcsr_softmax,1,0.12030743840455638,0.06750849881584182,5.0,5.0,,0.0,0.6827401831058671
full_gcsr_pagerank,1,0.1475132914835835,0.07044404311165896,5.0,5.0,6.0,1.0,0.6717957292045436
bates_granger_mv,1,0.08045762938199297,0.07118615524309382,,,,0.0,0.7237594477779292
full_gcsr_eigenvector,1,0.18408605861201144,0.07415696159432214,4.0,4.0,5.0,1.0,0.651050965695565
equal,1,0.08868904266427985,0.08868904266427985,,,,0.0,0.7559205337184115
var_error,1,0.1750191279105472,0.09148330293616368,13.0,13.0,19.0,1.0,0.6421493488496797
graph_only_softmax,1,0.20108471355928476,0.10904294715362656,5.0,5.0,5.0,1.0,0.5636670505290393
graph_only_pagerank,1,0.2998893898500111,0.14613771899503328,3.0,3.0,5.0,1.0,0.5579792595471549
graph_only_eigenvector,1,1.2225139108169594,0.5267798280006378,2.0,2.0,4.0,1.0,0.1502042959296661
recent_best,1,1.6622387159550196,0.8962862473647003,5.0,5.0,,0.0,1.000088900582341e-12
rs_selection,1,1.6622387159550196,1.0707426254728747,6.0,6.0,,0.0,1.000088900582341e-12
rs_selection_v2,1,1.6622387159550196,1.0966759707667042,5.0,5.0,,0.0,1.000088900582341e-12
