method,event_index,event_time,horizon,excess_risk
full_gcsr_eigenvector,0,160,0,0.039082941488485345
full_gcsr_eigenvector,0,160,1,0.007990708703371346
full_gcsr_eigenvector,0,160,2,0.014848461524055695
full_gcsr_eigenvector,0,160,3,0.01682455238342162
full_gcsr_eigenvector,0,160,4,0.011420574924794008
full_gcsr_eigenvector,0,160,5,0.053158543207897674
full_gcsr_eigenvector,0,160,6,0.027703966315317796
full_gcsr_eigenvector,0,160,7,0.026917652091854705
full_gcsr_eigenvector,0,160,8,0.03334214521650011
full_gcsr_eigenvector,0,160,9,0.030284089501301792
full_gcsr_eigenvector,0,160,10,0.10498651739566353
full_gcsr_eigenvector,0,160,11,0.14458261099873437
full_gcsr_eigenvector,0,160,12,0.09770489989096129
full_gcsr_eigenvector,0,160,13,0.09573842244864544
full_gcsr_eigenvector,0,160,14,0.09963007041768715
full_gcsr_eigenvector,0,160,15,0.056997154612375034
full_gcsr_eigenvector,0,160,16,0.022845127746317806
full_gcsr_eigenvector,0,160,17,0.026537843726632482
full_gcsr_eigenvector,0,160,18,0.024157589399317614
full_gcsr_eigenvector,0,160,19,0.06618114167268968
full_gcsr_eigenvector,0,160,20,0.030671321931288853
full_gcsr_eigenvector,0,160,21,0.033930797137332075
full_gcsr_eigenvector,0,160,22,0.04795906567240113
full_gcsr_eigenvector,0,160,23,0.041247861767376104
full_gcsr_eigenvector,0,160,24,0.05469426077094114
full_gcsr_eigenvector,1,184,0,0.05469426077094114
full_gcsr_eigenvector,1,184,1,0.04535067770559817
full_gcsr_eigenvector,1,184,2,0.0363010495309935
full_gcsr_eigenvector,1,184,3,0.03470097433635258
full_gcsr_eigenvector,1,184,4,0.03925496533886763
full_gcsr_eigenvector,1,184,5,0.04319261293576823
full_gcsr_eigenvector,1,184,6,0.05320073624247154
full_gcsr_eigenvector,1,184,7,0.2077173360224118
full_gcsr_eigenvector,1,184,8,0.08078382264678677
full_gcsr_eigenvector,1,184,9,0.12115128864726643
full_gcsr_eigenvector,1,184,10,0.3788493962160323
full_gcsr_eigenvector,1,184,11,0.3951747557798223
full_gcsr_eigenvector,1,184,12,0.7341390153531766
full_gcsr_eigenvector,1,184,13,0.6227257818785428
full_gcsr_eigenvector,1,184,14,0.7106475101751326
full_gcsr_eigenvector,1,184,15,0.8658174245458319
full_gcsr_eigenvector,1,184,16,0.557992589776469
full_gcsr_eigenvector,1,184,17,0.5916684502616045
full_gcsr_eigenvector,1,184,18,0.5469977019483242
full_gcsr_eigenvector,1,184,19,0.5375174207737117
full_gcsr_eigenvector,1,184,20,0.7524791551726926
full_gcsr_eigenvector,1,184,21,0.5936206090417444
full_gcsr_eigenvector,1,184,22,0.5145528660109208
full_gcsr_eigenvector,1,184,23,0.5841253462969807
full_gcsr_eigenvector,1,184,24,0.47250996696073955
full_gcsr_eigenvector,2,194,0,0.3788493962160323
full_gcsr_eigenvector,2,194,1,0.3951747557798223
full_gcsr_eigenvector,2,194,2,0.7341390153531766
full_gcsr_eigenvector,2,194,3,0.6227257818785428
