method,event_index,event_time,horizon,latent_risk
full_gcsr_eigenvector,0,160,0,0.17210713811525108
full_gcsr_eigenvector,0,160,1,0.1412907538412411
full_gcsr_eigenvector,0,160,2,0.14882142269034604
full_gcsr_eigenvector,0,160,3,0.15129386547192603
full_gcsr_eigenvector,0,160,4,0.14653695227883096
full_gcsr_eigenvector,0,160,5,0.18885497552033523
full_gcsr_eigenvector,0,160,6,0.16375532521216263
full_gcsr_eigenvector,0,160,7,0.16310074346901116
full_gcsr_eigenvector,0,160,8,0.16956705326085902
full_gcsr_eigenvector,0,160,9,0.1665611152643423
full_gcsr_eigenvector,0,160,10,0.24130922201589003
full_gcsr_eigenvector,0,160,11,0.28087146614948266
full_gcsr_eigenvector,0,160,12,0.23394395580524505
full_gcsr_eigenvector,0,160,13,0.23192214037311504
full_gcsr_eigenvector,0,160,14,0.23576440871283338
full_gcsr_eigenvector,0,160,15,0.1929596977462794
full_gcsr_eigenvector,0,160,16,0.15838800938593572
full_gcsr_eigenvector,0,160,17,0.1615986155135039
full_gcsr_eigenvector,0,160,18,0.1590582927845191
full_gcsr_eigenvector,0,160,19,0.20071031958246205
full_gcsr_eigenvector,0,160,20,0.1648409069554828
full_gcsr_eigenvector,0,160,21,0.16755870821561755
full_gcsr_eigenvector,0,160,22,0.18133022651183653
full_gcsr_eigenvector,0,160,23,0.17436491677871752
full_gcsr_eigenvector,0,160,24,0.18751562523511134
full_gcsr_eigenvector,1,184,0,0.18751562523511134
full_gcsr_eigenvector,1,184,1,0.17806328924860979
full_gcsr_eigenvector,1,184,2,0.16896968066480084
full_gcsr_eigenvector,1,184,3,0.1672557616206096
full_gcsr_eigenvector,1,184,4,0.17195694754721805
full_gcsr_eigenvector,1,184,5,0.17615884884802432
full_gcsr_eigenvector,1,184,6,0.18632216318414344
full_gcsr_eigenvector,1,184,7,0.3409800894591137
full_gcsr_eigenvector,1,184,8,0.21435975153928785
full_gcsr_eigenvector,1,184,9,0.2551571759274024
full_gcsr_eigenvector,1,184,10,0.5135304139365316
full_gcsr_eigenvector,1,184,11,0.5307179051643771
full_gcsr_eigenvector,1,184,12,0.8705015308669362
full_gcsr_eigenvector,1,184,13,0.7603218911434302
full_gcsr_eigenvector,1,184,14,0.849371838499476
full_gcsr_eigenvector,1,184,15,1.005535699697754
full_gcsr_eigenvector,1,184,16,0.6987109667080871
full_gcsr_eigenvector,1,184,17,0.7332399871241018
full_gcsr_eigenvector,1,184,18,0.6893794030012108
full_gcsr_eigenvector,1,184,19,0.6807014204769642
full_gcsr_eigenvector,1,184,20,0.8966134408207025
full_gcsr_eigenvector,1,184,21,0.7387037110607739
full_gcsr_eigenvector,1,184,22,0.6601787275603024
full_gcsr_eigenvector,1,184,23,0.7303869188313714
full_gcsr_eigenvector,1,184,24,0.6194744700000305
full_gcsr_eigenvector,2,194,0,0.5135304139365316
full_gcsr_eigenvector,2,194,1,0.5307179051643771
full_gcsr_eigenvector,2,194,2,0.8705015308669362
full_gcsr_eigenvector,2,194,3,0.7603218911434302
full_gcsr_eigenvector,2,194,4,0.849371838499476
full_gcsr_eigenvector,2,194,5,1.005535699697754
full_gcsr_eigenvector,2,194,6,0.6987109667080871
full_gcsr_eigenvector,2,194,7,0.7332399871241018
full_gcsr_eigenvector,2,194,8,0.6893794030012108
full_gcsr_eigenvector,2,194,9,0.6807014204769642
full_gcsr_eigenvector,2,194,10,0.8966134408207025
full_gcsr_eigenvector,2,194,11,0.7387037110607739
full_gcsr_eigenvector,2,194,12,0.6601787275603024
full_gcsr_eigenvector,2,194,13,0.7303869188313714
full_gcsr_eigenvector,2,194,14,0.6194744700000305
full_gcsr_eigenvector,2,194,15,0.7905766015461306
full_gcsr_eigenvector,2,194,16,0.6709738358297787
full_gcsr_eigenvector,2,194,17,1.120957172168602
full_gcsr_eigenvector,2,194,18,1.4003947484429746
full_gcsr_eigenvector,2,194,19,0.8082381679410129
full_gcsr_eigenvector,2,194,20,1.043408706740808
full_gcsr_eigenvector,2,194,21,0.925240804153639
full_gcsr_eigenvector,2,194,22,0.9601719908513295
full_gcsr_eigenvector,2,194,23,1.382534330350123
full_gcsr_eigenvector,2,194,24,1.5612319427589134
full_gcsr_eigenvector,3,229,0,4.336099473733399
full_gcsr_eigenvector,3,229,1,3.66851828352771
full_gcsr_eigenvector,3,229,2,6.6201306541100156
full_gcsr_eigenvector,3,229,3,5.290638731306345
full_gcsr_eigenvector,3,229,4,3.8244201375533997
full_gcsr_eigenvector,3,229,5,4.488560862661368
full_gcsr_eigenvector,3,229,6,5.208248730057505
full_gcsr_eigenvector,3,229,7,7.528340200699529
full_gcsr_eigenvector,3,229,8,5.336774214972554
full_gcsr_eigenvector,3,229,9,5.251445268115431
full_gcsr_eigenvector,3,229,10,6.013283495523636
full_gcsr_eigenvector,3,229,11,6.9102176916555775
full_gcsr_eigenvector,3,229,12,7.5475635898969005
full_gcsr_eigenvector,3,229,13,2.306675791845782
full_gcsr_eigenvector,3,229,14,5.079672235294756
full_gcsr_eigenvector,3,229,15,3.298208676442594
full_gcsr_eigenvector,3,229,16,3.0540181494345617
full_gcsr_eigenvector,3,229,17,5.460845655960121
full_gcsr_eigenvector,3,229,18,1.1638389583763504
full_gcsr_eigenvector,3,229,19,1.2692766558008817
full_gcsr_eigenvector,3,229,20,1.8803101338105535
full_gcsr_eigenvector,3,229,21,1.885523756745257
full_gcsr_eigenvector,3,229,22,1.3393522165937537
full_gcsr_eigenvector,3,229,23,1.454516224446918
full_gcsr_eigenvector,3,229,24,1.7309165546792058
full_gcsr_eigenvector,4,241,0,7.5475635898969005
full_gcsr_eigenvector,4,241,1,2.306675791845782
full_gcsr_eigenvector,4,241,2,5.079672235294756
full_gcsr_eigenvector,4,241,3,3.298208676442594
full_gcsr_eigenvector,4,241,4,3.0540181494345617
full_gcsr_eigenvector,4,241,5,5.460845655960121
full_gcsr_eigenvector,4,241,6,1.1638389583763504
full_gcsr_eigenvector,4,241,7,1.2692766558008817
full_gcsr_eigenvector,4,241,8,1.8803101338105535
full_gcsr_eigenvector,4,241,9,1.885523756745257
full_gcsr_eigenvector,4,241,10,1.3393522165937537
full_gcsr_eigenvector,4,241,11,1.454516224446918
full_gcsr_eigenvector,4,241,12,1.7309165546792058
full_gcsr_eigenvector,4,241,13,2.63809800755773
full_gcsr_eigenvector,4,241,14,3.340502511667255
full_gcsr_eigenvector,4,241,15,4.305273763212185
full_gcsr_eigenvector,4,241,16,2.7024480527185006
full_gcsr_eigenvector,4,241,17,4.15542007746998
full_gcsr_eigenvector,4,241,18,4.379781943092639
full_gcsr_eigenvector,4,241,19,4.568396763834386
full_gcsr_eigenvector,4,241,20,2.2154305872173308
full_gcsr_eigenvector,4,241,21,2.2598615624457965
full_gcsr_eigenvector,4,241,22,2.400933899569536
full_gcsr_eigenvector,4,241,23,2.4838083866804324
full_gcsr_eigenvector,4,241,24,2.7458611992823796
full_gcsr_eigenvector,5,269,0,1.2145433211087875
full_gcsr_eigenvector,5,269,1,1.2127566951134117
full_gcsr_eigenvector,5,269,2,2.1353349616672044
full_gcsr_eigenvector,5,269,3,1.4951253339423536
full_gcsr_eigenvector,5,269,4,1.9388390937897502
full_gcsr_eigenvector,5,269,5,1.6846792086502909
full_gcsr_eigenvector,5,269,6,0.7896483394802795
full_gcsr_eigenvector,5,269,7,1.2803237410010482
full_gcsr_eigenvector,5,269,8,1.1046943447609863
full_gcsr_eigenvector,5,269,9,0.7794553292539993
full_gcsr_eigenvector,5,269,10,0.7714404288568866
full_gcsr_eigenvector,5,269,11,0.7180100135165244
full_gcsr_eigenvector,5,269,12,0.6875454096343399
full_gcsr_eigenvector,5,269,13,0.8402071103737457
full_gcsr_eigenvector,5,269,14,0.894242682064184
full_gcsr_eigenvector,5,269,15,0.9362492883760762
full_gcsr_eigenvector,5,269,16,0.6516203954279917
full_gcsr_eigenvector,5,269,17,0.9370133319950509
full_gcsr_eigenvector,5,269,18,0.6611249754547469
full_gcsr_eigenvector,5,269,19,0.9702947863521616
full_gcsr_eigenvector,5,269,20,0.9837402577607585
full_gcsr_eigenvector,5,269,21,0.7006874152631579
full_gcsr_eigenvector,5,269,22,1.0739518903352383
full_gcsr_eigenvector,5,269,23,1.1307214328864148
full_gcsr_eigenvector,5,269,24,1.2447809032393273
full_gcsr_eigenvector,6,275,0,0.7896483394802795
full_gcsr_eigenvector,6,275,1,1.2803237410010482
full_gcsr_eigenvector,6,275,2,1.1046943447609863
full_gcsr_eigenvector,6,275,3,0.7794553292539993
full_gcsr_eigenvector,6,275,4,0.7714404288568866
full_gcsr_eigenvector,6,275,5,0.7180100135165244
full_gcsr_eigenvector,6,275,6,0.6875454096343399
full_gcsr_eigenvector,6,275,7,0.8402071103737457
full_gcsr_eigenvector,6,275,8,0.894242682064184
full_gcsr_eigenvector,6,275,9,0.9362492883760762
full_gcsr_eigenvector,6,275,10,0.6516203954279917
full_gcsr_eigenvector,6,275,11,0.9370133319950509
full_gcsr_eigenvector,6,275,12,0.6611249754547469
full_gcsr_eigenvector,6,275,13,0.9702947863521616
full_gcsr_eigenvector,6,275,14,0.9837402577607585
full_gcsr_eigenvector,6,275,15,0.7006874152631579
full_gcsr_eigenvector,6,275,16,1.0739518903352383
full_gcsr_eigenvector,6,275,17,1.1307214328864148
full_gcsr_eigenvector,6,275,18,1.2447809032393273
full_gcsr_eigenvector,6,275,19,0.9813492204373926
full_gcsr_eigenvector,6,275,20,1.4458282731519023
full_gcsr_eigenvector,6,275,21,1.5738169072213075
full_gcsr_eigenvector,6,275,22,1.6452261919591176
full_gcsr_eigenvector,6,275,23,1.7703463566403037
full_gcsr_eigenvector,6,275,24,0.9314850046485823
full_gcsr_eigenvector,7,280,0,0.7180100135165244
full_gcsr_eigenvector,7,280,1,0.6875454096343399
full_gcsr_eigenvector,7,280,2,0.8402071103737457
full_gcsr_eigenvector,7,280,3,0.894242682064184
full_gcsr_eigenvector,7,280,4,0.9362492883760762
full_gcsr_eigenvector,7,280,5,0.6516203954279917
full_gcsr_eigenvector,7,280,6,0.9370133319950509
full_gcsr_eigenvector,7,280,7,0.6611249754547469
full_gcsr_eigenvector,7,280,8,0.9702947863521616
full_gcsr_eigenvector,7,280,9,0.9837402577607585
full_gcsr_eigenvector,7,280,10,0.7006874152631579
full_gcsr_eigenvector,7,280,11,1.0739518903352383
full_gcsr_eigenvector,7,280,12,1.1307214328864148
full_gcsr_eigenvector,7,280,13,1.2447809032393273
full_gcsr_eigenvector,7,280,14,0.9813492204373926
full_gcsr_eigenvector,7,280,15,1.4458282731519023
full_gcsr_eigenvector,7,280,16,1.5738169072213075
full_gcsr_eigenvector,7,280,17,1.6452261919591176
full_gcsr_eigenvector,7,280,18,1.7703463566403037
full_gcsr_eigenvector,7,280,19,0.9314850046485823
full_gcsr_eigenvector,7,280,20,
full_gcsr_eigenvector,7,280,21,
full_gcsr_eigenvector,7,280,22,
full_gcsr_eigenvector,7,280,23,
full_gcsr_eigenvector,7,280,24,
full_gcsr_pagerank,0,160,0,0.169597345194121
full_gcsr_pagerank,0,160,1,0.14778001898472798
