t,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8
0,0.0800032880122741,0.2263307243344867,0.04304042436965144,0.11344905753483056,0.3768607089090393,3.5516157652786296e-18,0.08560014997805004,0.07471564686066783
1,0.08030605310113308,0.24326130391208176,0.031283597762852,0.10972977718018133,0.37441253618927867,0.0,0.07325029354384499,0.08775643830962805
2,0.08794440710392573,0.2640796968347793,0.019512887370185163,0.1062153228448429,0.36985830216805354,0.0,0.04578643809884311,0.10660294557837031
3,0.09941054308267777,0.2864127291333738,0.005259674516910373,0.0930311209704637,0.3616478977798812,0.0069985227698552074,0.029927257630262185,0.11731225411557568
4,0.10499511955257276,0.303760061345357,8.077847574943261e-05,0.08144716507064972,0.3562317061594596,0.01639438535683905,0.010387962571398103,0.12670282146697434
5,0.10294029179706791,0.31093034937213443,3.5539914279978795e-18,0.06575407187232724,0.3545372568529281,0.028080288768290957,0.0,0.13775774133625135
6,0.10339199515052522,0.30384694311368415,1.2533970036982973e-18,0.04600095397884639,0.3632479303036639,0.04114332045146872,0.0,0.14236885700081156
7,0.09805442378198277,0.2952686284330877,0.0009373684269596055,0.030752394731889544,0.36876033798010316,0.05179459640609155,1.9093446120072925e-18,0.15443225023888582
8,0.09987063136829061,0.2820876991008078,0.003804475579417222,0.014007599947171821,0.37303911547756186,0.060765854266382424,0.0,0.1664246242593682
9,0.0985782204190513,0.2689175604612289,0.011853612870127768,0.005526300047214891,0.374507513057972,0.06659861872210104,3.549173157929697e-18,0.17401817442130407
10,0.09523796585656795,0.2526543718147215,0.016768107059436797,0.0017443253633713858,0.3725554271372335,0.07279270332946035,0.0011963204348235,0.18705077900338493
11,0.09743897545655279,0.24107247225788836,0.01755143835831639,0.002599301244307418,0.3675630420736602,0.0692561346979758,0.014137355490387889,0.19038128041991115
12,0.10190075414629045,0.23197388350171153,0.020416606710149082,0.002500282345543948,0.35960175731155675,0.072722146478852,0.020107904412949747,0.19077666509194646
13,0.10811186665042433,0.22819442727377837,0.02416587826068085,0.006875139153234585,0.34666441725171304,0.07605867648135593,0.019674638735500998,0.1902549561923119
14,0.1184554977119342,0.22427720097262954,0.028634006271851593,0.007501051163171299,0.33135596549192275,0.0789987584312741,0.01590179983429321,0.19487572012192325
15,0.1266098626038985,0.22110535550710209,0.032086222291376275,0.01172045573321187,0.31235850335800597,0.08012760139765616,0.0168864914047146,0.19910550770303456
16,0.13363915368856935,0.21717622381926227,0.02970570963479293,0.006866365144672084,0.2970657533430854,0.08595415607989508,0.02651453212155394,0.20307810616716884
17,0.1410368018950455,0.21358008933315747,0.029898972466582786,0.003811177102306483,0.2787936246622586,0.08982836172881624,0.035069852079531776,0.20798112073130107
18,0.15050502937390617,0.20809640548685912,0.03378139895599273,0.0011295724116873133,0.2573715489003547,0.09121938820861221,0.046545127387032585,0.2113515292745551
19,0.1597955388734572,0.204291956598283,0.03359546026682419,0.004005798404470681,0.23660740845916844,0.09549245715527294,0.0548057064306546,0.21140567381086892
20,0.16524449411923456,0.1985472174525123,0.036471105975288215,0.007542939432796273,0.21828121567944167,0.10127563297633267,0.06476328010415372,0.20787411425924057
21,0.1681620705825467,0.19644508462537152,0.03803729028682002,0.00817701540009249,0.2046428037642575,0.10579802360251409,0.07296705914916186,0.20577065258823565
22,0.1705830512335226,0.19285107018783493,0.039187810498413536,0.011062721998975894,0.19715707036369118,0.10692967065761128,0.07679377280858492,0.20543483225036563
23,0.1738103646658767,0.18804126590678075,0.04065426184217337,0.013190520998830198,0.19058859699820663,0.1081290567447691,0.0791178993054758,0.2064680335368874
24,0.17439000063279056,0.17968152657376607,0.04352772164276485,0.01639545311971469,0.1864432213675915,0.10930090463572106,0.08329989417032593,0.20696127785632526
25,0.17575421052363585,0.17275041413797207,0.04456413723727586,0.02132679461664552,0.182412546965038,0.1108247984954372,0.08719200674605612,0.2051750912769393
26,0.17610575705012885,0.16497151244412459,0.04572593770864032,0.026562630508511847,0.17935865847857035,0.11177770964162673,0.09023945702998083,0.2052583371374165
27,0.17491075958470162,0.15725796075151519,0.04604553053593654,0.03170461491698844,0.17653607741684993,0.11362475614023639,0.0960800475926175,0.20384025306015438
28,0.17176200996153382,0.14831595607629047,0.0485825999643967,0.03831373057013739,0.17507376729749763,0.11498982764007654,0.10213468530662007,0.20082742318244728
29,0.17060029567755966,0.14125758482487677,0.05104628658852198,0.04354551873366112,0.1718904190006569,0.11701998445572169,0.10750074856280084,0.1971391621552009
30,0.16826080005377161,0.13742820268790723,0.051623442702825074,0.0454736883721116,0.16915695551449372,0.12000611718979493,0.11222533395576337,0.19582545952233235
31,0.16494424247181208,0.13400143445024304,0.05279994839801191,0.04922788295924698,0.16619504115352257,0.12268148272411541,0.11599630525354983,0.19415366258849803
32,0.16196653204642536,0.13019455261325652,0.05347949796282742,0.05196402364131582,0.16396739983864303,0.1252433772971517,0.12022931427202509,0.19295530232735505
33,0.15987268474949956,0.12514349951316442,0.052893423813436626,0.05440260808396436,0.1632112245191779,0.1290878020302588,0.12326587779771457,0.19212287949178364
