method,event_index,replication,seed,event_time,recovery_delay
equal,0,0,42,229,
bates_granger_mv,0,0,42,229,9.0
var_error,0,0,42,229,3.0
graph_only_eigenvector,0,0,42,229,14.0
graph_only_pagerank,0,0,42,229,
graph_only_softmax,0,0,42,229,20.0
full_gcsr_eigenvector,0,0,42,229,3.0
full_gcsr_pagerank,0,0,42,229,3.0
full_gcsr_softmax,0,0,42,229,3.0
rs_selection,0,0,42,229,22.0
rs_selection_v2,0,0,42,229,22.0
recent_best,0,0,42,229,26.0
equal,1,0,42,241,
bates_granger_mv,1,0,42,241,
var_error,1,0,42,241,
graph_only_eigenvector,1,0,42,241,10.0
graph_only_pagerank,1,0,42,241,
graph_only_softmax,1,0,42,241,8.0
full_gcsr_eigenvector,1,0,42,241,
full_gcsr_pagerank,1,0,42,241,
full_gcsr_softmax,1,0,42,241,
rs_selection,1,0,42,241,10.0
rs_selection_v2,1,0,42,241,10.0
recent_best,1,0,42,241,14.0
equal,2,0,42,269,
bates_granger_mv,2,0,42,269,
var_error,2,0,42,269,
graph_only_eigenvector,2,0,42,269,10.0
graph_only_pagerank,2,0,42,269,
graph_only_softmax,2,0,42,269,7.0
full_gcsr_eigenvector,2,0,42,269,
full_gcsr_pagerank,2,0,42,269,
full_gcsr_softmax,2,0,42,269,
rs_selection,2,0,42,269,
rs_selection_v2,2,0,42,269,
recent_best,2,0,42,269,
equal,3,0,42,275,
bates_granger_mv,3,0,42,275,
var_error,3,0,42,275,
graph_only_eigenvector,3,0,42,275,12.0
graph_only_pagerank,3,0,42,275,
graph_only_softmax,3,0,42,275,
full_gcsr_eigenvector,3,0,42,275,
full_gcsr_pagerank,3,0,42,275,
full_gcsr_softmax,3,0,42,275,
rs_selection,3,0,42,275,
rs_selection_v2,3,0,42,275,
recent_best,3,0,42,275,
equal,4,0,42,280,
bates_granger_mv,4,0,42,280,
var_error,4,0,42,280,
graph_only_eigenvector,4,0,42,280,8.0
graph_only_pagerank,4,0,42,280,
graph_only_softmax,4,0,42,280,
full_gcsr_eigenvector,4,0,42,280,
full_gcsr_pagerank,4,0,42,280,
full_gcsr_softmax,4,0,42,280,
rs_selection,4,0,42,280,
rs_selection_v2,4,0,42,280,
recent_best,4,0,42,280,
equal,5,0,42,302,
bates_granger_mv,5,0,42,302,69.0
var_error,5,0,42,302,5.0
graph_only_eigenvector,5,0,42,302,8.0
graph_only_pagerank,5,0,42,302,73.0
graph_only_softmax,5,0,42,302,8.0
full_gcsr_eigenvector,5,0,42,302,70.0
full_gcsr_pagerank,5,0,42,302,70.0
full_gcsr_softmax,5,0,42,302,70.0
rs_selection,5,0,42,302,19.0
rs_selection_v2,5,0,42,302,19.0
recent_best,5,0,42,302,19.0
equal,6,0,42,376,
bates_granger_mv,6,0,42,376,
var_error,6,0,42,376,2.0
graph_only_eigenvector,6,0,42,376,
graph_only_pagerank,6,0,42,376,16.0
graph_only_softmax,6,0,42,376,
full_gcsr_eigenvector,6,0,42,376,
full_gcsr_pagerank,6,0,42,376,
full_gcsr_softmax,6,0,42,376,
rs_selection,6,0,42,376,
rs_selection_v2,6,0,42,376,
recent_best,6,0,42,376,
equal,7,0,42,381,
bates_granger_mv,7,0,42,381,
var_error,7,0,42,381,5.0
graph_only_eigenvector,7,0,42,381,
graph_only_pagerank,7,0,42,381,
