method,event_index,event_time,horizon,relative_gap
full_gcsr_eigenvector,0,160,0,1.0
full_gcsr_eigenvector,0,160,1,0.20445515099536132
full_gcsr_eigenvector,0,160,2,0.3799218011374762
full_gcsr_eigenvector,0,160,3,0.43048326821507304
full_gcsr_eigenvector,0,160,4,0.29221380197697444
full_gcsr_eigenvector,0,160,5,1.3601469383658926
full_gcsr_eigenvector,0,160,6,0.7088505946636515
full_gcsr_eigenvector,0,160,7,0.6887314789186185
full_gcsr_eigenvector,0,160,8,0.8531124819845589
full_gcsr_eigenvector,0,160,9,0.7748672015954583
full_gcsr_eigenvector,0,160,10,2.6862491255062544
full_gcsr_eigenvector,0,160,11,3.6993789487756112
full_gcsr_eigenvector,0,160,12,2.4999372148011294
full_gcsr_eigenvector,0,160,13,2.4496217224808836
full_gcsr_eigenvector,0,160,14,2.5491958031623634
full_gcsr_eigenvector,0,160,15,1.4583639931289782
full_gcsr_eigenvector,0,160,16,0.5845293848480689
full_gcsr_eigenvector,0,160,17,0.6790134702233344
full_gcsr_eigenvector,0,160,18,0.6181108299239552
full_gcsr_eigenvector,0,160,19,1.6933510926291668
full_gcsr_eigenvector,0,160,20,0.784775166943993
full_gcsr_eigenvector,0,160,21,0.8681740893870065
full_gcsr_eigenvector,0,160,22,1.2271099320026764
full_gcsr_eigenvector,0,160,23,1.0553929718807777
full_gcsr_eigenvector,0,160,24,1.3994407454478206
full_gcsr_eigenvector,1,184,0,1.0
full_gcsr_eigenvector,1,184,1,0.8291670289781765
full_gcsr_eigenvector,1,184,2,0.663708568674554
full_gcsr_eigenvector,1,184,3,0.6344536674822219
full_gcsr_eigenvector,1,184,4,0.7177163524207293
full_gcsr_eigenvector,1,184,5,0.7897101510642687
full_gcsr_eigenvector,1,184,6,0.9726932130096027
full_gcsr_eigenvector,1,184,7,3.797790354866211
full_gcsr_eigenvector,1,184,8,1.4770073040224638
full_gcsr_eigenvector,1,184,9,2.2150640110970303
full_gcsr_eigenvector,1,184,10,6.926675502620902
full_gcsr_eigenvector,1,184,11,7.22515946297942
full_gcsr_eigenvector,1,184,12,13.422596905144081
full_gcsr_eigenvector,1,184,13,11.385578177690661
full_gcsr_eigenvector,1,184,14,12.993091051204152
full_gcsr_eigenvector,1,184,15,15.830133040318003
full_gcsr_eigenvector,1,184,16,10.2020318386484
full_gcsr_eigenvector,1,184,17,10.81774288420345
full_gcsr_eigenvector,1,184,18,10.00100731298204
full_gcsr_eigenvector,1,184,19,9.827675028369827
full_gcsr_eigenvector,1,184,20,13.75791800759627
full_gcsr_eigenvector,1,184,21,10.853435089429606
full_gcsr_eigenvector,1,184,22,9.407803648098824
full_gcsr_eigenvector,1,184,23,10.67982888996895
full_gcsr_eigenvector,1,184,24,8.639114237956473
full_gcsr_eigenvector,2,194,0,1.0
full_gcsr_eigenvector,2,194,1,1.0430919508565946
full_gcsr_eigenvector,2,194,2,1.9378122881698825
full_gcsr_eigenvector,2,194,3,1.6437291126721048
full_gcsr_eigenvector,2,194,4,1.8758047848910853
full_gcsr_eigenvector,2,194,5,2.285386840242224
full_gcsr_eigenvector,2,194,6,1.4728612354928674
full_gcsr_eigenvector,2,194,7,1.5617510709300955
full_gcsr_eigenvector,2,194,8,1.4438394449397662
full_gcsr_eigenvector,2,194,9,1.4188155666670468
full_gcsr_eigenvector,2,194,10,1.9862223952010711
full_gcsr_eigenvector,2,194,11,1.566903933253825
full_gcsr_eigenvector,2,194,12,1.358198986590193
full_gcsr_eigenvector,2,194,13,1.5418405100582433
full_gcsr_eigenvector,2,194,14,1.2472237561421236
full_gcsr_eigenvector,2,194,15,1.69698935590335
full_gcsr_eigenvector,2,194,16,1.37834794993534
full_gcsr_eigenvector,2,194,17,2.5624186938500464
full_gcsr_eigenvector,2,194,18,3.296474520079466
full_gcsr_eigenvector,2,194,19,1.729466865658009
full_gcsr_eigenvector,2,194,20,2.347007762965529
full_gcsr_eigenvector,2,194,21,2.031904893712311
full_gcsr_eigenvector,2,194,22,2.120751964819499
full_gcsr_eigenvector,2,194,23,3.2319955837059933
full_gcsr_eigenvector,2,194,24,3.701442309244573
full_gcsr_eigenvector,3,229,0,1.0
full_gcsr_eigenvector,3,229,1,0.8392282329058944
full_gcsr_eigenvector,3,229,2,1.5479203591555066
full_gcsr_eigenvector,3,229,3,1.2282369763847147
full_gcsr_eigenvector,3,229,4,0.8756628509234149
full_gcsr_eigenvector,3,229,5,1.03478941632554
full_gcsr_eigenvector,3,229,6,1.2071276461759033
full_gcsr_eigenvector,3,229,7,1.7638934454177357
full_gcsr_eigenvector,3,229,8,1.2368270315969345
full_gcsr_eigenvector,3,229,9,1.2154360085571152
full_gcsr_eigenvector,3,229,10,1.3975942998367756
full_gcsr_eigenvector,3,229,11,1.6121887092985416
full_gcsr_eigenvector,3,229,12,1.764168560568725
full_gcsr_eigenvector,3,229,13,0.5039130612751538
full_gcsr_eigenvector,3,229,14,1.1686450442984695
full_gcsr_eigenvector,3,229,15,0.7391437577568335
full_gcsr_eigenvector,3,229,16,0.6789046724514615
full_gcsr_eigenvector,3,229,17,1.2555276914591553
full_gcsr_eigenvector,3,229,18,0.22146576151196193
full_gcsr_eigenvector,3,229,19,0.2450780935882379
full_gcsr_eigenvector,3,229,20,0.3899442520739561
full_gcsr_eigenvector,3,229,21,0.38975826815420755
full_gcsr_eigenvector,3,229,22,0.25714703723714827
full_gcsr_eigenvector,3,229,23,0.2829400453749662
full_gcsr_eigenvector,3,229,24,0.34748894024628
full_gcsr_eigenvector,4,241,0,1.0
full_gcsr_eigenvector,4,241,1,0.2856377063610659
full_gcsr_eigenvector,4,241,2,0.6624338911933261
full_gcsr_eigenvector,4,241,3,0.4189757000989472
full_gcsr_eigenvector,4,241,4,0.38482982160876916
full_gcsr_eigenvector,4,241,5,0.7116823865483713
full_gcsr_eigenvector,4,241,6,0.12553548819652854
full_gcsr_eigenvector,4,241,7,0.13891988501894098
full_gcsr_eigenvector,4,241,8,0.22103571098004804
full_gcsr_eigenvector,4,241,9,0.22093028799275224
full_gcsr_eigenvector,4,241,10,0.14576103609637525
full_gcsr_eigenvector,4,241,11,0.16038152572209607
full_gcsr_eigenvector,4,241,12,0.19697037347398258
full_gcsr_eigenvector,4,241,13,0.3191850730577745
full_gcsr_eigenvector,4,241,14,0.4135033802827048
full_gcsr_eigenvector,4,241,15,0.5431556530569029
full_gcsr_eigenvector,4,241,16,0.3231605192862495
full_gcsr_eigenvector,4,241,17,0.5188810835812411
full_gcsr_eigenvector,4,241,18,0.547503253349881
full_gcsr_eigenvector,4,241,19,0.5714547304696806
full_gcsr_eigenvector,4,241,20,0.2495890858804562
full_gcsr_eigenvector,4,241,21,0.25369878825167175
full_gcsr_eigenvector,4,241,22,0.2708512887085398
full_gcsr_eigenvector,4,241,23,0.2800347382937192
full_gcsr_eigenvector,4,241,24,0.31420577298042685
full_gcsr_eigenvector,5,269,0,1.0
full_gcsr_eigenvector,5,269,1,0.9923811070211873
full_gcsr_eigenvector,5,269,2,2.2087852869457727
full_gcsr_eigenvector,5,269,3,1.3715149233408552
full_gcsr_eigenvector,5,269,4,1.9522096592503733
full_gcsr_eigenvector,5,269,5,1.6206730444458912
full_gcsr_eigenvector,5,269,6,0.4565940535731639
full_gcsr_eigenvector,5,269,7,1.1102346763499567
full_gcsr_eigenvector,5,269,8,0.8974628240621382
full_gcsr_eigenvector,5,269,9,0.4821651664640768
full_gcsr_eigenvector,5,269,10,0.48883876524823844
full_gcsr_eigenvector,5,269,11,0.43363715093977934
full_gcsr_eigenvector,5,269,12,0.4007371829660313
