Method,Events,Mean_Initial_Excess_Latent_Risk,Mean_Integrated_Excess_Risk,Mean_Half_Life,Median_Half_Life,Mean_Target_Closure_Delay,Captured_Frac,Mean_Oracle_Overlap
var_error,8,0.2870906464739564,0.3729278778988647,12.75,14.0,16.5,0.5,0.7568621833190483
full_gcsr_softmax,8,1.6125973272536007,1.1110904704448732,10.833333333333334,8.5,13.2,0.625,0.7000444544309627
full_gcsr_eigenvector,8,1.6767374179857333,1.2219438936259772,11.0,9.0,14.5,0.25,0.6962249109988885
full_gcsr_v2_softmax,8,1.8339596372645235,1.3108921718423379,10.0,9.0,12.4,0.625,0.6815203365992512
full_gcsr_v2_eigenvector,8,1.8333604123830503,1.3353429632504499,12.25,10.0,13.0,0.5,0.6654021437286948
full_gcsr_pagerank,8,2.0553316040209912,1.6246408060635384,14.4,18.0,18.25,0.5,0.6599614170140575
full_gcsr_v2_pagerank,8,2.349123073938639,1.8213998864308358,18.25,20.5,19.25,0.5,0.662073207028171
graph_only_eigenvector,8,3.361072837831027,1.984429592442343,11.25,13.0,11.0,0.25,0.3182484524702157
graph_only_v2_eigenvector,8,3.172304501982227,2.0876362223734874,13.75,13.5,15.0,0.25,0.3053189186870709
graph_only_v2_softmax,8,3.6315993743108956,2.131666004101084,11.833333333333334,10.5,14.666666666666666,0.75,0.36419456929445626
graph_only_softmax,8,3.0804562593768816,2.153198539106549,11.6,10.0,13.75,0.5,0.4412131751771225
rs_selection_v2,8,3.490801778792849,2.815697820993551,15.0,13.0,18.0,0.25,0.23612568531033434
rs_selection,8,3.493659169323509,2.9117649522445577,17.0,18.0,17.0,0.25,0.26697373225695825
recent_best,8,3.385973766606341,3.475195837706963,12.666666666666666,16.0,11.5,0.25,0.2328657437240907
graph_only_pagerank,8,3.9947721416678155,4.161677161909286,12.666666666666666,9.0,16.0,0.25,0.6678561838465479
graph_only_v2_pagerank,8,4.219803641802086,4.400827463541382,10.0,10.0,12.0,0.125,0.6718858302373589
equal,8,11.561846995734488,13.4536319629155,,,,0.0,0.6531331337654591
bates_granger_mv,8,11.577332117508865,14.8163854142269,6.0,6.0,6.0,0.125,0.48690994412775074
