oos_period,variant,row_model,col_model,adjacency
150,legacy,1,1,0.0
150,legacy,1,2,0.0
150,legacy,1,3,0.0
150,legacy,1,4,0.27361673319958246
150,legacy,1,5,0.0
150,legacy,1,6,0.0
150,legacy,1,7,0.0
150,legacy,1,8,0.0
150,legacy,2,1,0.7326652771654633
150,legacy,2,2,0.0
150,legacy,2,3,1.9304011253101743
150,legacy,2,4,0.7931557359235005
150,legacy,2,5,0.3075688014789823
150,legacy,2,6,662.18219599333
150,legacy,2,7,971.3006051738334
150,legacy,2,8,505.1608151996509
150,legacy,3,1,1.0868017668624843
150,legacy,3,2,0.0
150,legacy,3,3,0.0
150,legacy,3,4,0.0
150,legacy,3,5,0.0
150,legacy,3,6,0.0
150,legacy,3,7,0.0
150,legacy,3,8,0.0
150,legacy,4,1,0.0
150,legacy,4,2,0.0
150,legacy,4,3,0.21191025960193197
150,legacy,4,4,0.0
150,legacy,4,5,0.0
150,legacy,4,6,0.0
150,legacy,4,7,0.0
150,legacy,4,8,0.0
150,legacy,5,1,0.7156143695300927
150,legacy,5,2,0.0
150,legacy,5,3,1.9666121088748119
150,legacy,5,4,0.8047639432154902
150,legacy,5,5,0.0
150,legacy,5,6,0.0
150,legacy,5,7,0.0
150,legacy,5,8,0.0
150,legacy,6,1,89573.60506664646
150,legacy,6,2,0.0
150,legacy,6,3,5977.582227177973
150,legacy,6,4,0.7502600692066292
150,legacy,6,5,7639.73473336707
150,legacy,6,6,0.0
150,legacy,6,7,7816.862722572088
150,legacy,6,8,3295.5332443378898
150,legacy,7,1,0.7577627717385278
150,legacy,7,2,0.0
150,legacy,7,3,2.370056008991073
150,legacy,7,4,0.7726909500605779
150,legacy,7,5,1440.6111756254593
150,legacy,7,6,0.0
150,legacy,7,7,0.0
150,legacy,7,8,0.0
150,legacy,8,1,0.8077209377754684
150,legacy,8,2,0.0
150,legacy,8,3,98102.518063101
150,legacy,8,4,0.8425750337630793
150,legacy,8,5,206.38210582401499
150,legacy,8,6,0.0
150,legacy,8,7,6746.710589741634
150,legacy,8,8,0.0
151,legacy,1,1,0.0
151,legacy,1,2,0.0
151,legacy,1,3,0.22255109387303051
151,legacy,1,4,0.5772653631809983
151,legacy,1,5,0.0
151,legacy,1,6,0.0
151,legacy,1,7,0.0
151,legacy,1,8,0.0
151,legacy,2,1,0.6862992677652161
151,legacy,2,2,0.0
151,legacy,2,3,1.7210463777125753
151,legacy,2,4,0.8717731749682792
151,legacy,2,5,0.0
151,legacy,2,6,3245.1621131738834
151,legacy,2,7,21641.21907585816
151,legacy,2,8,0.0
151,legacy,3,1,0.0
151,legacy,3,2,0.0
151,legacy,3,3,0.0
151,legacy,3,4,0.27929834219312866
151,legacy,3,5,0.0
151,legacy,3,6,0.0
151,legacy,3,7,0.0
151,legacy,3,8,0.0
151,legacy,4,1,0.0
151,legacy,4,2,0.0
151,legacy,4,3,0.0
151,legacy,4,4,0.0
151,legacy,4,5,0.0
151,legacy,4,6,0.0
151,legacy,4,7,0.0
151,legacy,4,8,0.0
151,legacy,5,1,0.6566521225793399
151,legacy,5,2,0.21948327318800281
151,legacy,5,3,1.680582224140793
151,legacy,5,4,0.7601456060823638
151,legacy,5,5,0.0
151,legacy,5,6,1057.39551045183
151,legacy,5,7,15750.921556542213
151,legacy,5,8,0.0
151,legacy,6,1,61067.56495323697
151,legacy,6,2,0.0
151,legacy,6,3,90070.76563626545
151,legacy,6,4,0.9159384412191796
151,legacy,6,5,0.0
151,legacy,6,6,0.0
151,legacy,6,7,2858.0091997393583
151,legacy,6,8,0.0
151,legacy,7,1,0.6390616068052616
151,legacy,7,2,0.0
151,legacy,7,3,1.6755695624574072
151,legacy,7,4,0.7828754774427212
151,legacy,7,5,0.0
151,legacy,7,6,0.0
151,legacy,7,7,0.0
151,legacy,7,8,0.0
151,legacy,8,1,0.7281140908543127
151,legacy,8,2,5611.693813801854
151,legacy,8,3,91279.77289380001
151,legacy,8,4,0.7741591603864459
151,legacy,8,5,1540.3493706724828
151,legacy,8,6,5674.764803098376
151,legacy,8,7,29460.61433467384
151,legacy,8,8,0.0
152,legacy,1,1,0.0
152,legacy,1,2,0.0
152,legacy,1,3,0.17128369530270415
152,legacy,1,4,0.36764770495394394
152,legacy,1,5,0.0
152,legacy,1,6,0.0
152,legacy,1,7,0.0
152,legacy,1,8,0.0
152,legacy,2,1,0.8243365932614525
152,legacy,2,2,0.0
152,legacy,2,3,1.3908023593619874
152,legacy,2,4,1.0869023462184837
152,legacy,2,5,0.0
152,legacy,2,6,106.08572646121954
152,legacy,2,7,11838.032251596374
152,legacy,2,8,0.0
152,legacy,3,1,0.0
152,legacy,3,2,0.0
152,legacy,3,3,0.0
152,legacy,3,4,0.34379948721063197
152,legacy,3,5,0.0
152,legacy,3,6,0.0
152,legacy,3,7,0.0
152,legacy,3,8,0.0
152,legacy,4,1,0.0
152,legacy,4,2,0.0
152,legacy,4,3,0.0
152,legacy,4,4,0.0
152,legacy,4,5,0.0
152,legacy,4,6,0.0
152,legacy,4,7,0.0
152,legacy,4,8,0.0
152,legacy,5,1,0.826269211277649
