oos_period,model,centrality_score
150,1,6.0845263309578605e-09
150,2,0.9694778873189206
150,3,6.3224136865354375e-09
150,4,6.069114435687503e-09
150,5,7.045839589258202e-09
150,6,0.03033136556401684
150,7,4.947725309450077e-07
150,8,0.000190226821637569
151,1,5.13924193837827e-09
151,2,0.004043963761084532
151,3,5.035446719190701e-09
151,4,4.9800163838041726e-09
151,5,0.0013549903855426314
151,6,3.122522649558483e-05
151,7,5.6025145092155924e-09
151,8,0.9945697998686576
152,1,4.614038155306069e-09
152,2,0.00012035514486854451
152,3,4.581743572964146e-09
152,4,4.5254589876539405e-09
152,5,0.00808600999320858
152,6,3.078916638120031e-05
152,7,5.017901380717045e-09
152,8,0.9917628269553993
153,1,4.184032481677851e-09
153,2,0.0013916961098502374
153,3,4.166412006478601e-09
153,4,4.120638603267718e-09
153,5,0.004678885631779081
153,6,2.0789291816667524e-05
153,7,4.4367679913794545e-09
153,8,0.9939086120577029
154,1,5.8768251875221335e-09
154,2,0.00039681808948683364
154,3,5.806524807669937e-09
154,4,5.7048495983994465e-09
154,5,0.008921796596433587
154,6,3.64229482388809e-05
154,7,6.352895763826826e-09
154,8,0.9906449386237451
155,1,5.506952794204995e-09
155,2,0.00010244057323973555
155,3,5.52611707935251e-09
155,4,5.405251832760244e-09
155,5,0.9943832249496473
155,6,0.00551006235831323
155,7,4.248979345382537e-06
155,8,6.700132705130766e-09
156,1,3.288045970232586e-09
156,2,0.00973764494799408
156,3,3.1301079024246283e-09
156,4,1.2419661927587153e-08
156,5,0.9898196474096035
156,6,0.00043949237063731304
156,7,3.19292877879925e-06
156,8,3.5041704303705124e-09
157,1,9.144254955109212e-09
157,2,0.0036345811557347263
157,3,8.506748882754598e-09
157,4,8.301591225853265e-09
157,5,0.9962740369241527
157,6,9.125225834859267e-05
157,7,9.64359435249348e-09
157,8,9.406457458734816e-08
158,1,8.800240354565965e-09
158,2,0.00012071579967337428
158,3,8.422198308099789e-09
158,4,8.214928460899548e-09
158,5,0.9921479441049937
158,6,0.007726876829967158
158,7,9.573838601951721e-09
158,8,4.428253159954077e-06
159,1,6.275972438852552e-09
159,2,6.579457822215906e-09
159,3,5.999483195692585e-09
159,4,5.886026023656819e-09
159,5,0.08974788970831835
159,6,0.909740908672552
159,7,2.418255361575914e-06
159,8,0.0005087586218285563
160,1,1.5807073143597926e-08
160,2,2.0012252557932885e-08
160,3,1.345422303655888e-08
160,4,1.3417325258063425e-08
160,5,3.519636219098588e-05
160,6,0.0027838504526951297
160,7,1.607410878919126e-08
160,8,0.9971808744191308
161,1,0.9627245730026844
161,2,0.0001999319282562127
161,3,1.6076215632375795e-10
161,4,1.6067661462870592e-10
161,5,0.0019595503511818974
161,6,0.02555656236119566
161,7,1.6103900404191576e-10
161,8,0.009559381873203977
162,1,7.49749077903984e-09
162,2,9.404720944556046e-06
162,3,7.20999753061481e-09
162,4,7.145736364892673e-09
162,5,0.005996009768810544
162,6,0.9939854858390219
162,7,9.066101079794816e-06
162,8,1.1715918427593884e-08
163,1,4.22194596585543e-09
163,2,4.4728967556291195e-09
163,3,4.156817156713137e-09
163,4,4.074492062304474e-09
163,5,6.614133683615218e-07
163,6,0.9966860385067668
163,7,8.944184097004276e-05
163,8,0.003223841311742589
164,1,7.223235174973897e-09
164,2,7.91195861088658e-09
164,3,7.080130929242099e-09
164,4,6.949349655881287e-09
164,5,0.004921312875144475
164,6,0.9950571122613895
164,7,9.902754890673301e-09
164,8,2.1535795036849333e-05
165,1,1.0260482330960117e-09
165,2,0.0004624524683715969
165,3,0.01693101141856444
165,4,0.00024818469951347507
165,5,0.054725474995711565
165,6,1.773632284895658e-05
165,7,3.3959477377797016e-07
165,8,0.9276147994731679
166,1,3.118228904867626e-09
166,2,1.3855793148620608e-06
166,3,3.065542650439977e-09
166,4,3.0239675253677156e-09
166,5,0.011197701279738792
166,6,0.9885351598700699
166,7,1.4092877374292402e-06
166,8,0.00026433477439991254
167,1,0.0877175639674883
167,2,2.753055952978569e-06
167,3,1.0546682838985274e-08
167,4,1.046968964296549e-08
167,5,0.00245461238101825
167,6,0.9098213819842547
167,7,3.65542655449377e-06
167,8,1.2167358839512058e-08
168,1,1.4037463757459885e-08
168,2,1.7431275260658005e-08
168,3,1.4110781678989847e-08
168,4,1.4321356781704948e-08
168,5,0.0019597302058242
168,6,0.998029835065042
168,7,1.7435509249956283e-08
168,8,1.035739174720438e-05
169,1,1.2712874174255635e-08
169,2,1.5897954836656737e-08
169,3,1.2813224071787117e-08
169,4,1.2926410146157884e-08
169,5,1.7073017674686893e-05
169,6,0.0017158735634238444
169,7,1.5603193729101416e-08
169,8,0.9982669834642445
170,1,2.0632132723836225e-08
170,2,4.3953411268880333e-07
170,3,2.0912067227164165e-08
170,4,2.1711172077411274e-08
170,5,6.920472821006777e-07
170,6,0.0019256074012024193
170,7,6.805407015912763e-08
170,8,0.9980731297069605
171,1,7.942803779090369e-09
171,2,7.900797124619134e-09
171,3,8.608085118200881e-09
171,4,8.083139580509883e-09
171,5,0.002463724906277457
171,6,0.9975246964421651
171,7,1.4964242325340397e-08
171,8,1.153115148945753e-05
172,1,0.018279121916415692
172,2,5.903177696486945e-07
172,3,9.34126628245363e-05
172,4,0.00011551402254454625
172,5,0.007322456425196335
172,6,0.9741419858019759
172,7,3.553380715035878e-06
172,8,4.3365471558123234e-05
173,1,1.9476130882116744e-09
173,2,7.631092715706706e-09
173,3,2.6444484316002973e-09
173,4,0.0006813205212853763
173,5,0.9485644879189655
173,6,0.0004822255047089555
173,7,1.355705794921368e-06
173,8,0.05027059812509089
174,1,9.632356609569844e-08
174,2,1.679218869668482e-07
174,3,1.6409286544523797e-07
174,4,2.1744348545932305e-07
174,5,0.00076932282765647
174,6,0.9992291608375862
174,7,2.4694554228672483e-07
174,8,6.236064108634185e-07
