oos_period,var_error,full_gcsr_eigenvector,full_gcsr_v2_eigenvector,full_gcsr_pagerank,full_gcsr_v2_pagerank,full_gcsr_softmax,full_gcsr_v2_softmax,graph_only_eigenvector,graph_only_v2_eigenvector,graph_only_pagerank,graph_only_v2_pagerank,graph_only_softmax,graph_only_v2_softmax,rs_selection_v2,rs_selection,recent_best,bates_granger_mv
200,-0.41218224968505307,-0.4120976900609914,-0.4120838787962586,-0.40951367085698276,-0.4095299245619026,-0.4139118279710087,-0.41370249248840985,-0.566778705808408,-0.5675518101252572,-0.4734228577272742,-0.4739088686995242,-0.6187586354829021,-0.6195372947300152,-0.5667028673322538,-0.5667028673322538,-0.41834118777402063,-0.41774567796831696
201,-0.3632325634650373,-0.4118652909933733,-0.41184318182990415,-0.40816011030143884,-0.4081685919415271,-0.41203726924646455,-0.41216137344103154,-0.40444013006165636,-0.4053073958117031,-0.4370942501413218,-0.43460314997608473,-0.4517098832519398,-0.45366216583472585,-0.40435570715457186,-0.40435570715457186,-0.29419429578356016,-0.4176495253072192
202,-0.828670555415506,-1.0556275282152299,-1.055435003516498,-1.049774028141448,-1.0499911898804308,-1.0575356530274123,-1.0567404503110804,-1.318871655919768,-1.3184378959548588,-0.8006056674608018,-0.8054704646042612,-1.3134463080428207,-1.2869400715715105,-1.3188999415418576,-1.3188999415418576,-0.5394616547331725,-0.9895437026950571
203,-1.9728676518883905,-2.1641063831161427,-2.164031993482226,-2.1763989382905056,-2.176365564381656,-2.1950468415514197,-2.1841211718999345,-2.439142769041765,-2.4392374997850728,-1.517243432687586,-1.5161738836936791,-2.54225772668953,-2.4752291668664532,-2.4391288344824003,-2.4391288344824003,-1.9366737309360587,-2.186164296704437
204,-2.006192145415369,-2.100771712515227,-2.1008205394375654,-2.1089853758186026,-2.1088278407960392,-2.133999308250074,-2.1217746421504886,-2.6130776338039574,-2.6132838085439865,-1.5304651696078446,-1.5217632834431967,-2.6830439792267318,-2.554864787350802,-2.6130541558739537,-2.6130541558739537,-2.1777129093762855,-2.1872188288139545
205,-1.9020529443817957,-2.026582751219243,-2.0272755008054295,-2.0767018200204337,-2.0451017442117454,-2.0708539718308865,-2.056685954227017,-2.4931572566030082,-1.9610169947889515,-1.6585531359591708,-1.3776551335619682,-2.5292552575928955,-2.3244122941134444,-1.9599620590651816,-1.9599620590651816,-1.7839195815008828,-2.055394292736523
206,-1.3642504827065243,-1.566495144732987,-1.5671174742121772,-1.6077810576284315,-1.5758885413345824,-1.6036194039946228,-1.5832825205966456,-2.0492303619551735,-1.5168852515874436,-1.5016982782191721,-1.220379733947994,-2.046408821688369,-1.810266680994482,-1.5160457617443386,-1.5160457617443386,-1.2383110274347846,-1.5482010698979263
207,-1.9322368451022016,-2.528692045755763,-2.529344728838427,-2.5748534054972483,-2.5430386542496155,-2.5696392915989072,-2.550567091004374,-1.9257576891751236,-1.3989065859155527,-1.7203247089169738,-1.4722689171801338,-2.5640312834576116,-2.5121395578020946,-1.3922921445853276,-1.3922921445853276,-2.1521737254830633,-2.519377730975454
208,-2.0525174240547703,-2.64806072393507,-2.6487162458133096,-2.6916104908584377,-2.6597546066842233,-2.6872123889740624,-2.667466843247091,-1.1142154607505133,-0.5918946184146131,-1.5859491278146218,-1.3477339908685813,-2.325621443190318,-2.4151838804093018,-0.5805734692060206,-0.5805734692060206,-2.2777385935451573,-2.6340421570282975
209,-2.5292540955417766,-3.052590902325279,-3.053418419095774,-3.0860801490360985,-3.054309605326577,-3.085295327718372,-3.065987880297235,-1.909736507567163,-1.3873507186356984,-1.9797614844995262,-1.7378425109002251,-2.99947385689672,-3.075037782206035,-1.3760984860744216,-1.3760984860744216,-2.9437267635346838,-3.0684868080509973
