oos_period,variant,row_model,col_model,mu
150,legacy,1,1,0.0
150,legacy,1,2,7.9804989729123905
150,legacy,1,3,12.30266753950748
150,legacy,1,4,-5.785296075741522
150,legacy,1,5,7.87639427029471
150,legacy,1,6,9.046934111731293
150,legacy,1,7,8.261495103015818
150,legacy,1,8,8.00994504699846
150,legacy,2,1,-7.9804989729123905
150,legacy,2,2,0.0
150,legacy,2,3,-10.881426659793567
150,legacy,2,4,-13.435773170496523
150,legacy,2,5,-0.28513895083580526
150,legacy,2,6,-0.06688040179532632
150,legacy,2,7,-0.09810136112255718
150,legacy,2,8,-0.051021242335164745
150,legacy,3,1,-12.30266753950748
150,legacy,3,2,10.881426659793567
150,legacy,3,3,0.0
150,legacy,3,4,4.131218903925284
150,legacy,3,5,11.057441949152377
150,legacy,3,6,0.6037358049449754
150,legacy,3,7,11.296070983053195
150,legacy,3,8,9.908354324373201
150,legacy,4,1,5.785296075741522
150,legacy,4,2,13.435773170496523
150,legacy,4,3,-4.131218903925284
150,legacy,4,4,0.0
150,legacy,4,5,13.520949008232263
150,legacy,4,6,12.183138658768508
150,legacy,4,7,12.559183019082766
150,legacy,4,8,13.912958576771814
150,legacy,5,1,-7.87639427029471
150,legacy,5,2,0.28513895083580526
150,legacy,5,3,-11.057441949152377
150,legacy,5,4,-13.520949008232263
150,legacy,5,5,0.0
150,legacy,5,6,0.771613208070074
150,legacy,5,7,0.14550172873817138
150,legacy,5,8,0.020844592688225513
150,legacy,6,1,-9.046934111731293
150,legacy,6,2,0.06688040179532632
150,legacy,6,3,-0.6037358049449754
150,legacy,6,4,-12.183138658768508
150,legacy,6,5,-0.771613208070074
150,legacy,6,6,0.0
150,legacy,6,7,-0.789503134979781
150,legacy,6,8,-0.3328488576781269
150,legacy,7,1,-8.261495103015818
150,legacy,7,2,0.09810136112255718
150,legacy,7,3,-11.296070983053195
150,legacy,7,4,-12.559183019082766
150,legacy,7,5,-0.14550172873817138
150,legacy,7,6,0.789503134979781
150,legacy,7,7,0.0
150,legacy,7,8,0.6814177695639051
150,legacy,8,1,-8.00994504699846
150,legacy,8,2,0.051021242335164745
150,legacy,8,3,-9.908354324373201
150,legacy,8,4,-13.912958576771814
150,legacy,8,5,-0.020844592688225513
150,legacy,8,6,0.3328488576781269
150,legacy,8,7,-0.6814177695639051
150,legacy,8,8,0.0
151,legacy,1,1,0.0
151,legacy,1,2,6.978800990644712
151,legacy,1,3,-2.430942278843945
151,legacy,1,4,-12.030823440694336
151,legacy,1,5,6.744834118666892
151,legacy,1,6,6.167824060276934
151,legacy,1,7,6.523752647634355
151,legacy,1,8,6.60788227015822
151,legacy,2,1,-6.978800990644712
151,legacy,2,2,0.0
151,legacy,2,3,-9.533023356472253
151,legacy,2,4,-15.138674568451936
151,legacy,2,5,0.18598538443824664
