oos_period,row_model,col_model,mu_matrice
150,1,1,0.0
150,1,2,7.9804989729123905
150,1,3,12.30266753950748
150,1,4,-5.785296075741522
150,1,5,7.87639427029471
150,1,6,9.046934111731293
150,1,7,8.261495103015818
150,1,8,8.00994504699846
150,2,1,-7.9804989729123905
150,2,2,0.0
150,2,3,-10.881426659793567
150,2,4,-13.435773170496523
150,2,5,-0.28513895083580526
150,2,6,-0.06688040179532632
150,2,7,-0.09810136112255718
150,2,8,-0.051021242335164745
150,3,1,-12.30266753950748
150,3,2,10.881426659793567
150,3,3,0.0
150,3,4,4.131218903925284
150,3,5,11.057441949152377
150,3,6,0.6037358049449754
150,3,7,11.296070983053195
150,3,8,9.908354324373201
150,4,1,5.785296075741522
150,4,2,13.435773170496523
150,4,3,-4.131218903925284
150,4,4,0.0
150,4,5,13.520949008232263
150,4,6,12.183138658768508
150,4,7,12.559183019082766
150,4,8,13.912958576771814
150,5,1,-7.87639427029471
150,5,2,0.28513895083580526
150,5,3,-11.057441949152377
150,5,4,-13.520949008232263
150,5,5,0.0
150,5,6,0.771613208070074
150,5,7,0.14550172873817138
150,5,8,0.020844592688225513
150,6,1,-9.046934111731293
150,6,2,0.06688040179532632
150,6,3,-0.6037358049449754
150,6,4,-12.183138658768508
150,6,5,-0.771613208070074
150,6,6,0.0
150,6,7,-0.789503134979781
150,6,8,-0.3328488576781269
150,7,1,-8.261495103015818
150,7,2,0.09810136112255718
150,7,3,-11.296070983053195
150,7,4,-12.559183019082766
150,7,5,-0.14550172873817138
150,7,6,0.789503134979781
150,7,7,0.0
150,7,8,0.6814177695639051
150,8,1,-8.00994504699846
150,8,2,0.051021242335164745
150,8,3,-9.908354324373201
150,8,4,-13.912958576771814
150,8,5,-0.020844592688225513
150,8,6,0.3328488576781269
150,8,7,-0.6814177695639051
150,8,8,0.0
151,1,1,0.0
151,1,2,6.978800990644712
151,1,3,-2.430942278843945
151,1,4,-12.030823440694336
151,1,5,6.744834118666892
151,1,6,6.167824060276934
151,1,7,6.523752647634355
151,1,8,6.60788227015822
151,2,1,-6.978800990644712
151,2,2,0.0
151,2,3,-9.533023356472253
151,2,4,-15.138674568451936
151,2,5,0.18598538443824664
151,2,6,-0.3277613734305622
151,2,7,-2.185763126661674
151,2,8,0.5667810751939872
151,3,1,2.430942278843945
151,3,2,9.533023356472253
151,3,3,0.0
151,3,4,-5.650750862173162
151,3,5,9.214703782333885
151,3,6,9.09714732926281
151,3,7,8.21470024741647
151,3,8,9.219257062273801
151,4,1,12.030823440694336
151,4,2,15.138674568451936
151,4,3,5.650750862173162
151,4,4,0.0
151,4,5,13.165311179491995
151,4,6,15.142272353646675
151,4,7,12.888189296168937
151,4,8,13.181417382014393
151,5,1,-6.744834118666892
151,5,2,-0.18598538443824664
151,5,3,-9.214703782333885
151,5,4,-13.165311179491995
151,5,5,0.0
151,5,6,-0.10679694655563482
151,5,7,-1.5908430772107636
151,5,8,0.15557528643792076
151,6,1,-6.167824060276934
151,6,2,0.3277613734305622
151,6,3,-9.09714732926281
151,6,4,-15.142272353646675
151,6,5,0.10679694655563482
151,6,6,0.0
151,6,7,-0.2886589291736752
151,6,8,0.573151245112936
151,7,1,-6.523752647634355
151,7,2,2.185763126661674
151,7,3,-8.21470024741647
151,7,4,-12.888189296168937
151,7,5,1.5908430772107636
151,7,6,0.2886589291736752
151,7,7,0.0
151,7,8,2.9755220478020576
151,8,1,-6.60788227015822
151,8,2,-0.5667810751939872
151,8,3,-9.219257062273801
151,8,4,-13.181417382014393
151,8,5,-0.15557528643792076
151,8,6,-0.573151245112936
151,8,7,-2.9755220478020576
151,8,8,0.0
152,1,1,0.0
152,1,2,7.901077614754468
152,1,3,-1.7689641301286803
152,1,4,-7.431486413848145
152,1,5,7.950198837687591
152,1,6,7.309415284082804
152,1,7,6.82786842482702
152,1,8,8.20602203456354
152,2,1,-7.901077614754468
152,2,2,0.0
152,2,3,-8.719232657533523
152,2,4,-18.459655939085632
152,2,5,0.39180064368102074
152,2,6,-0.010714658372583173
152,2,7,-1.1956412574112338
152,2,8,0.8969934863048113
152,3,1,1.7689641301286803
152,3,2,8.719232657533523
152,3,3,0.0
152,3,4,-6.731574644377959
152,3,5,8.194864365883161
152,3,6,10.894996075188223
152,3,7,6.811804061370956
152,3,8,8.695206957886677
152,4,1,7.431486413848145
152,4,2,18.459655939085632
152,4,3,6.731574644377959
152,4,4,0.0
152,4,5,18.642881570273946
152,4,6,15.423051107514883
152,4,7,17.509089287743137
152,4,8,18.120573508445474
152,5,1,-7.950198837687591
152,5,2,-0.39180064368102074
152,5,3,-8.194864365883161
152,5,4,-18.642881570273946
152,5,5,0.0
152,5,6,-0.7324968132455887
152,5,7,-1.5688619472623426
152,5,8,0.3263170604694405
152,6,1,-7.309415284082804
152,6,2,0.010714658372583173
152,6,3,-10.894996075188223
152,6,4,-15.423051107514883
152,6,5,0.7324968132455887
152,6,6,0.0
152,6,7,-0.4588976427986874
152,6,8,0.6278268538894556
152,7,1,-6.82786842482702
152,7,2,1.1956412574112338
152,7,3,-6.811804061370956
152,7,4,-17.509089287743137
152,7,5,1.5688619472623426
152,7,6,0.4588976427986874
152,7,7,0.0
152,7,8,2.2826702308155578
152,8,1,-8.20602203456354
152,8,2,-0.8969934863048113
152,8,3,-8.695206957886677
152,8,4,-18.120573508445474
