oos_period,variant,row_model,col_model,sigma
150,legacy,1,1,0.0
150,legacy,1,2,10.892321439415502
150,legacy,1,3,11.319965824906012
150,legacy,1,4,21.14369485527149
150,legacy,1,5,11.006378636624822
150,legacy,1,6,1e-06
150,legacy,1,7,10.902382163463319
150,legacy,1,8,9.916623304286903
150,legacy,2,1,10.892321439415502
150,legacy,2,2,0.0
150,legacy,2,3,5.636773350892374
150,legacy,2,4,16.939540680846566
150,legacy,2,5,0.9269737131486668
150,legacy,2,6,1e-06
150,legacy,2,7,1e-06
150,legacy,2,8,1e-06
150,legacy,3,1,11.319965824906012
150,legacy,3,2,5.636773350892374
150,legacy,3,3,0.0
150,legacy,3,4,19.495033985894185
150,legacy,3,5,5.622484087249846
150,legacy,3,6,1e-06
150,legacy,3,7,4.766062040137571
150,legacy,3,8,1e-06
150,legacy,4,1,21.14369485527149
150,legacy,4,2,16.939540680846566
150,legacy,4,3,19.495033985894185
150,legacy,4,4,0.0
150,legacy,4,5,16.801036683893134
150,legacy,4,6,16.23845401454552
150,legacy,4,7,16.253724401719925
150,legacy,4,8,16.51232680979313
150,legacy,5,1,11.006378636624822
150,legacy,5,2,0.9269737131486668
150,legacy,5,3,5.622484087249846
150,legacy,5,4,16.801036683893134
150,legacy,5,5,0.0
150,legacy,5,6,1e-06
150,legacy,5,7,1e-06
150,legacy,5,8,1e-06
150,legacy,6,1,1e-06
150,legacy,6,2,1e-06
150,legacy,6,3,1e-06
150,legacy,6,4,16.23845401454552
150,legacy,6,5,1e-06
150,legacy,6,6,0.0
150,legacy,6,7,1e-06
150,legacy,6,8,1e-06
150,legacy,7,1,10.902382163463319
150,legacy,7,2,1e-06
150,legacy,7,3,4.766062040137571
150,legacy,7,4,16.253724401719925
150,legacy,7,5,1e-06
150,legacy,7,6,1e-06
150,legacy,7,7,0.0
150,legacy,7,8,1e-06
150,legacy,8,1,9.916623304286903
150,legacy,8,2,1e-06
150,legacy,8,3,1e-06
150,legacy,8,4,16.51232680979313
150,legacy,8,5,1e-06
150,legacy,8,6,1e-06
150,legacy,8,7,1e-06
150,legacy,8,8,0.0
151,legacy,1,1,0.0
151,legacy,1,2,10.168643168515471
151,legacy,1,3,10.922974951187811
151,legacy,1,4,20.840962374501313
151,legacy,1,5,10.271448490809835
151,legacy,1,6,1e-06
151,legacy,1,7,10.208231369251394
151,legacy,1,8,9.075239089242237
151,legacy,2,1,10.168643168515471
151,legacy,2,2,0.0
151,legacy,2,3,5.5389856864313565
151,legacy,2,4,17.365282421869974
151,legacy,2,5,0.8472783980747225
151,legacy,2,6,1e-06
151,legacy,2,7,1e-06
151,legacy,2,8,1e-06
151,legacy,3,1,10.922974951187811
151,legacy,3,2,5.5389856864313565
151,legacy,3,3,0.0
151,legacy,3,4,20.23185274917096
151,legacy,3,5,5.482942513462832
151,legacy,3,6,1e-06
151,legacy,3,7,4.902531577628275
151,legacy,3,8,1e-06
151,legacy,4,1,20.840962374501313
151,legacy,4,2,17.365282421869974
151,legacy,4,3,20.23185274917096
151,legacy,4,4,0.0
151,legacy,4,5,17.319359685287587
151,legacy,4,6,16.531876028313896
151,legacy,4,7,16.462529968010326
151,legacy,4,8,17.02665374329288
151,legacy,5,1,10.271448490809835
151,legacy,5,2,0.8472783980747225
151,legacy,5,3,5.482942513462832
151,legacy,5,4,17.319359685287587
151,legacy,5,5,0.0
151,legacy,5,6,1e-06
151,legacy,5,7,1e-06
151,legacy,5,8,1e-06
151,legacy,6,1,1e-06
151,legacy,6,2,1e-06
151,legacy,6,3,1e-06
151,legacy,6,4,16.531876028313896
151,legacy,6,5,1e-06
151,legacy,6,6,0.0
151,legacy,6,7,1e-06
151,legacy,6,8,1e-06
151,legacy,7,1,10.208231369251394
151,legacy,7,2,1e-06
151,legacy,7,3,4.902531577628275
151,legacy,7,4,16.462529968010326
151,legacy,7,5,1e-06
151,legacy,7,6,1e-06
151,legacy,7,7,0.0
151,legacy,7,8,1e-06
151,legacy,8,1,9.075239089242237
151,legacy,8,2,1e-06
151,legacy,8,3,1e-06
151,legacy,8,4,17.02665374329288
151,legacy,8,5,1e-06
151,legacy,8,6,1e-06
151,legacy,8,7,1e-06
151,legacy,8,8,0.0
152,legacy,1,1,0.0
152,legacy,1,2,9.584671171560142
152,legacy,1,3,10.327585463595632
152,legacy,1,4,20.21350752076257
152,legacy,1,5,9.621702106597079
152,legacy,1,6,1e-06
152,legacy,1,7,9.689389545445566
152,legacy,1,8,8.291884204395872
152,legacy,2,1,9.584671171560142
152,legacy,2,2,0.0
152,legacy,2,3,6.269110430109823
152,legacy,2,4,16.983629958178753
152,legacy,2,5,0.6862283322569607
152,legacy,2,6,1e-06
152,legacy,2,7,1e-06
152,legacy,2,8,1e-06
152,legacy,3,1,10.327585463595632
152,legacy,3,2,6.269110430109823
152,legacy,3,3,0.0
152,legacy,3,4,19.57984381839725
152,legacy,3,5,6.0472871468972995
152,legacy,3,6,1e-06
152,legacy,3,7,5.737759824505119
152,legacy,3,8,1.195830925102737
152,legacy,4,1,20.21350752076257
152,legacy,4,2,16.983629958178753
152,legacy,4,3,19.57984381839725
152,legacy,4,4,0.0
152,legacy,4,5,16.85728778124395
152,legacy,4,6,16.11677021061636
152,legacy,4,7,16.099454301081142
152,legacy,4,8,16.519709040896164
152,legacy,5,1,9.621702106597079
152,legacy,5,2,0.6862283322569607
152,legacy,5,3,6.0472871468972995
152,legacy,5,4,16.85728778124395
152,legacy,5,5,0.0
152,legacy,5,6,1e-06
152,legacy,5,7,1e-06
152,legacy,5,8,1e-06
152,legacy,6,1,1e-06
152,legacy,6,2,1e-06
152,legacy,6,3,1e-06
152,legacy,6,4,16.11677021061636
152,legacy,6,5,1e-06
152,legacy,6,6,0.0
152,legacy,6,7,1e-06
152,legacy,6,8,1e-06
152,legacy,7,1,9.689389545445566
152,legacy,7,2,1e-06
152,legacy,7,3,5.737759824505119
152,legacy,7,4,16.099454301081142
152,legacy,7,5,1e-06
152,legacy,7,6,1e-06
152,legacy,7,7,0.0
152,legacy,7,8,1e-06
152,legacy,8,1,8.291884204395872
152,legacy,8,2,1e-06
152,legacy,8,3,1.195830925102737
152,legacy,8,4,16.519709040896164
152,legacy,8,5,1e-06
152,legacy,8,6,1e-06
152,legacy,8,7,1e-06
152,legacy,8,8,0.0
153,legacy,1,1,0.0
153,legacy,1,2,9.188040244164624
153,legacy,1,3,9.600521342579
153,legacy,1,4,19.49032017370238
153,legacy,1,5,9.242399990552753
153,legacy,1,6,1e-06
153,legacy,1,7,9.272022637272855
153,legacy,1,8,7.824069168954965
153,legacy,2,1,9.188040244164624
153,legacy,2,2,0.0
153,legacy,2,3,6.2358691096283705
153,legacy,2,4,16.4280078133161
153,legacy,2,5,0.5195558884585009
153,legacy,2,6,1e-06
153,legacy,2,7,1e-06
153,legacy,2,8,1e-06
153,legacy,3,1,9.600521342579
153,legacy,3,2,6.2358691096283705
153,legacy,3,3,0.0
153,legacy,3,4,19.03669303292663
153,legacy,3,5,6.015140514103201
153,legacy,3,6,1e-06
153,legacy,3,7,5.686968404672271
153,legacy,3,8,1.1235154888304248
153,legacy,4,1,19.49032017370238
153,legacy,4,2,16.4280078133161
153,legacy,4,3,19.03669303292663
153,legacy,4,4,0.0
153,legacy,4,5,16.31169464828688
153,legacy,4,6,15.407500599668543
153,legacy,4,7,15.577221000958957
153,legacy,4,8,15.92112587389533
153,legacy,5,1,9.242399990552753
153,legacy,5,2,0.5195558884585009
153,legacy,5,3,6.015140514103201
153,legacy,5,4,16.31169464828688
153,legacy,5,5,0.0
153,legacy,5,6,1e-06
153,legacy,5,7,1e-06
153,legacy,5,8,1e-06
153,legacy,6,1,1e-06
153,legacy,6,2,1e-06
153,legacy,6,3,1e-06
153,legacy,6,4,15.407500599668543
153,legacy,6,5,1e-06
153,legacy,6,6,0.0
153,legacy,6,7,1e-06
153,legacy,6,8,1e-06
153,legacy,7,1,9.272022637272855
153,legacy,7,2,1e-06
153,legacy,7,3,5.686968404672271
153,legacy,7,4,15.577221000958957
153,legacy,7,5,1e-06
153,legacy,7,6,1e-06
153,legacy,7,7,0.0
153,legacy,7,8,1e-06
153,legacy,8,1,7.824069168954965
153,legacy,8,2,1e-06
153,legacy,8,3,1.1235154888304248
153,legacy,8,4,15.92112587389533
153,legacy,8,5,1e-06
153,legacy,8,6,1e-06
153,legacy,8,7,1e-06
153,legacy,8,8,0.0
154,legacy,1,1,0.0
154,legacy,1,2,8.625448044421665
154,legacy,1,3,8.848840437846247
154,legacy,1,4,18.687954327110255
154,legacy,1,5,8.668142603056745
154,legacy,1,6,1e-06
154,legacy,1,7,8.649086017405716
154,legacy,1,8,7.286324395301227
154,legacy,2,1,8.625448044421665
154,legacy,2,2,0.0
154,legacy,2,3,6.3475483556561505
154,legacy,2,4,16.078005473780486
154,legacy,2,5,0.18317212175816408
154,legacy,2,6,1e-06
154,legacy,2,7,1e-06
154,legacy,2,8,1e-06
154,legacy,3,1,8.848840437846247
154,legacy,3,2,6.3475483556561505
154,legacy,3,3,0.0
154,legacy,3,4,18.425922174946805
154,legacy,3,5,6.095415164635874
154,legacy,3,6,1e-06
154,legacy,3,7,5.709068526199382
154,legacy,3,8,2.0693515664696105
154,legacy,4,1,18.687954327110255
154,legacy,4,2,16.078005473780486
154,legacy,4,3,18.425922174946805
154,legacy,4,4,0.0
154,legacy,4,5,15.984256135008012
154,legacy,4,6,14.909611745046762
154,legacy,4,7,15.178086196204616
154,legacy,4,8,15.633302093540564
154,legacy,5,1,8.668142603056745
154,legacy,5,2,0.18317212175816408
154,legacy,5,3,6.095415164635874
154,legacy,5,4,15.984256135008012
154,legacy,5,5,0.0
154,legacy,5,6,1e-06
154,legacy,5,7,1e-06
154,legacy,5,8,1e-06
154,legacy,6,1,1e-06
154,legacy,6,2,1e-06
154,legacy,6,3,1e-06
154,legacy,6,4,14.909611745046762
154,legacy,6,5,1e-06
154,legacy,6,6,0.0
154,legacy,6,7,1e-06
154,legacy,6,8,1e-06
154,legacy,7,1,8.649086017405716
154,legacy,7,2,1e-06
154,legacy,7,3,5.709068526199382
154,legacy,7,4,15.178086196204616
154,legacy,7,5,1e-06
154,legacy,7,6,1e-06
154,legacy,7,7,0.0
154,legacy,7,8,1e-06
154,legacy,8,1,7.286324395301227
154,legacy,8,2,1e-06
154,legacy,8,3,2.0693515664696105
154,legacy,8,4,15.633302093540564
154,legacy,8,5,1e-06
154,legacy,8,6,1e-06
154,legacy,8,7,1e-06
154,legacy,8,8,0.0
155,legacy,1,1,0.0
155,legacy,1,2,8.026880636566187
155,legacy,1,3,8.283439413817309
155,legacy,1,4,17.846968642447997
155,legacy,1,5,8.027177675992395
155,legacy,1,6,1e-06
155,legacy,1,7,8.005164351718559
155,legacy,1,8,7.019922625059865
155,legacy,2,1,8.026880636566187
155,legacy,2,2,0.0
155,legacy,2,3,6.179757655461959
155,legacy,2,4,16.10458756583169
155,legacy,2,5,1e-06
155,legacy,2,6,1e-06
155,legacy,2,7,1e-06
155,legacy,2,8,1e-06
155,legacy,3,1,8.283439413817309
155,legacy,3,2,6.179757655461959
155,legacy,3,3,0.0
155,legacy,3,4,18.196429544189634
155,legacy,3,5,5.940956070019675
155,legacy,3,6,1e-06
155,legacy,3,7,5.658412812529996
155,legacy,3,8,1.733205645994403
155,legacy,4,1,17.846968642447997
155,legacy,4,2,16.10458756583169
155,legacy,4,3,18.196429544189634
155,legacy,4,4,0.0
155,legacy,4,5,15.98802441602772
155,legacy,4,6,14.56807618897279
155,legacy,4,7,15.124422609674715
155,legacy,4,8,16.011433030119587
155,legacy,5,1,8.027177675992395
155,legacy,5,2,1e-06
155,legacy,5,3,5.940956070019675
155,legacy,5,4,15.98802441602772
155,legacy,5,5,0.0
155,legacy,5,6,1e-06
155,legacy,5,7,1e-06
155,legacy,5,8,1e-06
155,legacy,6,1,1e-06
155,legacy,6,2,1e-06
155,legacy,6,3,1e-06
155,legacy,6,4,14.56807618897279
155,legacy,6,5,1e-06
155,legacy,6,6,0.0
155,legacy,6,7,1e-06
155,legacy,6,8,1e-06
155,legacy,7,1,8.005164351718559
155,legacy,7,2,1e-06
155,legacy,7,3,5.658412812529996
155,legacy,7,4,15.124422609674715
155,legacy,7,5,1e-06
155,legacy,7,6,1e-06
155,legacy,7,7,0.0
155,legacy,7,8,1e-06
155,legacy,8,1,7.019922625059865
155,legacy,8,2,1e-06
155,legacy,8,3,1.733205645994403
155,legacy,8,4,16.011433030119587
155,legacy,8,5,1e-06
155,legacy,8,6,1e-06
155,legacy,8,7,1e-06
155,legacy,8,8,0.0
156,legacy,1,1,0.0
156,legacy,1,2,7.320719666757872
156,legacy,1,3,7.8331097348808845
156,legacy,1,4,18.188257785204666
156,legacy,1,5,7.310329041352057
156,legacy,1,6,1e-06
156,legacy,1,7,7.311925140283634
156,legacy,1,8,6.498281331910689
156,legacy,2,1,7.320719666757872
156,legacy,2,2,0.0
156,legacy,2,3,5.996454951884337
156,legacy,2,4,16.255276242712412
156,legacy,2,5,1e-06
156,legacy,2,6,1e-06
156,legacy,2,7,1e-06
156,legacy,2,8,1e-06
156,legacy,3,1,7.8331097348808845
156,legacy,3,2,5.996454951884337
156,legacy,3,3,0.0
156,legacy,3,4,18.131332801443968
156,legacy,3,5,5.7486913560712525
156,legacy,3,6,1e-06
156,legacy,3,7,5.534118837050381
156,legacy,3,8,1.719173085922018
156,legacy,4,1,18.188257785204666
156,legacy,4,2,16.255276242712412
156,legacy,4,3,18.131332801443968
156,legacy,4,4,0.0
156,legacy,4,5,16.14072491429768
156,legacy,4,6,14.898588010255294
156,legacy,4,7,15.48910192073976
156,legacy,4,8,15.715761662677997
156,legacy,5,1,7.310329041352057
156,legacy,5,2,1e-06
156,legacy,5,3,5.7486913560712525
156,legacy,5,4,16.14072491429768
156,legacy,5,5,0.0
156,legacy,5,6,1e-06
156,legacy,5,7,1e-06
156,legacy,5,8,1e-06
156,legacy,6,1,1e-06
156,legacy,6,2,1e-06
156,legacy,6,3,1e-06
156,legacy,6,4,14.898588010255294
156,legacy,6,5,1e-06
156,legacy,6,6,0.0
156,legacy,6,7,1e-06
156,legacy,6,8,1e-06
156,legacy,7,1,7.311925140283634
156,legacy,7,2,1e-06
156,legacy,7,3,5.534118837050381
156,legacy,7,4,15.48910192073976
156,legacy,7,5,1e-06
156,legacy,7,6,1e-06
156,legacy,7,7,0.0
156,legacy,7,8,1e-06
156,legacy,8,1,6.498281331910689
156,legacy,8,2,1e-06
156,legacy,8,3,1.719173085922018
156,legacy,8,4,15.715761662677997
156,legacy,8,5,1e-06
156,legacy,8,6,1e-06
156,legacy,8,7,1e-06
156,legacy,8,8,0.0
157,legacy,1,1,0.0
157,legacy,1,2,6.628119228058525
157,legacy,1,3,7.101729118674796
157,legacy,1,4,17.276282254575005
157,legacy,1,5,6.583486692536704
157,legacy,1,6,1e-06
157,legacy,1,7,6.681148205462378
157,legacy,1,8,5.8144637218591955
157,legacy,2,1,6.628119228058525
