oos_period,row_model,col_model,sigma_matrice
150,1,1,0.0
150,1,2,10.892321439415499
150,1,3,11.319965824906014
150,1,4,21.143694855271484
150,1,5,11.006378636624827
150,1,6,1e-06
150,1,7,10.90238216346331
150,1,8,9.916623304286905
150,2,1,10.892321439415499
150,2,2,0.0
150,2,3,5.636773350892372
150,2,4,16.939540680846562
150,2,5,0.9269737131486667
150,2,6,1e-06
150,2,7,1e-06
150,2,8,1e-06
150,3,1,11.319965824906014
150,3,2,5.636773350892372
150,3,3,0.0
150,3,4,19.495033985894185
150,3,5,5.622484087249846
150,3,6,1e-06
150,3,7,4.766062040137568
150,3,8,1e-06
150,4,1,21.143694855271484
150,4,2,16.939540680846562
150,4,3,19.495033985894185
150,4,4,0.0
150,4,5,16.801036683893134
150,4,6,16.238454014545518
150,4,7,16.253724401719918
150,4,8,16.51232680979312
150,5,1,11.006378636624827
150,5,2,0.9269737131486667
150,5,3,5.622484087249846
150,5,4,16.801036683893134
150,5,5,0.0
150,5,6,1e-06
150,5,7,1e-06
150,5,8,1e-06
150,6,1,1e-06
150,6,2,1e-06
150,6,3,1e-06
150,6,4,16.238454014545518
150,6,5,1e-06
150,6,6,0.0
150,6,7,1e-06
150,6,8,1e-06
150,7,1,10.90238216346331
150,7,2,1e-06
150,7,3,4.766062040137568
150,7,4,16.253724401719918
150,7,5,1e-06
150,7,6,1e-06
150,7,7,0.0
150,7,8,1e-06
150,8,1,9.916623304286905
150,8,2,1e-06
150,8,3,1e-06
150,8,4,16.51232680979312
150,8,5,1e-06
150,8,6,1e-06
150,8,7,1e-06
150,8,8,0.0
151,1,1,0.0
151,1,2,10.168643168515471
151,1,3,10.922974951187804
151,1,4,20.84096237450131
151,1,5,10.271448490809833
151,1,6,1e-06
151,1,7,10.208231369251399
151,1,8,9.075239089242242
151,2,1,10.168643168515471
151,2,2,0.0
151,2,3,5.538985686431353
151,2,4,17.365282421869978
151,2,5,0.847278398074723
151,2,6,1e-06
151,2,7,1e-06
151,2,8,1e-06
