oos_period,variant,row_model,col_model,adjacency
150,legacy,1,1,0.0
150,legacy,1,2,0.0
150,legacy,1,3,0.07427030103465065
150,legacy,1,4,0.26630915390152454
150,legacy,1,5,0.0
150,legacy,1,6,0.0
150,legacy,1,7,1.4631053233764424
150,legacy,1,8,0.0
150,legacy,2,1,0.48385174244151424
150,legacy,2,2,0.0
150,legacy,2,3,0.9380005747622129
150,legacy,2,4,1.0061839500658156
150,legacy,2,5,0.0
150,legacy,2,6,0.06604728988655106
150,legacy,2,7,1.5974429074125363
150,legacy,2,8,0.0
150,legacy,3,1,0.0
150,legacy,3,2,0.0
150,legacy,3,3,0.0
150,legacy,3,4,0.13973723358635012
150,legacy,3,5,0.0
150,legacy,3,6,0.0
150,legacy,3,7,0.37950807901919725
150,legacy,3,8,1.2694725249616443
150,legacy,4,1,0.0
150,legacy,4,2,0.0
150,legacy,4,3,0.0
150,legacy,4,4,0.0
150,legacy,4,5,0.0
150,legacy,4,6,0.0
150,legacy,4,7,0.48914598118014607
150,legacy,4,8,0.0
150,legacy,5,1,0.7180262822087723
150,legacy,5,2,2.2800113282910375
150,legacy,5,3,0.30189868282966653
150,legacy,5,4,1.049664330087122
150,legacy,5,5,0.0
150,legacy,5,6,0.7801819371538129
150,legacy,5,7,0.5562308043460212
150,legacy,5,8,1.251755761806889
150,legacy,6,1,0.3741962578224512
150,legacy,6,2,0.0
150,legacy,6,3,0.7428183274959537
150,legacy,6,4,0.6693011744630747
150,legacy,6,5,0.0
150,legacy,6,6,0.0
150,legacy,6,7,1.0587805452902765
150,legacy,6,8,0.0
150,legacy,7,1,0.0
150,legacy,7,2,0.0
150,legacy,7,3,0.0
150,legacy,7,4,0.0
150,legacy,7,5,0.0
150,legacy,7,6,0.0
150,legacy,7,7,0.0
150,legacy,7,8,0.0
150,legacy,8,1,3.6215099733543425
150,legacy,8,2,0.07460657042891373
150,legacy,8,3,0.0
150,legacy,8,4,1.0985251042753215
150,legacy,8,5,0.0
150,legacy,8,6,3.0305317805987526
150,legacy,8,7,0.19242090257358194
150,legacy,8,8,0.0
151,legacy,1,1,0.0
151,legacy,1,2,0.01822153039489069
151,legacy,1,3,1.5549023027692916
151,legacy,1,4,0.3171830833834638
151,legacy,1,5,0.0
151,legacy,1,6,0.0
151,legacy,1,7,0.48249107773701055
151,legacy,1,8,0.3108396810470507
151,legacy,2,1,0.0
151,legacy,2,2,0.0
151,legacy,2,3,2.6283872499472056
151,legacy,2,4,0.8925733330093019
151,legacy,2,5,21165.36943701121
151,legacy,2,6,0.0
151,legacy,2,7,0.4152744751085856
151,legacy,2,8,1.3280937022589
151,legacy,3,1,0.0
151,legacy,3,2,0.0
151,legacy,3,3,0.0
151,legacy,3,4,0.0
151,legacy,3,5,0.0
151,legacy,3,6,0.0
151,legacy,3,7,0.7996443662853085
151,legacy,3,8,1.0230290214309117
151,legacy,4,1,0.0
151,legacy,4,2,0.0
151,legacy,4,3,1.37529653725026
151,legacy,4,4,0.0
151,legacy,4,5,0.0
151,legacy,4,6,0.0
151,legacy,4,7,0.1917543397742355
151,legacy,4,8,0.005986692686679104
151,legacy,5,1,0.2266346616396163
151,legacy,5,2,0.0
151,legacy,5,3,0.7179965990138879
151,legacy,5,4,0.5182326476324394
151,legacy,5,5,0.0
151,legacy,5,6,0.0
151,legacy,5,7,0.4903540003833346
151,legacy,5,8,0.851096204090082
151,legacy,6,1,0.3609675805235074
151,legacy,6,2,0.3548340850603701
151,legacy,6,3,3.1751003770324333
151,legacy,6,4,0.6055083878441894
151,legacy,6,5,0.23541335463272337
151,legacy,6,6,0.0
151,legacy,6,7,0.6514987542054863
151,legacy,6,8,0.7161333785103825
151,legacy,7,1,0.0
151,legacy,7,2,0.0
151,legacy,7,3,0.0
151,legacy,7,4,0.0
151,legacy,7,5,0.0
151,legacy,7,6,0.0
151,legacy,7,7,0.0
151,legacy,7,8,0.0
151,legacy,8,1,0.0
151,legacy,8,2,0.0
151,legacy,8,3,0.0
151,legacy,8,4,0.0
151,legacy,8,5,0.0
151,legacy,8,6,0.0
151,legacy,8,7,0.14467792954863798
151,legacy,8,8,0.0
152,legacy,1,1,0.0
152,legacy,1,2,0.0
152,legacy,1,3,0.34488663150708804
152,legacy,1,4,0.30140223068293
152,legacy,1,5,0.0
152,legacy,1,6,0.0
152,legacy,1,7,0.35606926692829394
152,legacy,1,8,0.397203159285099
152,legacy,2,1,0.1118296987049465
152,legacy,2,2,0.0
152,legacy,2,3,0.6492848565865222
152,legacy,2,4,0.41744885933580234
152,legacy,2,5,4.3791349713648975
152,legacy,2,6,0.0
152,legacy,2,7,0.346815658325333
152,legacy,2,8,0.6455627850986425
152,legacy,3,1,0.0
152,legacy,3,2,0.0
152,legacy,3,3,0.0
152,legacy,3,4,0.0
152,legacy,3,5,0.0
152,legacy,3,6,0.0
152,legacy,3,7,0.0
152,legacy,3,8,0.0
152,legacy,4,1,0.0
152,legacy,4,2,0.0
152,legacy,4,3,0.14656961475601343
152,legacy,4,4,0.0
152,legacy,4,5,0.0
152,legacy,4,6,0.0
152,legacy,4,7,0.11947229875594045
