oos_period,centrality_type,model,centrality_score
150,eigenvector,1,0.008416384803073862
150,eigenvector,2,0.11281332095317047
150,eigenvector,3,0.16980598329222202
150,eigenvector,4,1.1064634642756563e-07
150,eigenvector,5,0.4222466597040995
150,eigenvector,6,0.08627693743924186
150,eigenvector,7,8.341698733419157e-08
150,eigenvector,8,0.20044051974385832
151,eigenvector,1,0.0007609485677777268
151,eigenvector,2,0.984081077895349
151,eigenvector,3,1.4842435123757973e-08
151,eigenvector,4,1.7141253111030474e-08
151,eigenvector,5,0.0001269772914462024
151,eigenvector,6,0.015030950291405672
151,eigenvector,7,6.66866182191741e-09
151,eigenvector,8,7.300671068264356e-09
152,eigenvector,1,0.000556783045732654
152,eigenvector,2,0.12212253102765419
152,eigenvector,3,2.6980897105752842e-06
152,eigenvector,4,3.487044495284469e-05
152,eigenvector,5,0.001269015460317102
152,eigenvector,6,0.8759777451004027
152,eigenvector,7,5.1385886642204655e-06
152,eigenvector,8,3.121824156571689e-05
153,eigenvector,1,9.958863805405233e-06
153,eigenvector,2,2.4301596118929864e-05
153,eigenvector,3,5.421824659759143e-07
153,eigenvector,4,7.759809606699975e-06
153,eigenvector,5,0.9998660062682302
153,eigenvector,6,7.929977710846817e-05
153,eigenvector,7,7.045863214041542e-07
153,eigenvector,8,1.142691534295588e-05
154,eigenvector,1,4.239326372519692e-05
154,eigenvector,2,0.9542854875173385
154,eigenvector,3,2.990114601813527e-07
154,eigenvector,4,6.28643118576597e-05
154,eigenvector,5,0.00032464766015539255
154,eigenvector,6,0.02875937514902977
154,eigenvector,7,0.0165249223493442
154,eigenvector,8,1.073608896985097e-08
155,eigenvector,1,0.033751770398718156
155,eigenvector,2,0.05003348558440745
155,eigenvector,3,0.038398528190201106
155,eigenvector,4,0.0909498305843425
155,eigenvector,5,0.14364299896697386
155,eigenvector,6,0.5779447037653492
155,eigenvector,7,0.058986929164961246
155,eigenvector,8,0.00629175334404646
156,eigenvector,1,0.01023758738572771
156,eigenvector,2,0.02165763988024841
156,eigenvector,3,1.0463205341516026e-06
156,eigenvector,4,0.01439578704882755
156,eigenvector,5,0.14574306183939126
156,eigenvector,6,0.7964993406346044
156,eigenvector,7,0.01146424933943673
156,eigenvector,8,1.287550229732735e-06
157,eigenvector,1,0.051058522419429084
157,eigenvector,2,0.07374601389115708
157,eigenvector,3,0.05537413299123775
157,eigenvector,4,0.06573883947982098
157,eigenvector,5,0.18417376704116195
157,eigenvector,6,0.4615703618601421
157,eigenvector,7,0.03578668173354256
157,eigenvector,8,0.07255168058250834
158,eigenvector,1,0.04608393838944503
158,eigenvector,2,7.908530759917037e-05
158,eigenvector,3,0.002405345882839861
158,eigenvector,4,0.007673467594010434
158,eigenvector,5,0.010710622642493913
158,eigenvector,6,0.9330338116895851
158,eigenvector,7,2.541601054997165e-06
158,eigenvector,8,1.1186891971410962e-05
159,eigenvector,1,0.07649096679324371
159,eigenvector,2,5.471761205007567e-07
159,eigenvector,3,0.005600298465298696
159,eigenvector,4,0.05784476005434726
159,eigenvector,5,0.05159140636609994
159,eigenvector,6,0.7551333608057526
159,eigenvector,7,4.899398079472656e-07
159,eigenvector,8,0.05333817039832937
160,eigenvector,1,0.1296403860744024
160,eigenvector,2,0.0026644634881220347
160,eigenvector,3,0.002014478808551674
160,eigenvector,4,0.012963880468608718
160,eigenvector,5,0.034684884391920724
160,eigenvector,6,0.8175633007439441
160,eigenvector,7,1.63053222832597e-05
160,eigenvector,8,0.0004523007011670232
161,eigenvector,1,0.02478376175119495
161,eigenvector,2,0.00011229686470313239
161,eigenvector,3,2.40908026916612e-06
161,eigenvector,4,0.001603267536036112
161,eigenvector,5,0.007381758643887691
161,eigenvector,6,0.9660574513491391
161,eigenvector,7,2.1018950695123094e-05
161,eigenvector,8,3.80358230747494e-05
162,eigenvector,1,8.919543294262767e-06
162,eigenvector,2,7.628676636246928e-07
162,eigenvector,3,4.714652655889418e-07
162,eigenvector,4,4.86316541076341e-05
162,eigenvector,5,3.0279221418795096e-05
162,eigenvector,6,0.9999087372611404
162,eigenvector,7,5.624588838200465e-07
162,eigenvector,8,1.635527225922013e-06
163,eigenvector,1,1.3332989280575458e-05
163,eigenvector,2,1.708050674514876e-06
163,eigenvector,3,5.730176003878998e-07
163,eigenvector,4,0.04563760627377446
163,eigenvector,5,2.173867735479408e-05
163,eigenvector,6,0.9543165184341924
163,eigenvector,7,8.236798535017952e-07
163,eigenvector,8,7.698876269266459e-06
164,eigenvector,1,0.0008391543732600938
164,eigenvector,2,4.6871290021931625e-08
164,eigenvector,3,4.5407964966828096e-08
164,eigenvector,4,0.022302560605661666
164,eigenvector,5,0.038511271948035095
164,eigenvector,6,0.9372167752021361
164,eigenvector,7,0.0011300958617972208
164,eigenvector,8,4.972885482247338e-08
165,eigenvector,1,0.0009316788274651668
165,eigenvector,2,4.556940991702412e-08
165,eigenvector,3,0.00555604981145625
165,eigenvector,4,0.01428527100662868
165,eigenvector,5,0.0002192536662253525
165,eigenvector,6,0.8121874454852251
165,eigenvector,7,4.2077062969066824e-08
165,eigenvector,8,0.16682021355552648
166,eigenvector,1,0.051595287235307985
166,eigenvector,2,0.042153839267972004
166,eigenvector,3,0.043931496102937104
166,eigenvector,4,0.04128363102818497
166,eigenvector,5,0.02492964537512214
166,eigenvector,6,0.7961054986919263
166,eigenvector,7,2.3197257188315876e-07
166,eigenvector,8,3.7032497767049566e-07
167,eigenvector,1,0.0002276625165401161
167,eigenvector,2,0.05362135757463827
167,eigenvector,3,0.0003034785351043164
167,eigenvector,4,0.004629795698917436
167,eigenvector,5,0.06852076185095171
167,eigenvector,6,0.8724783263921632
167,eigenvector,7,1.4660171282151547e-06
167,eigenvector,8,0.00021715141355680423
168,eigenvector,1,0.03495785842756906
168,eigenvector,2,0.1580719821153248
168,eigenvector,3,0.008009424439002225
168,eigenvector,4,0.6036363017938995
168,eigenvector,5,0.15650637315646193
168,eigenvector,6,0.00536678570169498
168,eigenvector,7,0.012778063184673488
168,eigenvector,8,0.020673211180373935
169,eigenvector,1,0.01227859412332196
169,eigenvector,2,0.1638018487835
169,eigenvector,3,0.14308533410706714
169,eigenvector,4,0.2716236344893091
169,eigenvector,5,0.12647502820617393
169,eigenvector,6,0.041809743000277004
169,eigenvector,7,0.19424168064859493
169,eigenvector,8,0.04668413664075608
170,eigenvector,1,0.008217857581729583
170,eigenvector,2,0.664133411459173
170,eigenvector,3,0.012880426745489268
170,eigenvector,4,0.16768779262107103
170,eigenvector,5,8.486478713783969e-07
170,eigenvector,6,0.09485946942357566
170,eigenvector,7,0.043355033507857826
170,eigenvector,8,0.008865160012231992
171,eigenvector,1,1.638929457026127e-06
171,eigenvector,2,0.5427662637138536
171,eigenvector,3,2.2697847422539034e-06
171,eigenvector,4,0.017821818049944715
171,eigenvector,5,9.284092427722104e-07
171,eigenvector,6,0.0598661156316746
171,eigenvector,7,0.2994001035830715
171,eigenvector,8,0.08014086189701358
172,eigenvector,1,1.3778724556059592e-06
172,eigenvector,2,0.4758052270129409
172,eigenvector,3,0.12503186932728094
172,eigenvector,4,0.23071363369339618
172,eigenvector,5,5.681711997868211e-07
172,eigenvector,6,8.270804697061304e-07
172,eigenvector,7,0.14646671574475933
172,eigenvector,8,0.021979781096497435
173,eigenvector,1,0.4721020765171241
173,eigenvector,2,0.24855750544546545
173,eigenvector,3,2.7755918594969065e-07
173,eigenvector,4,0.2793388019536454
173,eigenvector,5,2.2593019041002267e-07
