oos_period,row_model,col_model,cov_matrice
150,1,1,1.8011436927397058
150,1,2,0.26821398168450417
150,1,3,0.06017368337387681
150,1,4,0.2996739312604358
150,1,5,0.1933428521943108
150,1,6,0.21259734120419924
150,1,7,0.36655897002817545
150,1,8,0.5231062470118627
150,2,1,0.26821398168450417
150,2,2,0.6720528639647917
150,2,3,0.11361263195269843
150,2,4,0.23685766014113743
150,2,5,0.12301979246153676
150,2,6,0.16977425609675106
150,2,7,0.07569837834334729
150,2,8,0.03978087495987326
150,3,1,0.06017368337387681
150,3,2,0.11361263195269843
150,3,3,1.0701169147852683
150,3,4,0.1647950037651187
150,3,5,0.3048471187695995
150,3,6,0.2538044600876887
150,3,7,0.1972836133881607
150,3,8,0.30300512264750024
150,4,1,0.2996739312604358
150,4,2,0.23685766014113743
150,4,3,0.1647950037651187
150,4,4,1.3273349891327677
150,4,5,0.2725600146876621
150,4,6,0.25870364065544665
150,4,7,0.027967100459658324
150,4,8,0.11732674450267554
150,5,1,0.1933428521943108
150,5,2,0.12301979246153676
150,5,3,0.3048471187695995
150,5,4,0.2725600146876621
150,5,5,1.391151148451635
150,5,6,0.5892282825098093
150,5,7,0.180400666421292
150,5,8,0.37666353360469723
150,6,1,0.21259734120419924
150,6,2,0.16977425609675106
150,6,3,0.2538044600876887
150,6,4,0.25870364065544665
150,6,5,0.5892282825098093
150,6,6,1.1682990562954088
150,6,7,0.25271148226731716
150,6,8,0.1928424865440337
150,7,1,0.36655897002817545
150,7,2,0.07569837834334729
150,7,3,0.1972836133881607
150,7,4,0.027967100459658324
150,7,5,0.180400666421292
150,7,6,0.25271148226731716
150,7,7,1.441859565114878
150,7,8,0.2885734112801457
150,8,1,0.5231062470118627
150,8,2,0.03978087495987326
150,8,3,0.30300512264750024
150,8,4,0.11732674450267554
150,8,5,0.37666353360469723
150,8,6,0.1928424865440337
150,8,7,0.2885734112801457
150,8,8,0.9844896911687461
151,1,1,1.7973789691968716
151,1,2,0.26915451355383363
151,1,3,0.0684374288499365
151,1,4,0.2967475166650654
151,1,5,0.1841697419031051
151,1,6,0.200100115542233
151,1,7,0.38532262750708773
151,1,8,0.5242135497340319
151,2,1,0.26915451355383363
151,2,2,0.7011422546560528
151,2,3,0.1693029777716636
151,2,4,0.23195063487698317
151,2,5,0.08630170136197739
151,2,6,0.14661564834767704
151,2,7,0.10044349105008517
151,2,8,0.04391023940470731
151,3,1,0.0684374288499365
151,3,2,0.1693029777716636
151,3,3,1.2000979183295548
151,3,4,0.15905938075483245
151,3,5,0.23797846104507575
151,3,6,0.22426220018376594
151,3,7,0.21866634148178343
151,3,8,0.31038280771289906
151,4,1,0.2967475166650654
151,4,2,0.23195063487698317
151,4,3,0.15905938075483245
151,4,4,1.3257896772343942
151,4,5,0.27322824391518785
151,4,6,0.2535148318494895
151,4,7,0.03803386369743539
151,4,8,0.11731485811923197
151,5,1,0.1841697419031051
151,5,2,0.08630170136197739
151,5,3,0.23797846104507575
151,5,4,0.27322824391518785
151,5,5,1.432026619139874
151,5,6,0.5955042611526817
151,5,7,0.18655120421788374
151,5,8,0.3728805257813113
151,6,1,0.200100115542233
151,6,2,0.14661564834767704
151,6,3,0.22426220018376594
151,6,4,0.2535148318494895
151,6,5,0.5955042611526817
151,6,6,1.145294850846648
151,6,7,0.293078230062093
151,6,8,0.19240494192921384
151,7,1,0.38532262750708773
151,7,2,0.10044349105008517
151,7,3,0.21866634148178343
151,7,4,0.03803386369743539
151,7,5,0.18655120421788374
151,7,6,0.293078230062093
151,7,7,1.357707326272918
151,7,8,0.2874702665916191
151,8,1,0.5242135497340319
151,8,2,0.04391023940470731
151,8,3,0.31038280771289906
151,8,4,0.11731485811923197
151,8,5,0.3728805257813113
151,8,6,0.19240494192921384
151,8,7,0.2874702665916191
151,8,8,0.9849577169755475
152,1,1,1.8136899205682842
152,1,2,0.2897862592923432
152,1,3,0.0579589127040599
152,1,4,0.2959032728998997
152,1,5,0.19056442132994558
152,1,6,0.21269311440763422
152,1,7,0.3839008270596399
152,1,8,0.5155929561279862
152,2,1,0.2897862592923432
152,2,2,0.7336545242053537
152,2,3,0.15951428926849365
152,2,4,0.23431805170341655
152,2,5,0.09383685591984728
152,2,6,0.16069366860286685
152,2,7,0.0985585844552718
152,2,8,0.0423547077882336
152,3,1,0.0579589127040599
152,3,2,0.15951428926849365
152,3,3,1.1930303197880487
152,3,4,0.15071459978556898
152,3,5,0.23781099359656008
152,3,6,0.22582592471042928
152,3,7,0.21922499465613116
152,3,8,0.28920123344229803
152,4,1,0.2959032728998997
152,4,2,0.23431805170341655
152,4,3,0.15071459978556898
152,4,4,1.31912858496733
152,4,5,0.27581242947684337
152,4,6,0.2598261889900597
152,4,7,0.03779588841161846
152,4,8,0.10001188970607294
152,5,1,0.19056442132994558
152,5,2,0.09383685591984728
152,5,3,0.23781099359656008
152,5,4,0.27581242947684337
152,5,5,1.4336359868882285
152,5,6,0.5976101495032347
152,5,7,0.1860702719165034
152,5,8,0.37809069096438297
152,6,1,0.21269311440763422
152,6,2,0.16069366860286685
152,6,3,0.22582592471042928
152,6,4,0.2598261889900597
152,6,5,0.5976101495032347
152,6,6,1.1483756527840392
152,6,7,0.2921993590831699
152,6,8,0.20642546193213013
152,7,1,0.3839008270596399
152,7,2,0.0985585844552718
152,7,3,0.21922499465613116
152,7,4,0.03779588841161846
152,7,5,0.1860702719165034
152,7,6,0.2921993590831699
152,7,7,1.357853159601251
152,7,8,0.28734727331431353
152,8,1,0.5155929561279862
152,8,2,0.0423547077882336
152,8,3,0.28920123344229803
152,8,4,0.10001188970607294
152,8,5,0.37809069096438297
152,8,6,0.20642546193213013
152,8,7,0.28734727331431353
152,8,8,0.9274973501958782
153,1,1,1.800319181574278
153,1,2,0.2903200009830917
153,1,3,0.05280623954422128
153,1,4,0.3321489446257926
153,1,5,0.1648700895640036
153,1,6,0.23068426232465825
153,1,7,0.3978559412693595
153,1,8,0.5447764516040489
153,2,1,0.2903200009830917
153,2,2,0.7372956486842687
153,2,3,0.15629355079579052
153,2,4,0.25053645208561826
153,2,5,0.07952399437400415
153,2,6,0.17005752366424876
153,2,7,0.10087298861696323
153,2,8,0.06684365066311343
153,3,1,0.05280623954422128
153,3,2,0.15629355079579052
153,3,3,1.1947463168604289
153,3,4,0.14734775763327748
153,3,5,0.24327666778705992
153,3,6,0.222718368911996
153,3,7,0.22222597952835701
153,3,8,0.2739913486138963
153,4,1,0.3321489446257926
153,4,2,0.25053645208561826
153,4,3,0.14734775763327748
153,4,4,1.304358131001976
153,4,5,0.2689100673139771
153,4,6,0.2609368812597355
153,4,7,0.010661641934625352
153,4,8,0.15442314772082227
153,5,1,0.1648700895640036
153,5,2,0.07952399437400415
153,5,3,0.24327666778705992
153,5,4,0.2689100673139771
153,5,5,1.4553175381603796
153,5,6,0.5877471169053617
153,5,7,0.20267052045472883
153,5,8,0.3165200363687528
153,6,1,0.23068426232465825
153,6,2,0.17005752366424876
153,6,3,0.222718368911996
153,6,4,0.2609368812597355
153,6,5,0.5877471169053617
153,6,6,1.1539265224806665
153,6,7,0.27996010649712655
153,6,8,0.24416267655218052
153,7,1,0.3978559412693595
153,7,2,0.10087298861696323
153,7,3,0.22222597952835701
153,7,4,0.010661641934625352
153,7,5,0.20267052045472883
153,7,6,0.27996010649712655
153,7,7,1.3414683751783638
153,7,8,0.27619697535648696
153,8,1,0.5447764516040489
153,8,2,0.06684365066311343
153,8,3,0.2739913486138963
153,8,4,0.15442314772082227
153,8,5,0.3165200363687528
153,8,6,0.24416267655218052
153,8,7,0.27619697535648696
153,8,8,1.0866193481246562
154,1,1,1.8777214443759715
154,1,2,0.3370079754257704
154,1,3,0.06298624250167677
154,1,4,0.3482377867717127
154,1,5,0.12704522816781097
154,1,6,0.2856002552555667
154,1,7,0.38402335466046045
154,1,8,0.5155554796133456
154,2,1,0.3370079754257704
154,2,2,0.7745183223303208
154,2,3,0.16205604047434383
154,2,4,0.2643523347384074
154,2,5,0.05184356492636485
154,2,6,0.20925638000262575
154,2,7,0.08651914930071893
154,2,8,0.04265093055898782
154,3,1,0.06298624250167677
154,3,2,0.16205604047434383
154,3,3,1.1928392534968233
154,3,4,0.1558152785734844
154,3,5,0.23465168831554511
154,3,6,0.23291639822295082
154,3,7,0.20912833439638384
154,3,8,0.260727615071935
154,4,1,0.3482377867717127
154,4,2,0.2643523347384074
154,4,3,0.1558152785734844
154,4,4,1.295739971628876
154,4,5,0.26515794043677815
154,4,6,0.2707554955099608
154,4,7,0.027990544648897116
154,4,8,0.16393857658975913
154,5,1,0.12704522816781097
154,5,2,0.05184356492636485
154,5,3,0.23465168831554511
154,5,4,0.26515794043677815
154,5,5,1.4772340158058
154,5,6,0.5582416825096708
154,5,7,0.20070274761638912
154,5,8,0.32522311123538705
154,6,1,0.2856002552555667
154,6,2,0.20925638000262575
154,6,3,0.23291639822295082
154,6,4,0.2707554955099608
154,6,5,0.5582416825096708
154,6,6,1.2051525342792453
154,6,7,0.27482983502950464
154,6,8,0.22512587118529365
154,7,1,0.38402335466046045
154,7,2,0.08651914930071893
154,7,3,0.20912833439638384
154,7,4,0.027990544648897116
154,7,5,0.20070274761638912
154,7,6,0.27482983502950464
154,7,7,1.300994158012054
154,7,8,0.25199289872721864
154,8,1,0.5155554796133456
154,8,2,0.04265093055898782
154,8,3,0.260727615071935
154,8,4,0.16393857658975913
154,8,5,0.32522311123538705
154,8,6,0.22512587118529365
154,8,7,0.25199289872721864
154,8,8,1.0733299312456255
155,1,1,1.7125898973813642
155,1,2,0.2960550668528419
155,1,3,0.07578145854304615
155,1,4,0.24218318535815886
155,1,5,0.08356668565289939
155,1,6,0.223667628621122
155,1,7,0.35607345937630813
155,1,8,0.48379247203225084
155,2,1,0.2960550668528419
155,2,2,0.7936004596129398
155,2,3,0.14061030520153078
155,2,4,0.21711874481431645
155,2,5,0.03763467764395073
155,2,6,0.19919237780211543
155,2,7,0.08261834647348154
155,2,8,0.03852291076419326
155,3,1,0.07578145854304615
155,3,2,0.14061030520153078
155,3,3,1.2174466134439121
155,3,4,0.18023210529402883
155,3,5,0.2400734846996915
155,3,6,0.23158281068198963
155,3,7,0.20795595945015657
155,3,8,0.25912387863134156
155,4,1,0.24218318535815886
155,4,2,0.21711874481431645
155,4,3,0.18023210529402883
155,4,4,1.215578989552161
155,4,5,0.23377390072126494
155,4,6,0.22002295667028535
155,4,7,0.004715464576203699
155,4,8,0.13730750583684367
155,5,1,0.08356668565289939
155,5,2,0.03763467764395073
155,5,3,0.2400734846996915
155,5,4,0.23377390072126494
155,5,5,1.4619488030773264
155,5,6,0.5388588859264024
155,5,7,0.1919167641954632
155,5,8,0.31522011195955596
155,6,1,0.223667628621122
155,6,2,0.19919237780211543
155,6,3,0.23158281068198963
155,6,4,0.22002295667028535
155,6,5,0.5388588859264024
155,6,6,1.1763668874929196
155,6,7,0.2638068887883534
155,6,8,0.21268284738368898
155,7,1,0.35607345937630813
155,7,2,0.08261834647348154
155,7,3,0.20795595945015657
155,7,4,0.004715464576203699
155,7,5,0.1919167641954632
155,7,6,0.2638068887883534
155,7,7,1.29533266062158
155,7,8,0.24649117208833668
155,8,1,0.48379247203225084
155,8,2,0.03852291076419326
155,8,3,0.25912387863134156
155,8,4,0.13730750583684367
155,8,5,0.31522011195955596
155,8,6,0.21268284738368898
155,8,7,0.24649117208833668
155,8,8,1.0661400248321697
156,1,1,1.7268780838709847
156,1,2,0.30823019783035016
156,1,3,0.06111281923033508
156,1,4,0.2230403024140632
156,1,5,0.053883301763710645
156,1,6,0.22568780683480097
156,1,7,0.3739660085752508
156,1,8,0.4895169047680991
156,2,1,0.30823019783035016
156,2,2,0.7870447752034042
156,2,3,0.14235900687457428
156,2,4,0.22559590256727483
156,2,5,0.06247149237274288
156,2,6,0.20932963055308498
156,2,7,0.06240749107772033
156,2,8,0.05199036713190478
156,3,1,0.06111281923033508
156,3,2,0.14235900687457428
156,3,3,1.2203952198194248
156,3,4,0.17785799577465525
156,3,5,0.22565086422267602
156,3,6,0.22169849315503004
156,3,7,0.2214633060069658
156,3,8,0.2451325410492033
156,4,1,0.2230403024140632
156,4,2,0.22559590256727483
156,4,3,0.17785799577465525
156,4,4,1.20085208697776
156,4,5,0.19597474928887684
156,4,6,0.20427227875305856
156,4,7,0.035617367390058254
156,4,8,0.11631311645120414
156,5,1,0.053883301763710645
156,5,2,0.06247149237274288
156,5,3,0.22565086422267602
156,5,4,0.19597474928887684
156,5,5,1.3524121898679962
156,5,6,0.5090540183162956
156,5,7,0.26488696473727125
156,5,8,0.27750322258014276
156,6,1,0.22568780683480097
156,6,2,0.20932963055308498
156,6,3,0.22169849315503004
156,6,4,0.20427227875305856
156,6,5,0.5090540183162956
156,6,6,1.172404908204745
156,6,7,0.28418438013190284
156,6,8,0.21002735630462732
156,7,1,0.3739660085752508
156,7,2,0.06240749107772033
156,7,3,0.2214633060069658
156,7,4,0.035617367390058254
156,7,5,0.26488696473727125
156,7,6,0.28418438013190284
156,7,7,1.2312862371142197
156,7,8,0.27153972953498084
156,8,1,0.4895169047680991
156,8,2,0.05199036713190478
156,8,3,0.2451325410492033
156,8,4,0.11631311645120414
156,8,5,0.27750322258014276
156,8,6,0.21002735630462732
156,8,7,0.27153972953498084
156,8,8,1.0652262993751551
157,1,1,1.5541811284175588
157,1,2,0.258513418554157
157,1,3,0.09550820584260496
157,1,4,0.18188184811327807
157,1,5,0.09395883589097603
157,1,6,0.295913030650067
157,1,7,0.40128198722960157
157,1,8,0.4728819463355911
157,2,1,0.258513418554157
157,2,2,0.8012413588151001
157,2,3,0.14210338687263882
157,2,4,0.23070789825433788
157,2,5,0.10712338042791446
157,2,6,0.2453987924611191
157,2,7,0.13417263684596248
157,2,8,0.07717823199726424
157,3,1,0.09550820584260496
157,3,2,0.14210338687263882
157,3,3,1.216722515826588
157,3,4,0.17968999891206439
157,3,5,0.20366192859972115
157,3,6,0.20033723417759416
157,3,7,0.18964914341107875
157,3,8,0.23645964046864662
157,4,1,0.18188184811327807
157,4,2,0.23070789825433788
157,4,3,0.17968999891206439
157,4,4,1.2019541692995526
157,4,5,0.2274979694056022
157,4,6,0.23193637006308374
157,4,7,0.08412595366235953
157,4,8,0.13181439094826014
157,5,1,0.09395883589097603
157,5,2,0.10712338042791446
157,5,3,0.20366192859972115
