oos_period,variant,row_model,col_model,mu
150,legacy,1,1,0.0
150,legacy,1,2,0.8867988550711774
150,legacy,1,3,-0.1944860600180806
150,legacy,1,4,-0.7506768761919973
150,legacy,1,5,1.3450550687983402
150,legacy,1,6,0.8970725758834182
150,legacy,1,7,-3.7873118490412176
150,legacy,1,8,7.8751477922846815
150,legacy,2,1,-0.8867988550711774
150,legacy,2,2,0.0
150,legacy,2,3,-1.586954346150725
150,legacy,2,4,-2.1276288488877313
150,legacy,2,5,1.4403553874072004
150,legacy,2,6,-0.10748914322901153
150,legacy,2,7,-4.543694389689448
150,legacy,2,8,0.17422697568548262
150,legacy,3,1,0.1944860600180806
150,legacy,3,2,1.586954346150725
150,legacy,3,3,0.0
150,legacy,3,4,-0.4731329996865425
150,legacy,3,5,0.40114131523955837
150,legacy,3,6,1.4824419927933172
150,legacy,3,7,-1.0385300353736535
150,legacy,3,8,-2.908499931302408
150,legacy,4,1,0.7506768761919973
150,legacy,4,2,2.1276288488877313
150,legacy,4,3,0.4731329996865425
150,legacy,4,4,0.0
150,legacy,4,5,2.722484085251524
150,legacy,4,6,1.7582172950797965
150,legacy,4,7,-1.8504972600767835
150,legacy,4,8,3.8273453194734834
150,legacy,5,1,-1.3450550687983402
150,legacy,5,2,-1.4403553874072004
150,legacy,5,3,-0.40114131523955837
150,legacy,5,4,-2.722484085251524
150,legacy,5,5,0.0
150,legacy,5,6,-1.0744037241495183
150,legacy,5,7,-1.6568865547631992
150,legacy,5,8,-1.9770199615214847
150,legacy,6,1,-0.8970725758834182
150,legacy,6,2,0.10748914322901153
150,legacy,6,3,-1.4824419927933172
150,legacy,6,4,-1.7582172950797965
150,legacy,6,5,1.0744037241495183
150,legacy,6,6,0.0
150,legacy,6,7,-3.253534264563747
150,legacy,6,8,8.240370041520462
150,legacy,7,1,3.7873118490412176
150,legacy,7,2,4.543694389689448
150,legacy,7,3,1.0385300353736535
150,legacy,7,4,1.8504972600767835
150,legacy,7,5,1.6568865547631992
150,legacy,7,6,3.253534264563747
150,legacy,7,7,0.0
150,legacy,7,8,0.6093045464882235
150,legacy,8,1,-7.8751477922846815
150,legacy,8,2,-0.17422697568548262
150,legacy,8,3,2.908499931302408
150,legacy,8,4,-3.8273453194734834
150,legacy,8,5,1.9770199615214847
150,legacy,8,6,-8.240370041520462
150,legacy,8,7,-0.6093045464882235
150,legacy,8,8,0.0
151,legacy,1,1,0.0
151,legacy,1,2,-0.0362867892982493
151,legacy,1,3,-4.9890140011925705
151,legacy,1,4,-0.8611694983794275
151,legacy,1,5,0.4140815435504962
151,legacy,1,6,0.8184202242528061
151,legacy,1,7,-1.2020006861792307
151,legacy,1,8,-0.8191850242689446
151,legacy,2,1,0.0362867892982493
151,legacy,2,2,0.0
151,legacy,2,3,-4.880825298193037
151,legacy,2,4,-2.1489403603749735
151,legacy,2,5,-2.1377023131381323
151,legacy,2,6,0.5915596266348719
151,legacy,2,7,-1.2902475598020773
151,legacy,2,8,-3.010385857650946
151,legacy,3,1,4.9890140011925705
151,legacy,3,2,4.880825298193037
151,legacy,3,3,0.0
151,legacy,3,4,5.3239671841021945
151,legacy,3,5,1.5031304677494857
151,legacy,3,6,7.8168941993990675
151,legacy,3,7,-2.7672102157802585
151,legacy,3,8,-3.2255722494902623
151,legacy,4,1,0.8611694983794275
151,legacy,4,2,2.1489403603749735
151,legacy,4,3,-5.3239671841021945
151,legacy,4,4,0.0
151,legacy,4,5,1.3373032607029984
151,legacy,4,6,1.5361705554449943
151,legacy,4,7,-0.7024562085580304
151,legacy,4,8,-0.020093942578214105
151,legacy,5,1,-0.4140815435504962
151,legacy,5,2,2.1377023131381323
151,legacy,5,3,-1.5031304677494857
151,legacy,5,4,-1.3373032607029984
151,legacy,5,5,0.0
151,legacy,5,6,0.3022695865378293
151,legacy,5,7,-1.4182077826965565
151,legacy,5,8,-1.2563514493118937
151,legacy,6,1,-0.8184202242528061
151,legacy,6,2,-0.5915596266348719
151,legacy,6,3,-7.8168941993990675
151,legacy,6,4,-1.5361705554449943
151,legacy,6,5,-0.3022695865378293
151,legacy,6,6,0.0
151,legacy,6,7,-1.9581404619466896
151,legacy,6,8,-1.9325933095444179
151,legacy,7,1,1.2020006861792307
151,legacy,7,2,1.2902475598020773
151,legacy,7,3,2.7672102157802585
151,legacy,7,4,0.7024562085580304
151,legacy,7,5,1.4182077826965565
151,legacy,7,6,1.9581404619466896
151,legacy,7,7,0.0
151,legacy,7,8,0.4385584691976599
151,legacy,8,1,0.8191850242689446
151,legacy,8,2,3.010385857650946
151,legacy,8,3,3.2255722494902623
151,legacy,8,4,0.020093942578214105
151,legacy,8,5,1.2563514493118937
151,legacy,8,6,1.9325933095444179
151,legacy,8,7,-0.4385584691976599
151,legacy,8,8,0.0
152,legacy,1,1,0.0
152,legacy,1,2,0.21288073590443837
152,legacy,1,3,-1.1152881082360833
152,legacy,1,4,-0.7891093357200902
152,legacy,1,5,0.06966088121180138
152,legacy,1,6,0.8072732860903848
152,legacy,1,7,-0.8578778898133277
152,legacy,1,8,-1.0157139193699072
152,legacy,2,1,-0.21288073590443837
152,legacy,2,2,0.0
152,legacy,2,3,-1.3465734364122097
152,legacy,2,4,-0.9860227551981349
152,legacy,2,5,-0.8070530181595585
152,legacy,2,6,0.4949879683264561
152,legacy,2,7,-1.0527110807090554
152,legacy,2,8,-1.5373148969313433
152,legacy,3,1,1.1152881082360833
152,legacy,3,2,1.3465734364122097
152,legacy,3,3,0.0
152,legacy,3,4,0.574318539579012
152,legacy,3,5,1.5112493228112358
152,legacy,3,6,1.878745883822625
152,legacy,3,7,0.14088273236610052
152,legacy,3,8,0.6191808889926905
152,legacy,4,1,0.7891093357200902
152,legacy,4,2,0.9860227551981349
152,legacy,4,3,-0.574318539579012
152,legacy,4,4,0.0
152,legacy,4,5,0.7051381119914754
152,legacy,4,6,1.3262930530413561
152,legacy,4,7,-0.4234685820978405
152,legacy,4,8,-0.049817119937511804
152,legacy,5,1,-0.06966088121180138
152,legacy,5,2,0.8070530181595585
152,legacy,5,3,-1.5112493228112358
152,legacy,5,4,-0.7051381119914754
152,legacy,5,5,0.0
152,legacy,5,6,1.1964865098893704
