oos_period,row_model,col_model,sigma_matrice
150,1,1,0.0
150,1,2,1.8326904547711111
150,1,3,2.6185249053621518
150,1,4,2.8187173977285873
150,1,5,1.8731671799432184
150,1,6,2.3972317667678587
150,1,7,2.5884435508505628
150,1,8,2.1744481443450234
150,2,1,1.8326904547711111
150,2,2,0.0
150,2,3,1.691747946418396
150,2,4,2.114452561436267
150,2,5,0.6316316802486267
150,2,6,1.6273572872504658
150,2,7,2.844254792653662
150,2,8,2.335176567249378
150,3,1,2.6185249053621518
150,3,2,1.691747946418396
150,3,3,0.0
150,3,4,3.3857763877286264
150,3,5,1.3286282722789662
150,3,6,1.995599268474757
150,3,7,2.7364162766959694
150,3,8,2.2910090032376123
150,4,1,2.8187173977285873
150,4,2,2.114452561436267
150,4,3,3.3857763877286264
150,4,4,0.0
150,4,5,2.593571145351351
150,4,6,2.6268448824593347
150,4,7,3.7830186011426505
150,4,8,3.4839763352407123
150,5,1,1.8731671799432184
150,5,2,0.6316316802486267
150,5,3,1.3286282722789662
150,5,4,2.593571145351351
150,5,5,0.0
150,5,6,1.3770194550710286
150,5,7,2.9786752526781664
150,5,8,1.5792975325247862
150,6,1,2.3972317667678587
150,6,2,1.6273572872504658
150,6,3,1.995599268474757
150,6,4,2.6268448824593347
150,6,5,1.3770194550710286
150,6,6,0.0
150,6,7,3.0728071090664537
150,6,8,2.719016854102874
150,7,1,2.5884435508505628
150,7,2,2.844254792653662
150,7,3,2.7364162766959694
150,7,4,3.7830186011426505
150,7,5,2.9786752526781664
150,7,6,3.0728071090664537
150,7,7,0.0
150,7,8,3.1664195326439386
150,8,1,2.1744481443450234
150,8,2,2.335176567249378
150,8,3,2.2910090032376123
150,8,4,3.4839763352407123
150,8,5,1.5792975325247862
150,8,6,2.719016854102874
150,8,7,3.1664195326439386
150,8,8,0.0
151,1,1,0.0
151,1,2,1.9913237998595388
151,1,3,3.208470720042733
151,1,4,2.714954943010003
151,1,5,1.8269883215955247
151,1,6,2.2671956476198223
151,1,7,2.4911391993171743
151,1,8,2.6352939802973463
151,2,1,1.9913237998595388
151,2,2,0.0
151,2,3,1.8568658250667114
151,2,4,2.4074784934441666
151,2,5,1e-06
151,2,6,1.6670443120641194
151,2,7,3.1068753551905743
151,2,8,2.2665968848137026
151,3,1,3.208470720042733
151,3,2,1.8568658250667114
151,3,3,0.0
151,3,4,3.8710412701924097
151,3,5,2.0934063896039583
151,3,6,2.4618360874206524
151,3,7,3.4604511305421157
151,3,8,3.152862606064343
151,4,1,2.714954943010003
151,4,2,2.4074784934441666
151,4,3,3.8710412701924097
151,4,4,0.0
151,4,5,2.5804075516035248
151,4,6,2.5368930231920825
151,4,7,3.6632132234977126
151,4,8,3.356334617551828
151,5,1,1.8269883215955247
151,5,2,1e-06
151,5,3,2.0934063896039583
151,5,4,2.5804075516035248
151,5,5,0.0
151,5,6,1.2838950690537956
151,5,7,2.8921121193828774
151,5,8,1.4760568002233958
151,6,1,2.2671956476198223
151,6,2,1.6670443120641194
151,6,3,2.4618360874206524
151,6,4,2.5368930231920825
151,6,5,1.2838950690537956
151,6,6,0.0
151,6,7,3.0054935630063864
151,6,8,2.698549954795256
151,7,1,2.4911391993171743
151,7,2,3.1068753551905743
151,7,3,3.4604511305421157
151,7,4,3.6632132234977126
151,7,5,2.8921121193828774
151,7,6,3.0054935630063864
151,7,7,0.0
151,7,8,3.0311741588565853
151,8,1,2.6352939802973463
151,8,2,2.2665968848137026
151,8,3,3.152862606064343
151,8,4,3.356334617551828
151,8,5,1.4760568002233958
151,8,6,2.698549954795256
151,8,7,3.0311741588565853
151,8,8,0.0
152,1,1,0.0
152,1,2,1.903515393493161
152,1,3,3.2336817889968343
152,1,4,2.6180270587549823
152,1,5,1.6325660094822156
152,1,6,2.121526367581531
152,1,7,2.4092005757390713
152,1,8,2.557064754676239
152,2,1,1.903515393493161
152,2,2,0.0
152,2,3,2.0738332247659903
152,2,4,2.361920480225969
152,2,5,0.18419507732391605
152,2,6,1.5513875115577307
152,2,7,3.0352620300544557
152,2,8,2.3812561320707792
152,3,1,3.2336817889968343
152,3,2,2.0738332247659903
152,3,3,0.0
152,3,4,3.918301099266374
152,3,5,1.9597769596439165
152,3,6,2.680799526217572
152,3,7,3.36177766318398
152,3,8,3.125533464840189
152,4,1,2.6180270587549823
152,4,2,2.361920480225969
152,4,3,3.918301099266374
152,4,4,0.0
152,4,5,2.417185351700762
152,4,6,2.4191820826924495
152,4,7,3.5443917902091053
152,4,8,3.2322396609310804
152,5,1,1.6325660094822156
152,5,2,0.18419507732391605
152,5,3,1.9597769596439165
152,5,4,2.417185351700762
152,5,5,0.0
152,5,6,1.1143545050452561
152,5,7,2.754653970546353
152,5,8,1.3602251796291893
