oos_period,row_model,col_model,adjacency_matrice
150,1,1,0.0
150,1,2,0.0
150,1,3,0.0
150,1,4,0.46412326866579817
150,1,5,0.0
150,1,6,0.0
150,1,7,0.0
150,1,8,0.0
150,2,1,1.0236306533805535
150,2,2,0.0
150,2,3,0.0
150,2,4,1.1497610276903178
150,2,5,0.13521281810237998
150,2,6,0.0
150,2,7,0.11619996770125146
150,2,8,0.2586558280725337
150,3,1,0.5902097034572585
150,3,2,0.3906315809791032
150,3,3,0.0
150,3,4,1.1669422465409505
150,3,5,0.9422301731348663
150,3,6,0.17626886493666397
150,3,7,0.22164504463806478
150,3,8,0.32892482692673847
150,4,1,0.0
150,4,2,0.0
150,4,3,0.0
150,4,4,0.0
150,4,5,0.0
150,4,6,0.0
150,4,7,0.0
150,4,8,0.0
150,5,1,0.13265412760950537
150,5,2,0.0
150,5,3,0.0
150,5,4,0.42718345968673
150,5,5,0.0
150,5,6,0.0
150,5,7,0.003719948452176354
150,5,8,0.0
150,6,1,1.1019124340438529
150,6,2,0.3224061509630715
150,6,3,0.0
150,6,4,1.544200169825932
150,6,5,0.2892373041418699
150,6,6,0.0
150,6,7,0.2948183984109485
150,6,8,0.38749703847599265
150,7,1,0.32697331963456117
150,7,2,0.0
150,7,3,0.0
150,7,4,0.513228564839407
150,7,5,0.0
150,7,6,0.0
150,7,7,0.0
150,7,8,0.010196210608233043
150,8,1,0.38267459682725635
150,8,2,0.0
150,8,3,0.0
150,8,4,0.4926407385060085
150,8,5,0.030047724722836396
150,8,6,0.0
150,8,7,0.0
150,8,8,0.0
151,1,1,0.0
151,1,2,0.0
151,1,3,0.0
151,1,4,0.4050341682101494
151,1,5,0.0
151,1,6,0.0
151,1,7,0.0
151,1,8,0.0
151,2,1,0.5956422068639774
151,2,2,0.0
151,2,3,0.7536178191995879
151,2,4,0.8838303486985858
151,2,5,0.1901186358237986
151,2,6,0.019384472884251505
151,2,7,0.15558373224974167
151,2,8,0.22858918887920412
151,3,1,0.15282916042414443
151,3,2,0.0
151,3,3,0.0
151,3,4,0.36982059334592243
151,3,5,0.8210879788639313
151,3,6,0.0
151,3,7,0.5472953065509832
151,3,8,0.7040919023821097
151,4,1,0.0
151,4,2,0.0
151,4,3,0.0
151,4,4,0.0
151,4,5,0.0
151,4,6,0.0
151,4,7,0.0
151,4,8,0.0
151,5,1,0.09287433731730008
151,5,2,0.0
151,5,3,0.0
151,5,4,0.44772541713173325
151,5,5,0.0
151,5,6,0.0
