oos_period,model,centrality_score
150,1,5.1492750268891266e-05
150,2,0.01234029704648248
150,3,0.8497957040703333
150,4,3.5917860866417666e-06
150,5,0.0003300761478435899
150,6,0.1357675204807278
150,7,0.0008056857896377087
150,8,0.0009056319276194853
151,1,2.14070455592094e-05
151,2,0.5558757950312279
151,3,0.026862855386305614
151,4,2.4206418187718063e-06
151,5,0.0006901712167294933
151,6,0.41536587899290894
151,7,9.994773629219269e-05
151,8,0.0010815239481579424
152,1,0.3825996637648462
152,2,0.14585228196726788
152,3,0.03168567465559226
152,4,2.163234695563536e-07
152,5,0.11712783310149168
152,6,0.1944080606116457
152,7,0.04510754057659905
152,8,0.0832187289980877
153,1,1.0728332747025373e-05
153,2,0.0007272505406242587
153,3,0.017874463741540177
153,4,2.6293176178194496e-06
153,5,0.0037626126644140774
153,6,0.1707201438732156
153,7,0.046267183045980084
153,8,0.7606349884828608
154,1,0.008431539630717771
154,2,0.036402479981313365
154,3,0.021771996563650746
154,4,0.04071384766206757
154,5,0.03970172774986528
154,6,0.3406327035215872
154,7,0.12257525758484734
154,8,0.38977044730495064
155,1,0.030671178576340934
155,2,0.04015227055374717
155,3,3.609041657151488e-07
155,4,0.12389030781822377
155,5,0.027831414847973284
155,6,0.23921563282930855
155,7,0.3028379850136135
155,8,0.23540084945562695
156,1,4.295565416789741e-06
156,2,0.1686164744141451
156,3,1.2608667685042152e-06
156,4,0.0001752851436798408
156,5,0.018936724389487677
156,6,0.6775526262012858
156,7,0.13469294586630293
156,8,2.0387551913360588e-05
157,1,9.924742302759006e-06
157,2,3.0277185542777003e-05
157,3,2.017612665097327e-06
157,4,0.08474741666633057
157,5,6.701701795252513e-05
157,6,0.8024968097573598
157,7,0.0498866043924112
157,8,0.06275993262443517
158,1,1.2713027059697464e-06
158,2,0.06321407664723608
158,3,5.396580086798005e-07
158,4,0.20834697967278576
158,5,0.06431245404528596
158,6,0.60237824674351
158,7,0.02551688750675431
158,8,0.03622954442271313
159,1,7.377707193787937e-05
159,2,0.014845830017135556
159,3,5.286568635578624e-06
159,4,0.0018686433926798668
159,5,0.0004779681167918702
159,6,0.7351361828909182
159,7,0.19954518450761227
159,8,0.0480471274332885
160,1,0.014218663591376733
160,2,0.10875557805432473
160,3,0.0044025883480435625
160,4,0.534954432958956
