oos_period,row_model,col_model,sigma_matrice
150,1,1,0.0
150,1,2,2.433422856681524
150,1,3,3.0895640630407946
150,1,4,3.109875795971184
150,1,5,3.587260826229846
150,1,6,2.7240790112183086
150,1,7,3.76802309529584
150,1,8,3.186213387483054
150,2,1,2.433422856681524
150,2,2,0.0
150,2,3,2.0457284954456676
150,2,4,2.88916833594415
150,2,5,3.0306119478395606
150,2,6,1.2309580753699356
150,2,7,3.5197239469372024
150,2,8,2.0241334129283746
150,3,1,3.0895640630407946
150,3,2,2.0457284954456676
150,3,3,0.0
150,3,4,2.8469815013203217
150,3,5,1.4207428330069485
150,3,6,2.0035780163739085
150,3,7,3.170425930893618
150,3,8,2.594133504449155
150,4,1,3.109875795971184
150,4,2,2.88916833594415
150,4,3,2.8469815013203217
150,4,4,0.0
150,4,5,3.9697335235269158
150,4,6,2.468243320961739
150,4,7,4.276808682138764
150,4,8,2.4961743824883715
150,5,1,3.587260826229846
150,5,2,3.0306119478395606
150,5,3,1.4207428330069485
150,5,4,3.9697335235269158
150,5,5,0.0
150,5,6,2.942275641115343
150,5,7,2.9057157583591433
150,5,8,3.051521957583285
150,6,1,2.7240790112183086
150,6,2,1.2309580753699356
150,6,3,2.0035780163739085
150,6,4,2.468243320961739
150,6,5,2.942275641115343
150,6,6,0.0
150,6,7,3.246318627065776
150,6,8,2.1998510630878663
150,7,1,3.76802309529584
150,7,2,3.5197239469372024
150,7,3,3.170425930893618
150,7,4,4.276808682138764
150,7,5,2.9057157583591433
150,7,6,3.246318627065776
150,7,7,0.0
150,7,8,4.076418943654718
150,8,1,3.186213387483054
150,8,2,2.0241334129283746
150,8,3,2.594133504449155
150,8,4,2.4961743824883715
150,8,5,3.051521957583285
150,8,6,2.1998510630878663
150,8,7,4.076418943654718
150,8,8,0.0
151,1,1,0.0
151,1,2,2.381420674021336
151,1,3,3.5715901495478826
151,1,4,2.9673729965598326
151,1,5,3.415672848602696
151,1,6,2.7436021233582792
151,1,7,3.7421329664778438
151,1,8,3.080909066993858
151,2,1,2.381420674021336
151,2,2,0.0
151,2,3,2.6010835966583796
151,2,4,2.7343706831977563
151,2,5,2.8781306723192746
151,2,6,1.1359716077538895
151,2,7,3.3627073610137743
151,2,8,1.912683625700923
151,3,1,3.5715901495478826
151,3,2,2.6010835966583796
151,3,3,0.0
151,3,4,3.2272593725335224
151,3,5,2.3147356402477626
151,3,6,2.341697942766854
