oos_period,variant,row_model,col_model,adjacency
150,legacy,1,1,0.0
150,legacy,1,2,0.0
150,legacy,1,3,0.0
150,legacy,1,4,0.46412326866579756
150,legacy,1,5,0.0
150,legacy,1,6,0.0
150,legacy,1,7,0.0
150,legacy,1,8,0.0
150,legacy,2,1,1.0236306533805544
150,legacy,2,2,0.0
150,legacy,2,3,0.0
150,legacy,2,4,1.1497610276903145
150,legacy,2,5,0.13521281810237967
150,legacy,2,6,0.0
150,legacy,2,7,0.11619996770125171
150,legacy,2,8,0.25865582807253357
150,legacy,3,1,0.5902097034572582
150,legacy,3,2,0.390631580979103
150,legacy,3,3,0.0
150,legacy,3,4,1.1669422465409498
150,legacy,3,5,0.9422301731348657
150,legacy,3,6,0.17626886493666327
150,legacy,3,7,0.2216450446380649
150,legacy,3,8,0.3289248269267378
150,legacy,4,1,0.0
150,legacy,4,2,0.0
150,legacy,4,3,0.0
150,legacy,4,4,0.0
150,legacy,4,5,0.0
150,legacy,4,6,0.0
150,legacy,4,7,0.0
150,legacy,4,8,0.0
150,legacy,5,1,0.13265412760950532
150,legacy,5,2,0.0
150,legacy,5,3,0.0
150,legacy,5,4,0.42718345968672994
150,legacy,5,5,0.0
150,legacy,5,6,0.0
150,legacy,5,7,0.0037199484521772924
150,legacy,5,8,0.0
150,legacy,6,1,1.1019124340438506
150,legacy,6,2,0.32240615096307085
150,legacy,6,3,0.0
150,legacy,6,4,1.5442001698259291
150,legacy,6,5,0.28923730414186943
150,legacy,6,6,0.0
150,legacy,6,7,0.29481839841094887
150,legacy,6,8,0.3874970384759922
150,legacy,7,1,0.32697331963456083
150,legacy,7,2,0.0
150,legacy,7,3,0.0
150,legacy,7,4,0.5132285648394066
150,legacy,7,5,0.0
150,legacy,7,6,0.0
150,legacy,7,7,0.0
150,legacy,7,8,0.010196210608232769
150,legacy,8,1,0.38267459682725585
150,legacy,8,2,0.0
150,legacy,8,3,0.0
150,legacy,8,4,0.49264073850600576
150,legacy,8,5,0.03004772472283638
150,legacy,8,6,0.0
150,legacy,8,7,0.0
150,legacy,8,8,0.0
151,legacy,1,1,0.0
151,legacy,1,2,0.0
151,legacy,1,3,0.0
151,legacy,1,4,0.4050341682101496
151,legacy,1,5,0.0
151,legacy,1,6,0.0
151,legacy,1,7,0.0
151,legacy,1,8,0.0
151,legacy,2,1,0.595642206863977
151,legacy,2,2,0.0
151,legacy,2,3,0.7536178191995883
151,legacy,2,4,0.8838303486985886
151,legacy,2,5,0.19011863582379862
151,legacy,2,6,0.019384472884252144
151,legacy,2,7,0.15558373224974206
151,legacy,2,8,0.2285891888792041
151,legacy,3,1,0.15282916042414477
151,legacy,3,2,0.0
151,legacy,3,3,0.0
151,legacy,3,4,0.36982059334592265
151,legacy,3,5,0.8210879788639315
151,legacy,3,6,0.0
151,legacy,3,7,0.5472953065509832
151,legacy,3,8,0.7040919023821104
151,legacy,4,1,0.0
151,legacy,4,2,0.0
151,legacy,4,3,0.0
151,legacy,4,4,0.0
151,legacy,4,5,0.0
151,legacy,4,6,0.0
151,legacy,4,7,0.0
151,legacy,4,8,0.0
151,legacy,5,1,0.09287433731730017
151,legacy,5,2,0.0
151,legacy,5,3,0.0
151,legacy,5,4,0.44772541713173375
151,legacy,5,5,0.0
151,legacy,5,6,0.0
151,legacy,5,7,0.32459904481727175
151,legacy,5,8,0.0
151,legacy,6,1,0.8100813244625444
151,legacy,6,2,0.0
151,legacy,6,3,0.7783883171744558
151,legacy,6,4,1.2262114537528777
151,legacy,6,5,0.22147517933524155
151,legacy,6,6,0.0
151,legacy,6,7,0.35173967873989687
151,legacy,6,8,0.3060327366269041
151,legacy,7,1,0.19105800721701752
151,legacy,7,2,0.0
151,legacy,7,3,0.0
151,legacy,7,4,0.390901868022467
151,legacy,7,5,0.0
151,legacy,7,6,0.0
151,legacy,7,7,0.0
151,legacy,7,8,0.0
151,legacy,8,1,0.25765419947176693
151,legacy,8,2,0.0
151,legacy,8,3,0.0
151,legacy,8,4,0.807884015359731
151,legacy,8,5,0.06789636280868973
151,legacy,8,6,0.0
151,legacy,8,7,0.013934287080029912
151,legacy,8,8,0.0
152,legacy,1,1,0.0
152,legacy,1,2,0.7422366945511804
152,legacy,1,3,0.13835983451581693
152,legacy,1,4,0.5912929366405516
152,legacy,1,5,0.0
152,legacy,1,6,0.45021582489650086
152,legacy,1,7,0.2986711934488984
152,legacy,1,8,0.08942293084251396
152,legacy,2,1,0.0
152,legacy,2,2,0.0
152,legacy,2,3,0.29646736184031197
152,legacy,2,4,0.9135256562086026
152,legacy,2,5,0.41584165664117867
152,legacy,2,6,0.0
152,legacy,2,7,0.18664922084259528
152,legacy,2,8,0.21340188581935937
152,legacy,3,1,0.0
152,legacy,3,2,0.0
152,legacy,3,3,0.0
152,legacy,3,4,0.6486692936001217
152,legacy,3,5,0.12114406331970574
152,legacy,3,6,0.0
152,legacy,3,7,0.09132822209606462
152,legacy,3,8,0.0
152,legacy,4,1,0.0
152,legacy,4,2,0.0
152,legacy,4,3,0.0
152,legacy,4,4,0.0
152,legacy,4,5,0.0
152,legacy,4,6,0.0
