oos_period,centrality_type,model,centrality_score
150,eigenvector,1,5.14927502688915e-05
150,eigenvector,2,0.012340297046482386
150,eigenvector,3,0.8497957040703339
150,eigenvector,4,3.591786086641773e-06
150,eigenvector,5,0.00033007614784357083
150,eigenvector,6,0.13576752048072732
150,eigenvector,7,0.0008056857896377173
150,eigenvector,8,0.0009056319276194748
151,eigenvector,1,2.140704555920944e-05
151,eigenvector,2,0.5558757950312255
151,eigenvector,3,0.0268628553863057
151,eigenvector,4,2.420641818771809e-06
151,eigenvector,5,0.0006901712167294945
151,eigenvector,6,0.41536587899291105
151,eigenvector,7,9.994773629219294e-05
151,eigenvector,8,0.001081523948157945
152,eigenvector,1,0.38259966376484644
152,eigenvector,2,0.14585228196726782
152,eigenvector,3,0.03168567465559231
152,eigenvector,4,2.1632346955635345e-07
152,eigenvector,5,0.11712783310149182
152,eigenvector,6,0.19440806061164542
152,eigenvector,7,0.04510754057659896
152,eigenvector,8,0.08321872899808767
153,eigenvector,1,1.0728332747025359e-05
153,eigenvector,2,0.0007272505406242574
153,eigenvector,3,0.01787446374154016
153,eigenvector,4,2.6293176178194487e-06
153,eigenvector,5,0.0037626126644140696
153,eigenvector,6,0.1707201438732158
153,eigenvector,7,0.04626718304598031
153,eigenvector,8,0.7606349884828604
154,eigenvector,1,0.008431539630717829
154,eigenvector,2,0.03640247998131339
154,eigenvector,3,0.021771996563650715
154,eigenvector,4,0.04071384766206754
154,eigenvector,5,0.03970172774986524
154,eigenvector,6,0.3406327035215872
154,eigenvector,7,0.1225752575848476
154,eigenvector,8,0.38977044730495036
155,eigenvector,1,0.030671178576340802
155,eigenvector,2,0.04015227055374736
155,eigenvector,3,3.60904165715148e-07
155,eigenvector,4,0.12389030781822438
155,eigenvector,5,0.02783141484797302
155,eigenvector,6,0.23921563282930863
155,eigenvector,7,0.30283798501361325
155,eigenvector,8,0.23540084945562684
156,eigenvector,1,4.2955654167897565e-06
156,eigenvector,2,0.16861647441414448
156,eigenvector,3,1.2608667685042188e-06
156,eigenvector,4,0.00017528514367984072
156,eigenvector,5,0.0189367243894874
156,eigenvector,6,0.677552626201287
156,eigenvector,7,0.13469294586630262
156,eigenvector,8,2.038755191336069e-05
157,eigenvector,1,9.924742302758811e-06
157,eigenvector,2,3.027718554277622e-05
157,eigenvector,3,2.017612665097302e-06
157,eigenvector,4,0.08474741666633302
157,eigenvector,5,6.701701795252298e-05
157,eigenvector,6,0.8024968097573568
157,eigenvector,7,0.049886604392411826
157,eigenvector,8,0.06275993262443509
158,eigenvector,1,1.2713027059697506e-06
158,eigenvector,2,0.06321407664723575
158,eigenvector,3,5.396580086798018e-07
158,eigenvector,4,0.208346979672786
158,eigenvector,5,0.0643124540452859
158,eigenvector,6,0.6023782467435105
158,eigenvector,7,0.025516887506754137
158,eigenvector,8,0.036229544422712937
159,eigenvector,1,7.37770719378797e-05
159,eigenvector,2,0.014845830017135622
159,eigenvector,3,5.286568635578631e-06
159,eigenvector,4,0.0018686433926798764
159,eigenvector,5,0.0004779681167918702
159,eigenvector,6,0.7351361828909159
159,eigenvector,7,0.19954518450761463
159,eigenvector,8,0.048047127433288664
160,eigenvector,1,0.014218663591376903
160,eigenvector,2,0.10875557805432526
160,eigenvector,3,0.0044025883480437004
160,eigenvector,4,0.5349544329589543
160,eigenvector,5,0.013455035912384635
160,eigenvector,6,0.032619544605952094
160,eigenvector,7,0.168028696156126
160,eigenvector,8,0.12356546037183716
161,eigenvector,1,0.1009146106363539
161,eigenvector,2,0.09774610590795935
161,eigenvector,3,3.8496374230413485e-07
161,eigenvector,4,0.5564011608383741
161,eigenvector,5,0.07949362285280556
161,eigenvector,6,0.033723953947624716
161,eigenvector,7,0.041445289372763094
161,eigenvector,8,0.09027487147937696
162,eigenvector,1,4.420648617566147e-05
162,eigenvector,2,0.005546405907760356
162,eigenvector,3,4.279821216259849e-06
162,eigenvector,4,0.9193060442624263
162,eigenvector,5,0.052120370880064264
162,eigenvector,6,0.02085976472134772
162,eigenvector,7,0.001916304878250621
162,eigenvector,8,0.00020262304175866678
163,eigenvector,1,0.08055476618820373
163,eigenvector,2,0.18133832397374114
163,eigenvector,3,0.024097127333470185
163,eigenvector,4,0.22961120983016284
163,eigenvector,5,0.11472019280926397
163,eigenvector,6,0.18735353788982606
163,eigenvector,7,0.08709910376453836
163,eigenvector,8,0.09522573820979374
164,eigenvector,1,2.270823422343393e-08
164,eigenvector,2,0.009713780674968456
164,eigenvector,3,1.1774382075471312e-08
164,eigenvector,4,0.011175168696196166
164,eigenvector,5,0.9449992332133994
164,eigenvector,6,0.020035762997086905
164,eigenvector,7,0.014076003129831064
164,eigenvector,8,1.6804901568453117e-08
165,eigenvector,1,0.11884672757602088
165,eigenvector,2,2.794817042362389e-07
165,eigenvector,3,1.747480088365344e-07
165,eigenvector,4,0.4019095866453594
