method,oos_period,model,weight
full_gcsr_eigenvector,150,model_1,0.08171604719395845
full_gcsr_eigenvector,150,model_2,0.2033225108898737
full_gcsr_eigenvector,150,model_3,0.2963601505910017
full_gcsr_eigenvector,150,model_4,0.02777485123002583
full_gcsr_eigenvector,150,model_5,0.16118487694479597
full_gcsr_eigenvector,150,model_6,0.1293771845833887
full_gcsr_eigenvector,150,model_7,0.0
full_gcsr_eigenvector,150,model_8,0.10026437856595578
full_gcsr_eigenvector,151,model_1,0.04443526531857591
full_gcsr_eigenvector,151,model_2,0.3574271729738128
full_gcsr_eigenvector,151,model_3,0.12605658470106815
full_gcsr_eigenvector,151,model_4,0.022542251091702086
full_gcsr_eigenvector,151,model_5,0.09948595206950238
full_gcsr_eigenvector,151,model_6,0.2697911490714962
full_gcsr_eigenvector,151,model_7,0.04087865835431451
full_gcsr_eigenvector,151,model_8,0.03938296641852794
full_gcsr_eigenvector,152,model_1,0.05063123647255752
full_gcsr_eigenvector,152,model_2,0.2734531159618008
full_gcsr_eigenvector,152,model_3,0.12796428442114624
full_gcsr_eigenvector,152,model_4,0.018607262455645663
full_gcsr_eigenvector,152,model_5,0.07096053728505847
full_gcsr_eigenvector,152,model_6,0.25341509057658423
full_gcsr_eigenvector,152,model_7,0.12344232179571325
full_gcsr_eigenvector,152,model_8,0.08152615103049378
full_gcsr_eigenvector,153,model_1,0.04465575170537467
full_gcsr_eigenvector,153,model_2,0.20072347982968958
full_gcsr_eigenvector,153,model_3,0.14923008755616457
full_gcsr_eigenvector,153,model_4,0.042757279621649595
full_gcsr_eigenvector,153,model_5,0.11894938619922513
full_gcsr_eigenvector,153,model_6,0.23553703879391286
full_gcsr_eigenvector,153,model_7,0.12990474456429768
full_gcsr_eigenvector,153,model_8,0.0782422317286859
full_gcsr_eigenvector,154,model_1,0.026389458322047952
full_gcsr_eigenvector,154,model_2,0.18088161058891197
full_gcsr_eigenvector,154,model_3,0.07475727899425524
full_gcsr_eigenvector,154,model_4,0.011328055789202986
full_gcsr_eigenvector,154,model_5,0.17018939149476683
full_gcsr_eigenvector,154,model_6,0.2657136692717248
full_gcsr_eigenvector,154,model_7,0.10905164063140291
full_gcsr_eigenvector,154,model_8,0.16168889490668722
full_gcsr_eigenvector,155,model_1,0.010306606433833165
full_gcsr_eigenvector,155,model_2,0.13757298209697957
full_gcsr_eigenvector,155,model_3,0.04071555186435422
full_gcsr_eigenvector,155,model_4,0.004053867355460567
full_gcsr_eigenvector,155,model_5,0.15127414750910648
full_gcsr_eigenvector,155,model_6,0.2546900489071489
full_gcsr_eigenvector,155,model_7,0.1865832909904855
full_gcsr_eigenvector,155,model_8,0.21480350484163152
full_gcsr_eigenvector,156,model_1,0.005356098089218386
full_gcsr_eigenvector,156,model_2,0.22732559908113217
full_gcsr_eigenvector,156,model_3,0.05027577657423819
full_gcsr_eigenvector,156,model_4,0.012227960334752177
full_gcsr_eigenvector,156,model_5,0.21024544889743516
full_gcsr_eigenvector,156,model_6,0.3614447248366146
full_gcsr_eigenvector,156,model_7,0.057297457816849015
full_gcsr_eigenvector,156,model_8,0.07582693436876009
full_gcsr_eigenvector,157,model_1,0.0084276744232901
full_gcsr_eigenvector,157,model_2,0.2071482922883889
full_gcsr_eigenvector,157,model_3,0.05628301372071097
full_gcsr_eigenvector,157,model_4,0.012608744362180563
full_gcsr_eigenvector,157,model_5,0.19892170352551128
full_gcsr_eigenvector,157,model_6,0.39669657091322663
full_gcsr_eigenvector,157,model_7,0.043838769767493804
full_gcsr_eigenvector,157,model_8,0.07607523099819774
full_gcsr_eigenvector,158,model_1,0.0
full_gcsr_eigenvector,158,model_2,0.23134703216767377
full_gcsr_eigenvector,158,model_3,0.05919495717289844
full_gcsr_eigenvector,158,model_4,0.06446160572728075
full_gcsr_eigenvector,158,model_5,0.20750755615566735
full_gcsr_eigenvector,158,model_6,0.3451042353604821
full_gcsr_eigenvector,158,model_7,0.036102857164378166
full_gcsr_eigenvector,158,model_8,0.05628175625061929
full_gcsr_eigenvector,159,model_1,0.01814766925665129
full_gcsr_eigenvector,159,model_2,0.20280708819565996
full_gcsr_eigenvector,159,model_3,0.08182776153501647
full_gcsr_eigenvector,159,model_4,0.022056326985432192
full_gcsr_eigenvector,159,model_5,0.19366199448231938
full_gcsr_eigenvector,159,model_6,0.37134132842241396
full_gcsr_eigenvector,159,model_7,0.08470133741734265
full_gcsr_eigenvector,159,model_8,0.025456493704164064
full_gcsr_eigenvector,160,model_1,0.07696246231445539
full_gcsr_eigenvector,160,model_2,0.20778909168550247
full_gcsr_eigenvector,160,model_3,0.13763680188010632
full_gcsr_eigenvector,160,model_4,0.11485312969725898
full_gcsr_eigenvector,160,model_5,0.2081671895192116
full_gcsr_eigenvector,160,model_6,0.16058704738666893
full_gcsr_eigenvector,160,model_7,0.08310076419916917
full_gcsr_eigenvector,160,model_8,0.010903513316627048
full_gcsr_eigenvector,161,model_1,0.07411949535068693
full_gcsr_eigenvector,161,model_2,0.2076140137303785
full_gcsr_eigenvector,161,model_3,0.13674396092150892
