oos_period,variant,row_model,col_model,sigma
150,legacy,1,1,0.0
150,legacy,1,2,14.191612392814896
150,legacy,1,3,10.966555063836505
150,legacy,1,4,17.093569874094133
150,legacy,1,5,15.902558849889788
150,legacy,1,6,16.090272797657637
150,legacy,1,7,14.24048036200491
150,legacy,1,8,14.562947591547966
150,legacy,2,1,14.191612392814896
150,legacy,2,2,0.0
150,legacy,2,3,3.632600500384276
150,legacy,2,4,7.445440589628709
150,legacy,2,5,5.810072206890479
150,legacy,2,6,1.091017478716365
150,legacy,2,7,3.994719688221544
150,legacy,2,8,5.111156764279112
150,legacy,3,1,10.966555063836505
150,legacy,3,2,3.632600500384276
150,legacy,3,3,0.0
150,legacy,3,4,7.110324921946479
150,legacy,3,5,2.531895238989184
150,legacy,3,6,2.6989466797139574
150,legacy,3,7,1e-06
150,legacy,3,8,1e-06
150,legacy,4,1,17.093569874094133
150,legacy,4,2,7.445440589628709
150,legacy,4,3,7.110324921946479
150,legacy,4,4,0.0
150,legacy,4,5,4.472551047147854
150,legacy,4,6,2.438401295422536
150,legacy,4,7,7.49476180782678
150,legacy,4,8,8.310588776105037
150,legacy,5,1,15.902558849889788
150,legacy,5,2,5.810072206890479
150,legacy,5,3,2.531895238989184
150,legacy,5,4,4.472551047147854
150,legacy,5,5,0.0
150,legacy,5,6,5.236586585130541
150,legacy,5,7,5.877180502849028
150,legacy,5,8,7.83357009746154
150,legacy,6,1,16.090272797657637
150,legacy,6,2,1.091017478716365
150,legacy,6,3,2.6989466797139574
150,legacy,6,4,2.438401295422536
150,legacy,6,5,5.236586585130541
150,legacy,6,6,0.0
150,legacy,6,7,2.7266107271034907
150,legacy,6,8,6.280007350968803
150,legacy,7,1,14.24048036200491
150,legacy,7,2,3.994719688221544
150,legacy,7,3,1e-06
150,legacy,7,4,7.49476180782678
150,legacy,7,5,5.877180502849028
150,legacy,7,6,2.7266107271034907
150,legacy,7,7,0.0
150,legacy,7,8,1e-06
150,legacy,8,1,14.562947591547966
150,legacy,8,2,5.111156764279112
150,legacy,8,3,1e-06
150,legacy,8,4,8.310588776105037
150,legacy,8,5,7.83357009746154
150,legacy,8,6,6.280007350968803
150,legacy,8,7,1e-06
150,legacy,8,8,0.0
151,legacy,1,1,0.0
151,legacy,1,2,15.79777691999753
151,legacy,1,3,11.114559001937964
151,legacy,1,4,17.41556045106564
151,legacy,1,5,17.069906883964283
151,legacy,1,6,15.63810395862307
151,legacy,1,7,13.467627632795892
151,legacy,1,8,14.270944425063616
151,legacy,2,1,15.79777691999753
151,legacy,2,2,0.0
151,legacy,2,3,3.808851664854103
151,legacy,2,4,7.509369966072012
151,legacy,2,5,5.574969724727331
151,legacy,2,6,6.184010683755061
151,legacy,2,7,5.040257877153722
