oos_period,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8
200,3.5887968544817646e-34,0.1539314976157478,0.4330583555932613,0.00015475350852090216,1.1538115427785582e-06,1.7725881763346516e-14,0.03432200213831039,0.37853223733259916
201,7.806200569267911e-35,0.011534941300375356,0.634423937115828,3.372166733659019e-05,8.151863362629237e-07,4.402099358485625e-15,0.04079086374049691,0.3132157209896226
202,1.0207945086787075e-35,0.013098018627875479,0.6547853206595875,8.87332949163608e-06,7.69822950077428e-08,1.4804515129897149e-18,0.11020763640155455,0.22190007399919587
203,6.624647533896786e-34,0.023999895051388782,0.5627733293118209,3.701645386598438e-06,7.713663273510668e-09,2.9711439842562967e-15,0.0773500295930996,0.335873036684638
204,2.717211186928883e-33,0.028386512746541633,0.5306693719936953,1.1687967670092443e-06,8.561980020182915e-09,5.420748867769566e-15,0.09295320020368757,0.34798973769732294
205,1.0067851799186419e-32,0.00441909955555715,0.5474544696836429,5.412798381845194e-07,1.7852595557891114e-09,1.6673614767543204e-15,0.07442326331806662,0.373702624377634
206,3.3396650777853616e-32,0.000874252949852801,0.4642507744107711,4.932963629607578e-08,6.811102664595313e-11,1.4617173551065926e-14,0.1360221555759202,0.39885276766569394
207,2.632926287751025e-31,0.00017137459861391532,0.17229845366654215,3.101622626348879e-08,4.09626996080802e-11,1.4560848433904067e-14,0.2432775068548253,0.5842526338228152
208,5.294795242659003e-32,6.741464430646212e-05,0.02429231734242834,1.594218082061065e-07,3.0478761623456345e-11,1.321323869975974e-15,0.3804224213710648,0.5952176871899122
209,3.8867868645254646e-32,7.752235356727058e-05,0.02478576830557874,5.036545370560449e-07,5.264563573817456e-11,1.1134664974133201e-15,0.3810478365012006,0.5940883691324697
210,1.9023822101455827e-33,1.7585082674236623e-05,0.0030081697304146044,1.7796429254745075e-07,6.783124831463466e-11,4.0075470501563774e-15,0.283329591162848,0.7136444759919354
211,2.0699249683521463e-32,3.567578231069978e-05,0.006837088469864636,3.689226365893432e-07,1.7594603094080265e-11,1.1064923552872887e-13,0.396217464039781,0.5969094027677019
212,3.7715173535709956e-33,2.656078230489389e-06,0.0019061426722993759,3.620939333504494e-07,8.885506972717557e-11,1.2605717288356616e-14,0.4126221861893426,0.5854686528773265
213,6.238188982650505e-32,1.9525759718215512e-05,0.0010943825412012107,6.18898108446646e-07,2.2386840537017177e-11,2.1734265134893715e-13,0.4182018752991929,0.5806835974791751
214,6.00809674040838e-31,5.751653422237283e-06,0.0004107562686260101,1.3419441530920423e-07,1.4103448960364999e-11,9.319091105930713e-13,0.16615804740200746,0.8334253104664937
215,1.078993177142223e-30,4.7517653761962736e-08,3.3890731848269227e-06,3.173246133789814e-07,1.853929213933407e-11,1.2324700653703387e-12,0.16000463015461724,0.8399916159101591
216,3.871289263388173e-29,2.75868536627216e-07,3.011641787354079e-05,3.335657036239278e-07,2.670802900212229e-11,1.3861559502050573e-11,0.4972774769119218,0.5026917971953949
217,1.1271148417702587e-28,3.393139786150379e-07,7.899770421358242e-06,1.0115146547177581e-06,3.6717446181767904e-10,7.739131962656345e-12,0.8336625674224093,0.16632818160362253
218,1.4029979712364615e-28,2.9194950176147018e-08,8.253489098829827e-08,1.8991929167429672e-07,2.91314344012522e-10,4.080331763551599e-12,0.8189679985950364,0.18103169946043599
219,2.657346064524857e-27,3.762442095881228e-09,3.8067804582666895e-08,5.7947078395041795e-08,3.2492109115687583e-09,3.2113671246794657e-12,0.7711847836237307,0.22881511334652177
220,9.505558354321042e-28,2.64409102412402e-09,1.339135542597026e-07,1.308997178535962e-07,3.0282498413134986e-09,2.2275905363707158e-11,0.6092056859506509,0.3907940435414602
221,5.251759935867399e-28,4.756354407058211e-09,1.7662823069069095e-08,1.7245758325518913e-07,1.1002773122468215e-08,6.653601394641548e-12,0.5329244840538668,0.46707531005994574
222,4.2913680622771035e-28,8.815017508410447e-10,6.37187470790783e-10,6.631959154354136e-08,5.694664446965591e-09,1.3438538693099241e-12,0.36874880370551955,0.6312511227601915
223,2.4492451398600406e-26,1.6045998538336047e-09,9.59760628297819e-12,1.7639393635982363e-08,6.376598260469765e-09,1.8558418252049988e-12,0.7363456814582156,0.2636542929097393
224,1.9292932359585855e-28,7.607216256876158e-10,5.462307545254948e-12,2.9954577956783304e-08,2.551634564727771e-08,7.83787667780428e-12,0.09482459775042712,0.9051753460046275
225,1.0905780830826166e-29,9.040925903877514e-11,1.936429493961408e-16,2.7139332672115744e-09,3.555092050112808e-09,1.1307971776709518e-11,0.0042581137797549524,0.9957418798495022
226,1.4049838855848625e-28,6.445111824943336e-09,8.525838233182295e-13,3.434024403967294e-08,3.282962636607773e-07,5.227048821858432e-10,0.3295559835897682,0.670443646805055
227,3.575368770928679e-28,1.348617769006308e-08,1.4132027339136285e-13,3.999129251550156e-08,6.756102747918493e-08,3.6690808072358803e-10,0.37619561029099824,0.6238042683034546
228,1.4765475995855622e-27,5.95616309906605e-09,2.968067551752157e-16,4.389747403035647e-08,5.779564797479975e-08,3.5722493280297e-09,0.08453304745193392,0.9154668413265313
