method,oos_period,model,weight
full_gcsr_eigenvector,150,model_1,0.08132742197591665
full_gcsr_eigenvector,150,model_2,0.22565037356305453
full_gcsr_eigenvector,150,model_3,0.15373163460130088
full_gcsr_eigenvector,150,model_4,0.01163904946018061
full_gcsr_eigenvector,150,model_5,0.1654330930593855
full_gcsr_eigenvector,150,model_6,0.11274430495897181
full_gcsr_eigenvector,150,model_7,0.16715686228886914
full_gcsr_eigenvector,150,model_8,0.08231726009132087
full_gcsr_eigenvector,151,model_1,0.05195701686301847
full_gcsr_eigenvector,151,model_2,0.1986804427832683
full_gcsr_eigenvector,151,model_3,0.15791783912086255
full_gcsr_eigenvector,151,model_4,0.05647375947947044
full_gcsr_eigenvector,151,model_5,0.17454835864435997
full_gcsr_eigenvector,151,model_6,0.1149240968752374
full_gcsr_eigenvector,151,model_7,0.1399957889933852
full_gcsr_eigenvector,151,model_8,0.10550269723939763
full_gcsr_eigenvector,152,model_1,0.04901536791450839
full_gcsr_eigenvector,152,model_2,0.19557504642365403
full_gcsr_eigenvector,152,model_3,0.15353421490643168
full_gcsr_eigenvector,152,model_4,0.05174268671815037
full_gcsr_eigenvector,152,model_5,0.18773726323372872
full_gcsr_eigenvector,152,model_6,0.11576014900520844
full_gcsr_eigenvector,152,model_7,0.1337718923207033
full_gcsr_eigenvector,152,model_8,0.1128633794766151
full_gcsr_eigenvector,153,model_1,0.04962522178135305
full_gcsr_eigenvector,153,model_2,0.2003183012124366
full_gcsr_eigenvector,153,model_3,0.15558883049964656
full_gcsr_eigenvector,153,model_4,0.04985370472814258
full_gcsr_eigenvector,153,model_5,0.17933239930073447
full_gcsr_eigenvector,153,model_6,0.113216126658676
full_gcsr_eigenvector,153,model_7,0.13402274576180692
full_gcsr_eigenvector,153,model_8,0.11804267005620372
full_gcsr_eigenvector,154,model_1,0.04482129877227782
full_gcsr_eigenvector,154,model_2,0.2050419647738641
full_gcsr_eigenvector,154,model_3,0.15000273330520938
full_gcsr_eigenvector,154,model_4,0.06021270656467269
full_gcsr_eigenvector,154,model_5,0.1771399903967498
full_gcsr_eigenvector,154,model_6,0.11446113941480159
full_gcsr_eigenvector,154,model_7,0.14068180382576403
full_gcsr_eigenvector,154,model_8,0.10763836294566051
full_gcsr_eigenvector,155,model_1,0.02721102217417175
full_gcsr_eigenvector,155,model_2,0.22549499184016872
full_gcsr_eigenvector,155,model_3,0.1461429469938714
full_gcsr_eigenvector,155,model_4,0.057493985968779006
full_gcsr_eigenvector,155,model_5,0.16648865479836608
full_gcsr_eigenvector,155,model_6,0.10543787233736222
full_gcsr_eigenvector,155,model_7,0.15327977983140684
full_gcsr_eigenvector,155,model_8,0.1184507460548739
full_gcsr_eigenvector,156,model_1,0.028656731496639394
full_gcsr_eigenvector,156,model_2,0.20007915845496405
full_gcsr_eigenvector,156,model_3,0.13634660527187184
full_gcsr_eigenvector,156,model_4,0.08194292419254076
full_gcsr_eigenvector,156,model_5,0.17368481882425954
full_gcsr_eigenvector,156,model_6,0.13363608895453458
full_gcsr_eigenvector,156,model_7,0.15721848044831244
full_gcsr_eigenvector,156,model_8,0.08843519235587727
full_gcsr_eigenvector,157,model_1,0.02868709720199845
full_gcsr_eigenvector,157,model_2,0.20018194417405047
full_gcsr_eigenvector,157,model_3,0.1357424203690348
full_gcsr_eigenvector,157,model_4,0.08265224454367011
full_gcsr_eigenvector,157,model_5,0.17044363520124192
full_gcsr_eigenvector,157,model_6,0.13271127156717538
full_gcsr_eigenvector,157,model_7,0.1601822210462502
full_gcsr_eigenvector,157,model_8,0.08939916589557868
full_gcsr_eigenvector,158,model_1,0.0359528280534435
full_gcsr_eigenvector,158,model_2,0.23458105188641962
full_gcsr_eigenvector,158,model_3,0.1322594750400851
full_gcsr_eigenvector,158,model_4,0.06802434701865424
full_gcsr_eigenvector,158,model_5,0.18016852446159984
full_gcsr_eigenvector,158,model_6,0.12246082763096001
full_gcsr_eigenvector,158,model_7,0.14942050754037545
full_gcsr_eigenvector,158,model_8,0.07713243836746221
full_gcsr_eigenvector,159,model_1,0.03712145446822334
full_gcsr_eigenvector,159,model_2,0.2287590255554524
full_gcsr_eigenvector,159,model_3,0.13659711903043073
full_gcsr_eigenvector,159,model_4,0.07152576079222209
full_gcsr_eigenvector,159,model_5,0.17377344985674043
full_gcsr_eigenvector,159,model_6,0.1253348258469418
full_gcsr_eigenvector,159,model_7,0.14764403151200303
full_gcsr_eigenvector,159,model_8,0.07924433293698611
full_gcsr_eigenvector,160,model_1,0.03852342449064244
full_gcsr_eigenvector,160,model_2,0.21776514132262614
full_gcsr_eigenvector,160,model_3,0.14331411231308291
full_gcsr_eigenvector,160,model_4,0.05895020404118865
full_gcsr_eigenvector,160,model_5,0.18365805599626628
full_gcsr_eigenvector,160,model_6,0.12971934540260374
full_gcsr_eigenvector,160,model_7,0.14142188389063254
full_gcsr_eigenvector,160,model_8,0.08664783254195726
full_gcsr_eigenvector,161,model_1,0.04307497282587508
full_gcsr_eigenvector,161,model_2,0.16767888455405325
full_gcsr_eigenvector,161,model_3,0.18111892356343554
full_gcsr_eigenvector,161,model_4,0.08103559751924212
full_gcsr_eigenvector,161,model_5,0.16086419717064238
full_gcsr_eigenvector,161,model_6,0.12876590823143208
full_gcsr_eigenvector,161,model_7,0.11804333486388094
full_gcsr_eigenvector,161,model_8,0.1194181812704384
full_gcsr_eigenvector,162,model_1,0.03528658703105506
full_gcsr_eigenvector,162,model_2,0.20849771445349632
full_gcsr_eigenvector,162,model_3,0.14461520579269124
full_gcsr_eigenvector,162,model_4,0.1137466654139779
full_gcsr_eigenvector,162,model_5,0.1556619768405246
full_gcsr_eigenvector,162,model_6,0.16219530171776722
full_gcsr_eigenvector,162,model_7,0.07241839605226798
full_gcsr_eigenvector,162,model_8,0.10757815269721961
full_gcsr_eigenvector,163,model_1,0.026657412496961665
full_gcsr_eigenvector,163,model_2,0.18283858101711542
full_gcsr_eigenvector,163,model_3,0.15114549414782355
full_gcsr_eigenvector,163,model_4,0.1276521263612991
full_gcsr_eigenvector,163,model_5,0.1536402884966399
full_gcsr_eigenvector,163,model_6,0.18996348037923472
full_gcsr_eigenvector,163,model_7,0.06315401141065395
full_gcsr_eigenvector,163,model_8,0.10494860568927164
full_gcsr_eigenvector,164,model_1,0.026541347642163926
full_gcsr_eigenvector,164,model_2,0.14662204096990292
full_gcsr_eigenvector,164,model_3,0.1919487033317061
full_gcsr_eigenvector,164,model_4,0.09525285338443461
full_gcsr_eigenvector,164,model_5,0.14739828902530466
full_gcsr_eigenvector,164,model_6,0.17896674136643265
full_gcsr_eigenvector,164,model_7,0.08228921534956551
full_gcsr_eigenvector,164,model_8,0.13098080892948957
full_gcsr_eigenvector,165,model_1,0.0
full_gcsr_eigenvector,165,model_2,0.1469787721307386
full_gcsr_eigenvector,165,model_3,0.10322848996018903
full_gcsr_eigenvector,165,model_4,0.27898941698067026
