oos_period,model,centrality_score
150,1,1.4840497007136209e-09
150,2,2.5104014469733685e-05
150,3,3.886899768329236e-06
150,4,3.1999064235753837e-06
150,5,4.155583829440481e-07
150,6,0.0001102934180497359
150,7,0.002945636142165125
150,8,0.9969114625756907
151,1,1.115383789906621e-07
151,2,4.8810815117877284e-05
151,3,0.9998682156318268
151,4,9.142867393069883e-06
151,5,4.827248736286392e-06
151,6,8.486539911584521e-06
151,7,5.178753782449157e-06
151,8,5.5226603852843856e-05
152,1,1.7077333582529825e-08
152,2,1.6187590523300796e-06
152,3,0.9996862509719757
152,4,3.0057474248608804e-08
152,5,2.6503407146165223e-08
152,6,2.4527544920118014e-08
152,7,2.70519866031014e-08
152,8,0.0003120050502253596
153,1,1.300110556419525e-08
153,2,2.0597315480620696e-08
153,3,0.9998349605338066
153,4,2.1214279802249885e-08
153,5,1.9250171429764234e-08
153,6,1.7333260310015264e-08
153,7,2.0116534450029678e-08
153,8,0.00016492795252633248
154,1,6.925046140826538e-11
154,2,6.939381129527944e-11
154,3,0.28275462977713056
154,4,0.00020484391306432133
154,5,0.7066207648644959
154,6,6.938163860915036e-11
154,7,0.00030886507308342274
154,8,0.010110896163199904
155,1,2.140006066156021e-09
155,2,0.0009211171950309331
155,3,0.0013958847567305814
155,4,1.2078612935977507e-06
155,5,2.2103149165148552e-09
155,6,2.221788892610713e-09
155,7,0.022014362034131183
155,8,0.9756674215797039
156,1,1.2625682806078684e-07
156,2,8.273504278669405e-06
156,3,0.9999813149936606
156,4,3.7553231645246446e-06
156,5,6.281069078527983e-07
156,6,9.90380194962043e-07
156,7,4.053564849577827e-06
156,8,8.57869115594611e-07
157,1,1.4037857216853147e-07
157,2,5.40334024489949e-06
157,3,0.9999759575920553
157,4,1.136215854706927e-05
157,5,1.1012097697687911e-06
157,6,2.248539664667639e-06
157,7,2.6280118654534674e-06
157,8,1.1587682805863678e-06
158,1,1.4802944392238008e-07
158,2,7.220684928353804e-06
158,3,0.9999718865195864
158,4,1.2433718449542225e-05
158,5,8.326089585761437e-07
158,6,1.4326041794190154e-06
158,7,1.4301930718699598e-06
158,8,4.615640382088954e-06
159,1,1.386403346104478e-07
159,2,2.8314114913383265e-06
159,3,0.9343898740370948
159,4,0.06559781360081879
159,5,7.452672183360752e-07
159,6,1.1086119592914799e-06
159,7,3.7833679964198416e-06
159,8,3.7050620863781657e-06
160,1,1.7020159716993442e-08
160,2,4.26957648632873e-08
160,3,0.9997795929676293
160,4,0.0002202159975394729
160,5,2.6734545202627554e-08
160,6,3.19930881893891e-08
160,7,3.091763982762705e-08
160,8,4.1672633314205784e-08
161,1,1.3189912514654865e-07
161,2,4.633671942663922e-06
161,3,0.9473786927812816
161,4,0.05261142521880717
161,5,5.867362046709074e-07
161,6,9.119682733187411e-07
161,7,1.894089008052921e-06
161,8,1.7236343574907342e-06
162,1,1.49448881403407e-07
162,2,8.461991880369977e-06
162,3,0.8409658440894926
162,4,0.1590151485564231
162,5,6.775483073976056e-07
162,6,3.2163624952447678e-06
162,7,1.5846100712522568e-06
162,8,4.917391448638002e-06
163,1,3.471992915284706e-08
163,2,1.804978806607601e-07
163,3,0.9982039528616106
163,4,0.0017954103065643701
163,5,6.752909621434574e-08
163,6,1.6686114056657823e-07
163,7,9.123417493594127e-08
163,8,9.598860346597615e-08
164,1,3.0805606860418245e-09
164,2,8.030819536271176e-08
164,3,0.9973185345380948
164,4,0.0026777910871124593
164,5,3.311172637882369e-09
164,6,3.5806327677155582e-06
164,7,3.5110677834108743e-09
164,8,3.53002852667239e-09
165,1,1.4427984446096122e-08
165,2,3.181143578563924e-08
165,3,0.0006520971474147408
165,4,0.9993477516032321
165,5,1.9942136139601688e-08
165,6,2.6962812337943717e-08
165,7,2.5830856652564395e-08
165,8,3.227312786927136e-08
166,1,3.185928322319725e-08
166,2,1.7629718160794207e-07
166,3,0.9984369048878202
166,4,0.0015625085031375178
166,5,5.968313102809962e-08
166,6,1.2803819487406615e-07
166,7,8.794753478935031e-08
166,8,1.0278271675636684e-07
167,1,2.4168358755900166e-08
167,2,1.0150840560907184e-07
167,3,0.9991415119243745
167,4,0.0008581080554999833
