oos_period,row_model,col_model,mu_matrice
150,1,1,0.0
150,1,2,44.21338939561474
150,1,3,49.43226165124035
150,1,4,44.93464509659441
150,1,5,43.130607719109896
150,1,6,42.307864508566446
150,1,7,50.387728010569354
150,1,8,49.621694146725325
150,2,1,-44.21338939561474
150,2,2,0.0
150,2,3,4.1563006705666155
150,2,4,1.029389521248239
150,2,5,-0.6538207046378639
150,2,6,1.6001225003493547
150,2,7,-2.8412468489212257
150,2,8,0.2014553553620723
150,3,1,-49.43226165124035
150,3,2,-4.1563006705666155
150,3,3,0.0
150,3,4,-2.1884893574042628
150,3,5,-5.33579218039346
150,3,6,-7.263343604330407
150,3,7,6.690174570061491
150,3,8,9.590068413723516
150,4,1,-44.93464509659441
150,4,2,-1.029389521248239
150,4,3,2.1884893574042628
150,4,4,0.0
150,4,5,-1.461457780826837
150,4,6,-5.877760691705781
150,4,7,3.3038366464307134
150,4,8,1.4306350848116902
150,5,1,-43.130607719109896
150,5,2,0.6538207046378639
150,5,3,5.33579218039346
150,5,4,1.461457780826837
150,5,5,0.0
150,5,6,-1.6561156967295414
150,5,7,12.17401152644897
150,5,8,6.058067602425726
150,6,1,-42.307864508566446
150,6,2,-1.6001225003493547
150,6,3,7.263343604330407
150,6,4,5.877760691705781
150,6,5,1.6561156967295414
150,6,6,0.0
150,6,7,-8.4871661040551
150,6,8,0.3642376749199425
150,7,1,-50.387728010569354
150,7,2,2.8412468489212257
150,7,3,-6.690174570061491
150,7,4,-3.3038366464307134
150,7,5,-12.17401152644897
150,7,6,8.4871661040551
150,7,7,0.0
150,7,8,2.8407892765911718
150,8,1,-49.621694146725325
150,8,2,-0.2014553553620723
150,8,3,-9.590068413723516
150,8,4,-1.4306350848116902
150,8,5,-6.058067602425726
150,8,6,-0.3642376749199425
150,8,7,-2.8407892765911718
150,8,8,0.0
151,1,1,0.0
151,1,2,39.2836195690455
151,1,3,52.19367276041346
151,1,4,46.09315592163277
151,1,5,37.79256580346885
151,1,6,46.07301673278585
151,1,7,41.59677961519231
151,1,8,43.332468683956535
151,2,1,-39.2836195690455
151,2,2,0.0
151,2,3,8.454519342801555
151,2,4,1.0259200948135117
151,2,5,-0.46302123172781057
151,2,6,-2.622126873012389
151,2,7,-26.799573825916656
151,2,8,-2.143850456913354
151,3,1,-52.19367276041346
151,3,2,-8.454519342801555
151,3,3,0.0
151,3,4,-3.2704660484363792
151,3,5,-7.389101655113426
151,3,6,-2.4748048803996476
151,3,7,-3.741828992189184
151,3,8,-1.698141041298566
151,4,1,-46.09315592163277
151,4,2,-1.0259200948135117
151,4,3,3.2704660484363792
151,4,4,0.0
151,4,5,-0.6804090539081826
151,4,6,3.100201748037456
151,4,7,-3.7594975489771736
151,4,8,1.9981178741518846
151,5,1,-37.79256580346885
151,5,2,0.46302123172781057
151,5,3,7.389101655113426
151,5,4,0.6804090539081826
151,5,5,0.0
151,5,6,-0.9127463255211526
151,5,7,-6.0717006185360125
151,5,8,3.29531190562043
151,6,1,-46.07301673278585
151,6,2,2.622126873012389
151,6,3,2.4748048803996476
151,6,4,-3.100201748037456
151,6,5,0.9127463255211526
151,6,6,0.0
151,6,7,2.221236220554725
151,6,8,5.6018310306751475
151,7,1,-41.59677961519231
151,7,2,26.799573825916656
151,7,3,3.741828992189184
151,7,4,3.7594975489771736
151,7,5,6.0717006185360125
151,7,6,-2.221236220554725
151,7,7,0.0
151,7,8,12.324753188015896
151,8,1,-43.332468683956535
151,8,2,2.143850456913354
151,8,3,1.698141041298566
151,8,4,-1.9981178741518846
151,8,5,-3.29531190562043
151,8,6,-5.6018310306751475
151,8,7,-12.324753188015896
151,8,8,0.0
152,1,1,0.0
152,1,2,52.097057088093905
152,1,3,59.005122836401746
152,1,4,52.96579534442378
152,1,5,48.932881975108735
152,1,6,47.97227571903249
152,1,7,45.352631395243776
152,1,8,52.07559005573153
152,2,1,-52.097057088093905
152,2,2,0.0
152,2,3,5.656409706678469
152,2,4,0.015536408665583833
152,2,5,-1.85727049866348
152,2,6,-6.665856692092781
152,2,7,-10.205701489222312
152,2,8,-0.17872223563005862
152,3,1,-59.005122836401746
152,3,2,-5.656409706678469
152,3,3,0.0
152,3,4,-3.9843441952785033
152,3,5,-4.276076792220532
152,3,6,-8.052137580836835
152,3,7,-8.72160658920237
152,3,8,-2.3675985451010586
152,4,1,-52.96579534442378
152,4,2,-0.015536408665583833
152,4,3,3.9843441952785033
152,4,4,0.0
152,4,5,-1.2335537254722642
152,4,6,-2.1417179214878925
152,4,7,-5.797735224100699
152,4,8,1.4708893395756353
152,5,1,-48.932881975108735
152,5,2,1.85727049866348
152,5,3,4.276076792220532
152,5,4,1.2335537254722642
152,5,5,0.0
152,5,6,-3.6071778465311937
152,5,7,-1.8352201039648581
152,5,8,4.336364118752387
152,6,1,-47.97227571903249
152,6,2,6.665856692092781
152,6,3,8.052137580836835
152,6,4,2.1417179214878925
152,6,5,3.6071778465311937
152,6,6,0.0
152,6,7,1.6903888256389514
152,6,8,7.05188841331747
152,7,1,-45.352631395243776
152,7,2,10.205701489222312
152,7,3,8.72160658920237
152,7,4,5.797735224100699
152,7,5,1.8352201039648581
152,7,6,-1.6903888256389514
152,7,7,0.0
152,7,8,8.525670656991936
152,8,1,-52.07559005573153
152,8,2,0.17872223563005862
152,8,3,2.3675985451010586
152,8,4,-1.4708893395756353
152,8,5,-4.336364118752387
152,8,6,-7.05188841331747
152,8,7,-8.525670656991936
152,8,8,0.0
153,1,1,0.0
153,1,2,52.38199758384294
153,1,3,59.83724888832253
153,1,4,53.205255764673076
153,1,5,51.222181622080406
153,1,6,46.65963581812624
153,1,7,49.9103274650791
153,1,8,55.35116330971657
153,2,1,-52.38199758384294
153,2,2,0.0
153,2,3,5.032176755231966
153,2,4,0.4915694573863881
153,2,5,-1.600911184095563
153,2,6,-5.012652340507704
153,2,7,-2.163700495733781
153,2,8,4.526431248375116
153,3,1,-59.83724888832253
153,3,2,-5.032176755231966
153,3,3,0.0
153,3,4,-4.778605958562967
153,3,5,-8.512464740853812
153,3,6,-10.309253356939585
153,3,7,-10.76977796422702
153,3,8,-5.883491802845471
153,4,1,-53.205255764673076
153,4,2,-0.4915694573863881
153,4,3,4.778605958562967
153,4,4,0.0
153,4,5,-1.516267722634521
153,4,6,-4.209694161380704
153,4,7,-4.5599249041358645
153,4,8,1.5751811759623175
153,5,1,-51.222181622080406
153,5,2,1.600911184095563
153,5,3,8.512464740853812
153,5,4,1.516267722634521
153,5,5,0.0
153,5,6,-4.133141616098673
153,5,7,-2.9279990653842365
153,5,8,4.027667947355616
153,6,1,-46.65963581812624
153,6,2,5.012652340507704
153,6,3,10.309253356939585
153,6,4,4.209694161380704
153,6,5,4.133141616098673
153,6,6,0.0
153,6,7,2.445429497227679
153,6,8,8.152621606352684
153,7,1,-49.9103274650791
153,7,2,2.163700495733781
153,7,3,10.76977796422702
153,7,4,4.5599249041358645
153,7,5,2.9279990653842365
153,7,6,-2.445429497227679
153,7,7,0.0
153,7,8,7.960239117392074
153,8,1,-55.35116330971657
153,8,2,-4.526431248375116
153,8,3,5.883491802845471
153,8,4,-1.5751811759623175
153,8,5,-4.027667947355616
153,8,6,-8.152621606352684
153,8,7,-7.960239117392074
153,8,8,0.0
154,1,1,0.0
154,1,2,52.131278059017056
154,1,3,59.885991137554676
154,1,4,53.12835658433778
154,1,5,52.847050432776044
154,1,6,47.68905043210645
154,1,7,50.234149209264686
154,1,8,56.76851030871207
154,2,1,-52.131278059017056
154,2,2,0.0
