Method,Mean_Loss,Median_Loss,Std_Loss,Total_Loss,Rel_MSFE
var_error,1.2648835482349114,0.39975657295508693,2.019171205265395,189.7325322352367,0.11505479233085208
full_gcsr_softmax,1.4333435897727669,0.6563028223531009,2.280086879738027,215.00153846591502,0.13037804886480858
full_gcsr_eigenvector,1.513224192794764,0.7261511679855019,2.3133161543733567,226.9836289192146,0.13764405070725824
full_gcsr_pagerank,1.588291385648108,0.7066974819162426,2.414326919710365,238.2437078472162,0.14447222101325505
graph_only_softmax,2.5470310330646626,1.0297512016851087,3.3698290665897797,382.0546549596994,0.23167992577532218
graph_only_eigenvector,2.8881722946480544,1.4052750580841344,4.073217134122722,433.2258441972082,0.26271040052672007
rs_selection,3.450158443225109,1.7422861218412158,4.551004233405752,517.5237664837664,0.31382909813930066
rs_selection_v2,3.4529565753280616,1.55305011486843,5.044128086207435,517.9434862992092,0.3140836184138894
graph_only_pagerank,4.141863965816484,3.37095060220327,3.912934784587649,621.2795948724727,0.3767471710060955
recent_best,5.313284173034449,2.5084888563651826,7.355478869870089,796.9926259551673,0.4833004650715474
equal,10.993749348549441,6.497687256251453,10.732386028405704,1649.062402282416,0.9999999999999091
bates_granger_mv,11.146216080740755,2.7946300451259027,16.77433363327051,1671.9324121111133,1.013868492664008
