method,oos_period,model,weight
full_gcsr_eigenvector,150,model_1,0.06817430240518275
full_gcsr_eigenvector,150,model_2,0.270841368713348
full_gcsr_eigenvector,150,model_3,0.15500262460155007
full_gcsr_eigenvector,150,model_4,0.004123671620536321
full_gcsr_eigenvector,150,model_5,0.13424333525952925
full_gcsr_eigenvector,150,model_6,0.09839367242992204
full_gcsr_eigenvector,150,model_7,0.1734074099035539
full_gcsr_eigenvector,150,model_8,0.09581361506537764
full_gcsr_eigenvector,151,model_1,0.10284735391484495
full_gcsr_eigenvector,151,model_2,0.14437721122401367
full_gcsr_eigenvector,151,model_3,0.30079362183855485
full_gcsr_eigenvector,151,model_4,0.08921756219499268
full_gcsr_eigenvector,151,model_5,0.08830549453739868
full_gcsr_eigenvector,151,model_6,0.14625178345957915
full_gcsr_eigenvector,151,model_7,0.00832664975411565
full_gcsr_eigenvector,151,model_8,0.11988032307550042
full_gcsr_eigenvector,152,model_1,0.08931640740650436
full_gcsr_eigenvector,152,model_2,0.1626845352558604
full_gcsr_eigenvector,152,model_3,0.25994651486210635
full_gcsr_eigenvector,152,model_4,0.0855449752187974
full_gcsr_eigenvector,152,model_5,0.12098749041132938
full_gcsr_eigenvector,152,model_6,0.15534618514687085
full_gcsr_eigenvector,152,model_7,0.0
full_gcsr_eigenvector,152,model_8,0.12617389169753124
full_gcsr_eigenvector,153,model_1,0.09874604155394841
full_gcsr_eigenvector,153,model_2,0.1768149391690856
full_gcsr_eigenvector,153,model_3,0.25459870866124423
full_gcsr_eigenvector,153,model_4,0.08573503103114183
full_gcsr_eigenvector,153,model_5,0.1256830126330473
full_gcsr_eigenvector,153,model_6,0.1454051994618784
full_gcsr_eigenvector,153,model_7,0.0
full_gcsr_eigenvector,153,model_8,0.1130170674886543
full_gcsr_eigenvector,154,model_1,0.0441393624539419
full_gcsr_eigenvector,154,model_2,0.21643698828219127
full_gcsr_eigenvector,154,model_3,0.17506061050235663
full_gcsr_eigenvector,154,model_4,0.06505805889014313
full_gcsr_eigenvector,154,model_5,0.14209798576791846
full_gcsr_eigenvector,154,model_6,0.15576725887763898
full_gcsr_eigenvector,154,model_7,0.05108195425404846
full_gcsr_eigenvector,154,model_8,0.15035778097076116
full_gcsr_eigenvector,155,model_1,0.057655679228724006
full_gcsr_eigenvector,155,model_2,0.19360757126858386
full_gcsr_eigenvector,155,model_3,0.15189816270304268
full_gcsr_eigenvector,155,model_4,0.05754110964535145
full_gcsr_eigenvector,155,model_5,0.1918832326470027
full_gcsr_eigenvector,155,model_6,0.12200233222017921
full_gcsr_eigenvector,155,model_7,0.13098285961615183
full_gcsr_eigenvector,155,model_8,0.09442905266996429
full_gcsr_eigenvector,156,model_1,0.04624623994452127
full_gcsr_eigenvector,156,model_2,0.21153480985907822
full_gcsr_eigenvector,156,model_3,0.14829861883845305
full_gcsr_eigenvector,156,model_4,0.14231931130625505
full_gcsr_eigenvector,156,model_5,0.13531028886425348
full_gcsr_eigenvector,156,model_6,0.17296692836045377
full_gcsr_eigenvector,156,model_7,0.07139860535590434
full_gcsr_eigenvector,156,model_8,0.07192519747008079
full_gcsr_eigenvector,157,model_1,0.04835017515360787
full_gcsr_eigenvector,157,model_2,0.20255788977744404
