oos_period,row_model,col_model,adjacency_matrice
20,1,1,0.0
20,1,2,2.010966758422884
20,1,3,18.690026129684103
20,1,4,34540.60127182939
20,2,1,0.0
20,2,2,0.0
20,2,3,6.506630516479978
20,2,4,1.9448679633949386
20,3,1,0.0
20,3,2,0.0
20,3,3,0.0
20,3,4,1.6454239055045765
20,4,1,0.0
20,4,2,0.0
20,4,3,0.0
20,4,4,0.0
21,1,1,0.0
21,1,2,7098.244271647706
21,1,3,7.220724752894436
21,1,4,68.52299636329616
21,2,1,0.0
21,2,2,0.0
21,2,3,1.9189362808310924
21,2,4,15.99492563550474
21,3,1,0.0
21,3,2,0.0
21,3,3,0.0
21,3,4,2.052894688306415
21,4,1,0.0
21,4,2,0.0
21,4,3,0.0
21,4,4,0.0
22,1,1,0.0
22,1,2,10.420607417205565
22,1,3,0.0
22,1,4,8898.070400652976
22,2,1,0.0
22,2,2,0.0
22,2,3,0.0
22,2,4,760.4048168474177
22,3,1,2435.6314334798262
22,3,2,8789.566699851783
22,3,3,0.0
22,3,4,2.38039781936597
22,4,1,0.0
22,4,2,0.0
22,4,3,0.0
22,4,4,0.0
23,1,1,0.0
23,1,2,1.1698664838559996
23,1,3,2655.003327493692
23,1,4,80633.3247923707
23,2,1,0.0
23,2,2,0.0
23,2,3,6.603541725134235
23,2,4,2.1639968988854346
23,3,1,0.0
23,3,2,0.0
23,3,3,0.0
23,3,4,12960.367079574422
23,4,1,0.0
23,4,2,0.0
23,4,3,0.0
23,4,4,0.0
24,1,1,0.0
24,1,2,0.0
24,1,3,0.0
24,1,4,0.0
24,2,1,14967.307081502746
24,2,2,0.0
24,2,3,0.03752937999771859
24,2,4,7573.45423457774
24,3,1,5.979913730274616
24,3,2,0.0
24,3,3,0.0
24,3,4,0.9391612338632869
24,4,1,2114.2837699924985
24,4,2,0.0
24,4,3,0.0
24,4,4,0.0
25,1,1,0.0
25,1,2,0.0
25,1,3,0.0
25,1,4,0.0
25,2,1,0.8472730530231475
25,2,2,0.0
25,2,3,0.0
25,2,4,0.0
25,3,1,0.9974392046312024
25,3,2,0.9162270549057412
25,3,3,0.0
25,3,4,0.0
25,4,1,0.0
25,4,2,1.625435421218109
25,4,3,93.23370780416255
25,4,4,0.0
26,1,1,0.0
26,1,2,0.0
26,1,3,0.0
26,1,4,0.0
26,2,1,296.37784434034984
26,2,2,0.0
26,2,3,0.0
26,2,4,0.0
26,3,1,2743.7804994979297
26,3,2,2353.7523745324056
26,3,3,0.0
26,3,4,241.13129147591428
26,4,1,10883.516878925597
26,4,2,3033.1112613398996
26,4,3,0.0
26,4,4,0.0
27,1,1,0.0
27,1,2,1262.6953644841726
27,1,3,0.0
27,1,4,3465.346534653476
27,2,1,0.0
27,2,2,0.0
27,2,3,0.0
27,2,4,0.0
27,3,1,1.8758511382780787
27,3,2,1159.8992075251736
27,3,3,0.0
27,3,4,834.6647935322608
27,4,1,0.0
27,4,2,0.0
27,4,3,0.0
27,4,4,0.0
28,1,1,0.0
28,1,2,990.0990099009881
28,1,3,487.1240021772982
28,1,4,712.3930672682694
28,2,1,0.0
28,2,2,0.0
28,2,3,0.0
28,2,4,0.0
28,3,1,0.0
28,3,2,746.2156092805735
28,3,3,0.0
28,3,4,0.0
28,4,1,0.0
28,4,2,1339.739335097497
28,4,3,227.89851340794812
28,4,4,0.0
29,1,1,0.0
29,1,2,4257.425742574248
29,1,3,0.0
29,1,4,6.2536582118380055
29,2,1,0.0
29,2,2,0.0
29,2,3,0.0
29,2,4,0.0
29,3,1,1238.26299804745
29,3,2,1832.2443506859865
29,3,3,0.0
29,3,4,841.5527820446916
29,4,1,0.0
29,4,2,3050.6714472608037
29,4,3,0.0
29,4,4,0.0
30,1,1,0.0
30,1,2,0.0
30,1,3,3.0191355606819017
30,1,4,0.0
30,2,1,2376.2376237623757
30,2,2,0.0
30,2,3,0.0
30,2,4,0.0
30,3,1,0.0
30,3,2,652.7875853481944
30,3,3,0.0
30,3,4,253.99170406729198
30,4,1,1148.7814246993773
30,4,2,713.1012958121615
30,4,3,0.0
30,4,4,0.0
31,1,1,0.0
31,1,2,0.0
31,1,3,0.0
31,1,4,0.0
