oos_period,centrality_type,model,centrality_score
20,eigenvector,1,0.996771113155046
20,eigenvector,2,0.0031798124439125696
20,eigenvector,3,4.6491508662213084e-05
20,eigenvector,4,2.582891379198143e-06
21,eigenvector,1,0.9999426103975849
21,eigenvector,2,5.232542750065719e-05
21,eigenvector,3,4.391258231646792e-06
21,eigenvector,4,6.729156828628713e-07
22,eigenvector,1,0.0007111764603473226
22,eigenvector,2,4.281452282608996e-05
22,eigenvector,3,0.9992458905367274
22,eigenvector,4,1.184790991488292e-07
23,eigenvector,1,0.9967824806956064
23,eigenvector,2,0.002464618392146728
23,eigenvector,3,0.0007527901450503917
23,eigenvector,4,1.107661964653504e-07
24,eigenvector,1,6.346081283732334e-08
24,eigenvector,2,0.9996015139281502
24,eigenvector,3,0.000124554924771262
24,eigenvector,4,0.00027386768526571165
25,eigenvector,1,3.6811472986013075e-06
25,eigenvector,2,4.96062535114117e-05
25,eigenvector,3,0.0007269875437043766
25,eigenvector,4,0.9992197250544855
26,eigenvector,1,9.073184510601255e-08
26,eigenvector,2,9.85018717404942e-06
26,eigenvector,3,0.9887884991582446
26,eigenvector,4,0.01120155992173609
27,eigenvector,1,0.0651525244623354
27,eigenvector,2,1.8560464829690442e-06
27,eigenvector,3,0.9348437634436986
27,eigenvector,4,1.8560464829690442e-06
28,eigenvector,1,0.9966784597922157
28,eigenvector,2,1.0578176806438201e-07
28,eigenvector,3,3.35127025833367e-05
28,eigenvector,4,0.003287921722432937
29,eigenvector,1,0.0012404170536005896
29,eigenvector,2,1.4295423490789192e-07
29,eigenvector,3,0.9985099239410913
29,eigenvector,4,0.00024951605007312054
30,eigenvector,1,0.008020947467384264
30,eigenvector,2,0.08481883523483892
30,eigenvector,3,0.5969888765375991
30,eigenvector,4,0.3101713407591776
31,eigenvector,1,4.846842473043544e-07
31,eigenvector,2,0.000752080054526733
31,eigenvector,3,0.9991255407546349
31,eigenvector,4,0.00012189450559093646
32,eigenvector,1,4.5769570453930795e-06
32,eigenvector,2,0.9538649112150048
32,eigenvector,3,0.04612593486983695
32,eigenvector,4,4.5769571128857845e-06
33,eigenvector,1,0.8912132347351852
33,eigenvector,2,0.00013657876597969194
33,eigenvector,3,0.10865018622351376
33,eigenvector,4,2.743213064108754e-10
34,eigenvector,1,0.0003423559532294669
34,eigenvector,2,0.7749855354435822
34,eigenvector,3,0.22467159357077174
34,eigenvector,4,5.150314164899918e-07
35,eigenvector,1,1.0694339225617205e-07
35,eigenvector,2,0.021600712516245905
35,eigenvector,3,0.1894046994549449
35,eigenvector,4,0.7889944810844168
36,eigenvector,1,0.002350808122565519
36,eigenvector,2,0.9976483182189804
36,eigenvector,3,6.989434075044379e-07
