oos_period,full_gcsr_eigenvector,full_gcsr_v2_eigenvector,full_gcsr_pagerank,full_gcsr_v2_pagerank,full_gcsr_softmax,full_gcsr_v2_softmax,graph_only_eigenvector,graph_only_v2_eigenvector,graph_only_pagerank,graph_only_v2_pagerank,graph_only_softmax,graph_only_v2_softmax,rs_selection,rs_selection_v2,bates_granger_mv,var_error,recent_best
20,-0.6927810905314626,-0.6926172090226255,-0.6494261103376411,-0.646894923234729,-0.6749100151251688,-0.6902787577676869,-0.7801512661063904,-0.7789431296795362,-0.35576169146811776,-0.34126590346220365,-0.6452362375972062,-0.7607870009798398,-0.7801896007012205,-0.7801896007012205,-0.7801896007020604,-0.5821583415820611,-0.7801896007012205
21,-1.2933582377282944,-1.2927564643213543,-1.2295717359904381,-1.228297906927608,-1.2543426339813917,-1.2738788345117862,-1.4125388936589913,-1.4008510476329858,-0.6158493259283937,-0.5777744723139047,-0.8457763005878237,-1.0651448612599264,-1.4126046032012205,-1.4126046032012205,-1.4126046032024804,-1.2145733440824813,-1.4126046032012205
22,-1.3512307959395848,-1.3834656504430025,-1.306166670910265,-1.312831061824532,-1.3362287924514151,-1.3603422932636176,-1.0000346759569734,-1.4833469602150473,-0.5543210406653837,-0.6339008459999032,-0.8631475498241431,-1.143999279977059,-1.0000108532012204,-1.4941108532012204,-1.4941108532022802,-1.2960795940822811,-1.4941108532012204
23,-1.074322826807761,-1.1078524880071166,-1.100404128518293,-1.1060736733317773,-1.1527072179418845,-1.1503995227825141,-0.5126409136218353,-1.0053926034365648,-0.5181155393113133,-0.5859310580184652,-0.8622622248784128,-1.0702941749764856,-0.5105952838262204,-1.0046952838262204,-1.0046952838261605,-1.2144298004829661,-1.0046952838262204
24,-1.0441890090218582,-1.0919819513649258,-1.079363023699083,-1.0914272476441813,-1.1330497808138815,-1.13200829637083,-0.4485689450764294,-1.0102529070781436,-0.5031063726113089,-0.5944302737286905,-0.8555222090482036,-1.0667306244355221,-0.4392202280728871,-0.9833202280728871,-0.9769057859914394,-1.1653531034391589,-0.9833202280728871
25,-0.970128089868072,-0.907838706433741,-1.0053021045452968,-0.9209855358549455,-1.0589888616600953,-0.9635148046058086,-0.5156682880169893,-0.9405643901087624,-0.5266996331173442,-0.5908651991734969,-0.8631746483925645,-1.0391744705425263,-0.5064369206716558,-0.7278286976929691,-0.8887454790819335,-1.183113356930074,-0.7278286976929691
26,-0.9528644991440661,-0.8905751157097351,-0.9880385138212909,-0.8868843984703754,-1.0417252709360896,-0.9499602771642722,-0.5100863569748412,-0.9422588202631438,-0.525919819480163,-0.5874441607874848,-0.8626983485712766,-1.0409971485977338,-0.500840466849208,-0.6937275603077989,-0.8743095678321032,-1.163813341101398,-0.6937275603077989
27,-0.9585720797925773,-0.8952019344298251,-0.9940337435336558,-0.8896099311558593,-1.048172392660703,-0.9121166279171805,-0.5217125092918982,-0.8960442434755178,-0.5291307964248176,-0.5820803891190707,-0.86376029126583,-1.036931756243577,-0.5130850975120486,-0.6678501772279812,-0.8792543137018064,-1.1253374181995417,-0.6678501772279812
28,-1.0246116986543032,-0.9683012121530603,-1.049616277832821,-0.9132395286185772,-1.1224632856561838,-0.9308240104978673,-0.5537906733722178,-0.8206647193604624,-0.5463298292389992,-0.5471452698049415,-0.8670205169338385,-1.0300117225711736,-0.54505338688821,-0.6998184666041427,-0.9706505113490023,-1.1114862735791358,-0.6998184666041427
29,-0.9496387999644869,-0.9682191056806541,-0.9612488618379627,-0.8663111448215159,-1.032184929198685,-0.9189041473743582,-0.410178405965278,-0.8834634508837248,-0.5091301568491733,-0.5829841456349455,-0.8642522285229027,-1.0330394647301253,-0.4012289673268195,-0.6659940470427523,-0.8737894176546185,-1.0471261239380767,-0.6659940470427523
30,-0.9422442239655572,-0.9608245296817244,-0.9529712604355842,-0.858775607354164,-1.0247903531997553,-0.9045025043320849,-0.4097777959540781,-0.8858844090121472,-0.5072313591527499,-0.5817275378512845,-0.8642599051949883,-1.030703284008949,-0.36372896732681953,-0.6284940470427524,-0.8618797353610148,-1.049083349960671,-0.6584940470427523
