oos_period,variant,row_model,col_model,mu
20,legacy,1,1,0.0
20,legacy,1,2,-0.41405798806963434
20,legacy,1,3,-2.0642892843381087
20,legacy,1,4,-3.4886007284547684
20,legacy,2,1,0.41405798806963434
20,legacy,2,2,0.0
20,legacy,2,3,-1.259666588847683
20,legacy,2,4,-1.5557713510877795
20,legacy,3,1,2.0642892843381087
20,legacy,3,2,1.259666588847683
20,legacy,3,3,0.0
20,legacy,3,4,-0.8210181525517728
20,legacy,4,1,3.4886007284547684
20,legacy,4,2,1.5557713510877795
20,legacy,4,3,0.8210181525517728
20,legacy,4,4,0.0
21,legacy,1,1,0.0
21,legacy,1,2,-0.7169226714364183
21,legacy,1,3,-1.3945911021132933
21,legacy,1,4,-4.5465472547243415
21,legacy,2,1,0.7169226714364183
21,legacy,2,2,0.0
21,legacy,2,3,-0.7685949932534779
21,legacy,2,4,-1.8537083708366124
21,legacy,3,1,1.3945911021132933
21,legacy,3,2,0.7685949932534779
21,legacy,3,3,0.0
21,legacy,3,4,-0.8859123201536828
21,legacy,4,1,4.5465472547243415
21,legacy,4,2,1.8537083708366124
21,legacy,4,3,0.8859123201536828
21,legacy,4,4,0.0
22,legacy,1,1,0.0
22,legacy,1,2,-2.1417218650294103
22,legacy,1,3,0.24599877478146245
22,legacy,1,4,-0.8987051104659506
22,legacy,2,1,2.1417218650294103
22,legacy,2,2,0.0
22,legacy,2,3,0.88774623668503
22,legacy,2,4,-0.07680088650158919
22,legacy,3,1,-0.24599877478146245
22,legacy,3,2,-0.88774623668503
22,legacy,3,3,0.0
22,legacy,3,4,-0.8986149278208481
22,legacy,4,1,0.8987051104659506
22,legacy,4,2,0.07680088650158919
22,legacy,4,3,0.8986149278208481
22,legacy,4,4,0.0
23,legacy,1,1,0.0
23,legacy,1,2,-0.6174129989004129
23,legacy,1,3,-0.26815533607686287
23,legacy,1,4,-8.14396580402944
23,legacy,2,1,0.6174129989004129
23,legacy,2,2,0.0
23,legacy,2,3,-1.7925221276597971
23,legacy,2,4,-0.44128963005564065
23,legacy,3,1,0.26815533607686287
23,legacy,3,2,1.7925221276597971
23,legacy,3,3,0.0
23,legacy,3,4,-1.3089970750370166
23,legacy,4,1,8.14396580402944
23,legacy,4,2,0.44128963005564065
23,legacy,4,3,1.3089970750370166
23,legacy,4,4,0.0
24,legacy,1,1,0.0
24,legacy,1,2,1.5116980152317774
24,legacy,1,3,0.7446212180847427
24,legacy,1,4,0.21354266076924233
24,legacy,2,1,-1.5116980152317774
24,legacy,2,2,0.0
24,legacy,2,3,-0.023623546672672566
