oos_period,row_model,col_model,mu_matrice
20,1,1,0.0
20,1,2,-0.41405798806963434
20,1,3,-2.0642892843381087
20,1,4,-3.4886007284547684
20,2,1,0.41405798806963434
20,2,2,0.0
20,2,3,-1.259666588847683
20,2,4,-1.5557713510877795
20,3,1,2.0642892843381087
20,3,2,1.259666588847683
20,3,3,0.0
20,3,4,-0.8210181525517728
20,4,1,3.4886007284547684
20,4,2,1.5557713510877795
20,4,3,0.8210181525517728
20,4,4,0.0
21,1,1,0.0
21,1,2,-0.7169226714364183
21,1,3,-1.3945911021132933
21,1,4,-4.5465472547243415
21,2,1,0.7169226714364183
21,2,2,0.0
21,2,3,-0.7685949932534779
21,2,4,-1.8537083708366124
21,3,1,1.3945911021132933
21,3,2,0.7685949932534779
21,3,3,0.0
21,3,4,-0.8859123201536828
21,4,1,4.5465472547243415
21,4,2,1.8537083708366124
21,4,3,0.8859123201536828
21,4,4,0.0
22,1,1,0.0
22,1,2,-2.1417218650294103
22,1,3,0.24599877478146245
22,1,4,-0.8987051104659506
22,2,1,2.1417218650294103
22,2,2,0.0
22,2,3,0.88774623668503
22,2,4,-0.07680088650158919
22,3,1,-0.24599877478146245
22,3,2,-0.88774623668503
22,3,3,0.0
22,3,4,-0.8986149278208481
22,4,1,0.8987051104659506
22,4,2,0.07680088650158919
22,4,3,0.8986149278208481
22,4,4,0.0
23,1,1,0.0
23,1,2,-0.6174129989004129
23,1,3,-0.26815533607686287
23,1,4,-8.14396580402944
23,2,1,0.6174129989004129
23,2,2,0.0
23,2,3,-1.7925221276597971
23,2,4,-0.44128963005564065
23,3,1,0.26815533607686287
23,3,2,1.7925221276597971
23,3,3,0.0
23,3,4,-1.3089970750370166
23,4,1,8.14396580402944
23,4,2,0.44128963005564065
23,4,3,1.3089970750370166
23,4,4,0.0
24,1,1,0.0
24,1,2,1.5116980152317774
24,1,3,0.7446212180847427
24,1,4,0.21354266076924233
24,2,1,-1.5116980152317774
24,2,2,0.0
24,2,3,-0.023623546672672566
24,2,4,-0.7649188776923518
24,3,1,-0.7446212180847427
24,3,2,0.023623546672672566
24,3,3,0.0
24,3,4,-0.4654943341791606
24,4,1,-0.21354266076924233
24,4,2,0.7649188776923518
24,4,3,0.4654943341791606
24,4,4,0.0
