oos_period,variant,row_model,col_model,sigma
20,legacy,1,1,0.0
20,legacy,1,2,0.20579996643920725
20,legacy,1,3,0.11034871045201684
20,legacy,1,4,1e-06
20,legacy,2,1,0.20579996643920725
20,legacy,2,2,0.0
20,legacy,2,3,1e-06
20,legacy,2,4,0.47919770690231944
20,legacy,3,1,0.11034871045201684
20,legacy,3,2,1e-06
20,legacy,3,3,0.0
20,legacy,3,4,0.49887059949424056
20,legacy,4,1,1e-06
20,legacy,4,2,0.47919770690231944
20,legacy,4,3,0.49887059949424056
20,legacy,4,4,0.0
21,legacy,1,1,0.0
21,legacy,1,2,1e-06
21,legacy,1,3,0.19303727497427162
21,legacy,1,4,0.20561237807555843
21,legacy,2,1,1e-06
21,legacy,2,2,0.0
21,legacy,2,3,0.400431795105046
21,legacy,2,4,0.11579352855269563
21,legacy,3,1,0.19303727497427162
21,legacy,3,2,0.400431795105046
21,legacy,3,3,0.0
21,legacy,3,4,0.4314429939976791
21,legacy,4,1,0.20561237807555843
21,legacy,4,2,0.11579352855269563
21,legacy,4,3,0.4314429939976791
21,legacy,4,4,0.0
22,legacy,1,1,0.0
22,legacy,1,2,0.20542754549539902
22,legacy,1,3,1e-06
22,legacy,1,4,1e-06
22,legacy,2,1,0.20542754549539902
22,legacy,2,2,0.0
22,legacy,2,3,1e-06
22,legacy,2,4,1e-06
22,legacy,3,1,1e-06
22,legacy,3,2,1e-06
22,legacy,3,3,0.0
22,legacy,3,4,0.37740619686763033
22,legacy,4,1,1e-06
22,legacy,4,2,1e-06
22,legacy,4,3,0.37740619686763033
22,legacy,4,4,0.0
23,legacy,1,1,0.0
23,legacy,1,2,0.5276636443308956
23,legacy,1,3,1e-06
23,legacy,1,4,1e-06
23,legacy,2,1,0.5276636443308956
23,legacy,2,2,0.0
23,legacy,2,3,0.4954637719987059
23,legacy,2,4,0.3721674550373147
23,legacy,3,1,1e-06
23,legacy,3,2,0.4954637719987059
23,legacy,3,3,0.0
23,legacy,3,4,1e-06
23,legacy,4,1,1e-06
23,legacy,4,2,0.3721674550373147
23,legacy,4,3,1e-06
23,legacy,4,4,0.0
24,legacy,1,1,0.0
24,legacy,1,2,1e-06
24,legacy,1,3,0.12442039471989953
24,legacy,1,4,1e-06
24,legacy,2,1,1e-06
24,legacy,2,2,0.0
24,legacy,2,3,0.6293680773865338
24,legacy,2,4,1e-06
24,legacy,3,1,0.12442039471989953
24,legacy,3,2,0.6293680773865338
24,legacy,3,3,0.0
24,legacy,3,4,0.17540600339937926
24,legacy,4,1,1e-06
24,legacy,4,2,1e-06
24,legacy,4,3,0.17540600339937926
24,legacy,4,4,0.0
25,legacy,1,1,0.0
25,legacy,1,2,0.022043406644896887
25,legacy,1,3,0.240061824780351
25,legacy,1,4,1e-06
25,legacy,2,1,0.022043406644896887
25,legacy,2,2,0.0
25,legacy,2,3,0.24375585382602113
25,legacy,2,4,0.14312498711902752
25,legacy,3,1,0.240061824780351
25,legacy,3,2,0.24375585382602113
25,legacy,3,3,0.0
25,legacy,3,4,1e-06
25,legacy,4,1,1e-06
25,legacy,4,2,0.14312498711902752
25,legacy,4,3,1e-06
25,legacy,4,4,0.0
26,legacy,1,1,0.0
26,legacy,1,2,1e-06
26,legacy,1,3,1e-06
26,legacy,1,4,1e-06
26,legacy,2,1,1e-06
26,legacy,2,2,0.0
26,legacy,2,3,1e-06
26,legacy,2,4,1e-06
26,legacy,3,1,1e-06
26,legacy,3,2,1e-06
26,legacy,3,3,0.0
26,legacy,3,4,1e-06
26,legacy,4,1,1e-06
26,legacy,4,2,1e-06
26,legacy,4,3,1e-06
26,legacy,4,4,0.0
27,legacy,1,1,0.0
27,legacy,1,2,1e-06
27,legacy,1,3,0.04475881164353356
27,legacy,1,4,1e-06
27,legacy,2,1,1e-06
27,legacy,2,2,0.0
27,legacy,2,3,1e-06
27,legacy,2,4,1e-06
27,legacy,3,1,0.04475881164353356
27,legacy,3,2,1e-06
27,legacy,3,3,0.0
27,legacy,3,4,1e-06
27,legacy,4,1,1e-06
27,legacy,4,2,1e-06
27,legacy,4,3,1e-06
27,legacy,4,4,0.0
28,legacy,1,1,0.0
28,legacy,1,2,1e-06
28,legacy,1,3,1e-06
28,legacy,1,4,1e-06
28,legacy,2,1,1e-06
28,legacy,2,2,0.0
28,legacy,2,3,1e-06
28,legacy,2,4,1e-06
28,legacy,3,1,1e-06
28,legacy,3,2,1e-06
28,legacy,3,3,0.0
28,legacy,3,4,1e-06
28,legacy,4,1,1e-06
28,legacy,4,2,1e-06
28,legacy,4,3,1e-06
28,legacy,4,4,0.0
29,legacy,1,1,0.0
29,legacy,1,2,1e-06
29,legacy,1,3,1e-06
29,legacy,1,4,1e-06
29,legacy,2,1,1e-06
29,legacy,2,2,0.0
29,legacy,2,3,1e-06
29,legacy,2,4,1e-06
29,legacy,3,1,1e-06
29,legacy,3,2,1e-06
29,legacy,3,3,0.0
29,legacy,3,4,1e-06
29,legacy,4,1,1e-06
29,legacy,4,2,1e-06
29,legacy,4,3,1e-06
29,legacy,4,4,0.0
30,legacy,1,1,0.0
30,legacy,1,2,1e-06
30,legacy,1,3,0.0653709179334159
30,legacy,1,4,1e-06
30,legacy,2,1,1e-06
30,legacy,2,2,0.0
30,legacy,2,3,1e-06
30,legacy,2,4,1e-06
30,legacy,3,1,0.0653709179334159
30,legacy,3,2,1e-06
30,legacy,3,3,0.0
30,legacy,3,4,1e-06
30,legacy,4,1,1e-06
30,legacy,4,2,1e-06
30,legacy,4,3,1e-06
30,legacy,4,4,0.0
31,legacy,1,1,0.0
31,legacy,1,2,1e-06
31,legacy,1,3,1e-06
31,legacy,1,4,1e-06
31,legacy,2,1,1e-06
31,legacy,2,2,0.0
31,legacy,2,3,0.16309706837018853
31,legacy,2,4,1e-06
31,legacy,3,1,1e-06
31,legacy,3,2,0.16309706837018853
31,legacy,3,3,0.0
31,legacy,3,4,1e-06
31,legacy,4,1,1e-06
31,legacy,4,2,1e-06
31,legacy,4,3,1e-06
31,legacy,4,4,0.0
32,legacy,1,1,0.0
32,legacy,1,2,1e-06
32,legacy,1,3,1e-06
32,legacy,1,4,1e-06
32,legacy,2,1,1e-06
32,legacy,2,2,0.0
32,legacy,2,3,0.11836515754587612
32,legacy,2,4,1e-06
32,legacy,3,1,1e-06
32,legacy,3,2,0.11836515754587612
32,legacy,3,3,0.0
32,legacy,3,4,1e-06
32,legacy,4,1,1e-06
32,legacy,4,2,1e-06
32,legacy,4,3,1e-06
32,legacy,4,4,0.0
33,legacy,1,1,0.0
33,legacy,1,2,1e-06
33,legacy,1,3,1e-06
33,legacy,1,4,1e-06
33,legacy,2,1,1e-06
33,legacy,2,2,0.0
33,legacy,2,3,0.1118048657585244
33,legacy,2,4,1e-06
33,legacy,3,1,1e-06
33,legacy,3,2,0.1118048657585244
33,legacy,3,3,0.0
33,legacy,3,4,0.05046636358679633
33,legacy,4,1,1e-06
