oos_period,row_model,col_model,sigma_matrice
20,1,1,0.0
20,1,2,0.20579996643920725
20,1,3,0.11034871045201684
20,1,4,1e-06
20,2,1,0.20579996643920725
20,2,2,0.0
20,2,3,1e-06
20,2,4,0.47919770690231944
20,3,1,0.11034871045201684
20,3,2,1e-06
20,3,3,0.0
20,3,4,0.49887059949424056
20,4,1,1e-06
20,4,2,0.47919770690231944
20,4,3,0.49887059949424056
20,4,4,0.0
21,1,1,0.0
21,1,2,1e-06
21,1,3,0.19303727497427162
21,1,4,0.20561237807555843
21,2,1,1e-06
21,2,2,0.0
21,2,3,0.400431795105046
21,2,4,0.11579352855269563
21,3,1,0.19303727497427162
21,3,2,0.400431795105046
21,3,3,0.0
21,3,4,0.4314429939976791
21,4,1,0.20561237807555843
21,4,2,0.11579352855269563
21,4,3,0.4314429939976791
21,4,4,0.0
22,1,1,0.0
22,1,2,0.20542754549539902
22,1,3,1e-06
22,1,4,1e-06
22,2,1,0.20542754549539902
22,2,2,0.0
22,2,3,1e-06
22,2,4,1e-06
22,3,1,1e-06
22,3,2,1e-06
22,3,3,0.0
22,3,4,0.37740619686763033
22,4,1,1e-06
22,4,2,1e-06
22,4,3,0.37740619686763033
22,4,4,0.0
23,1,1,0.0
23,1,2,0.5276636443308956
23,1,3,1e-06
23,1,4,1e-06
23,2,1,0.5276636443308956
23,2,2,0.0
23,2,3,0.4954637719987059
23,2,4,0.3721674550373147
23,3,1,1e-06
23,3,2,0.4954637719987059
23,3,3,0.0
23,3,4,1e-06
23,4,1,1e-06
23,4,2,0.3721674550373147
23,4,3,1e-06
23,4,4,0.0
24,1,1,0.0
24,1,2,1e-06
24,1,3,0.12442039471989953
24,1,4,1e-06
24,2,1,1e-06
24,2,2,0.0
24,2,3,0.6293680773865338
24,2,4,1e-06
24,3,1,0.12442039471989953
24,3,2,0.6293680773865338
24,3,3,0.0
24,3,4,0.17540600339937926
24,4,1,1e-06
24,4,2,1e-06
24,4,3,0.17540600339937926
24,4,4,0.0
25,1,1,0.0
25,1,2,0.022043406644896887
25,1,3,0.240061824780351
25,1,4,1e-06
25,2,1,0.022043406644896887
25,2,2,0.0
25,2,3,0.24375585382602113
25,2,4,0.14312498711902752
25,3,1,0.240061824780351
25,3,2,0.24375585382602113
25,3,3,0.0
25,3,4,1e-06
25,4,1,1e-06
25,4,2,0.14312498711902752
25,4,3,1e-06
