method,mean_loss,mcs_pvalue,in_mcs,elimination_step
full_gcsr_eigenvector,8.115048579499527,1.0,True,0
full_gcsr_v2_eigenvector,8.542089155510116,1.0,True,0
full_gcsr_pagerank,8.192912428739072,1.0,True,0
full_gcsr_v2_pagerank,8.511754698895945,1.0,True,0
full_gcsr_softmax,8.04486680203947,1.0,True,0
full_gcsr_v2_softmax,8.300558302353304,1.0,True,0
graph_only_eigenvector,7.7528217467996114,1.0,True,0
graph_only_v2_eigenvector,8.929540988900408,1.0,True,0
graph_only_pagerank,8.33119968901612,1.0,True,0
graph_only_v2_pagerank,8.610422505623696,1.0,True,0
graph_only_softmax,7.665901802003456,1.0,True,0
graph_only_v2_softmax,8.552653120953623,1.0,True,0
rs_selection,8.134306070189053,1.0,True,0
rs_selection_v2,9.067263970875798,1.0,True,0
bates_granger_mv,8.063764555207767,1.0,True,0
var_error,8.050480598653637,1.0,True,0
recent_best,8.366716519262896,1.0,True,0
equal,8.54767826175053,1.0,True,0
