oos_period,TARGET_PERIOD,period_dt,actual
20,2016-06-01,2016-06-01,0.1
21,2016-09-01,2016-09-01,0.4
22,2016-12-01,2016-12-01,1.1
23,2017-03-01,2017-03-01,1.5
24,2017-06-01,2017-06-01,1.3
25,2017-09-01,2017-09-01,1.6
26,2017-12-01,2017-12-01,1.3
27,2018-03-01,2018-03-01,1.4
28,2018-06-01,2018-06-01,2.0
29,2018-09-01,2018-09-01,2.1
30,2018-12-01,2018-12-01,1.5
31,2019-03-01,2019-03-01,1.4
32,2019-06-01,2019-06-01,1.3
33,2019-09-01,2019-09-01,0.8
34,2019-12-01,2019-12-01,1.3
35,2020-03-01,2020-03-01,0.7
36,2020-06-01,2020-06-01,0.3
37,2020-09-01,2020-09-01,-0.3
38,2020-12-01,2020-12-01,-0.3
39,2021-03-01,2021-03-01,1.3
40,2021-06-01,2021-06-01,1.9
41,2021-09-01,2021-09-01,3.4
42,2021-12-01,2021-12-01,5.0
43,2022-03-01,2022-03-01,7.4
44,2022-06-01,2022-06-01,8.6
45,2022-09-01,2022-09-01,9.9
46,2022-12-01,2022-12-01,9.2
47,2023-03-01,2023-03-01,6.9
48,2023-06-01,2023-06-01,5.5
49,2023-09-01,2023-09-01,4.3
50,2023-12-01,2023-12-01,2.9
