oos_period,row_model,col_model,adjacency_matrice
20,1,1,0.0
20,1,2,9010.063444897745
20,1,3,6.354453763430313
20,1,4,0.0
20,2,1,0.0
20,2,2,0.0
20,2,3,2.0792071010170012
20,2,4,6039.603960396052
20,3,1,0.0
20,3,2,0.0
20,3,3,0.0
20,3,4,3.6770389650768385
20,4,1,0.0
20,4,2,0.0
20,4,3,0.0
20,4,4,0.0
21,1,1,0.0
21,1,2,8.04420261375021
21,1,3,0.0
21,1,4,3465.34653465347
21,2,1,0.0
21,2,2,0.0
21,2,3,0.0
21,2,4,0.0
21,3,1,0.0
21,3,2,0.0
21,3,3,0.0
21,3,4,6.917912771654789
21,4,1,0.0
21,4,2,0.0
21,4,3,0.0
21,4,4,0.0
22,1,1,0.0
22,1,2,1.1705585792503965
22,1,3,0.0
22,1,4,0.0
22,2,1,0.0
22,2,2,0.0
22,2,3,0.0
22,2,4,0.49002362812781436
22,3,1,0.0
22,3,2,0.0
22,3,3,0.0
22,3,4,0.0
22,4,1,315.03150315031326
22,4,2,0.0
22,4,3,0.0
22,4,4,0.0
23,1,1,0.0
23,1,2,0.0
23,1,3,0.0
23,1,4,0.0
23,2,1,14561.492916953108
23,2,2,0.0
23,2,3,0.32819111212057467
23,2,4,0.0
23,3,1,0.0
23,3,2,0.0
23,3,3,0.0
23,3,4,0.0
23,4,1,0.0
23,4,2,0.0
23,4,3,0.0
23,4,4,0.0
24,1,1,0.0
24,1,2,0.0
24,1,3,0.0
24,1,4,0.0
24,2,1,0.0
24,2,2,0.0
24,2,3,0.275047203199639
24,2,4,0.0
24,3,1,0.0
24,3,2,0.0
24,3,3,0.0
24,3,4,0.0
24,4,1,0.0
24,4,2,0.0
24,4,3,0.052031344956323666
24,4,4,0.0
25,1,1,0.0
25,1,2,0.0
25,1,3,0.0
25,1,4,0.0
25,2,1,448.5666858202892
25,2,2,0.0
25,2,3,0.0
25,2,4,0.0
25,3,1,7014.987257947637
25,3,2,0.09659283655711104
25,3,3,0.0
25,3,4,0.0
25,4,1,0.0
25,4,2,2475.2475247524776
25,4,3,0.0
25,4,4,0.0
26,1,1,0.0
26,1,2,0.0
26,1,3,0.0
26,1,4,0.0
26,2,1,419.2641149369289
26,2,2,0.0
26,2,3,0.0
26,2,4,0.0
26,3,1,0.0
26,3,2,2103.231576502061
26,3,3,0.0
26,3,4,0.0
26,4,1,0.0
26,4,2,0.0
26,4,3,0.0
26,4,4,0.0
27,1,1,0.0
27,1,2,1760.0514937904686
27,1,3,0.0
27,1,4,0.0
27,2,1,0.0
27,2,2,0.0
27,2,3,0.0
27,2,4,0.0
27,3,1,0.0
27,3,2,2267.163545665741
27,3,3,0.0
27,3,4,0.0
27,4,1,0.0
27,4,2,0.0
27,4,3,0.0
27,4,4,0.0
28,1,1,0.0
28,1,2,9.832477616443429
28,1,3,0.0
28,1,4,0.0
28,2,1,0.0
28,2,2,0.0
28,2,3,0.0
28,2,4,0.0
28,3,1,0.0
28,3,2,3161.77340879907
28,3,3,0.0
28,3,4,0.0
28,4,1,0.0
28,4,2,0.0
28,4,3,0.0
28,4,4,0.0
29,1,1,0.0
29,1,2,0.0
29,1,3,0.0
29,1,4,0.0
29,2,1,0.6947106529277017
29,2,2,0.0
29,2,3,0.0
29,2,4,0.0
29,3,1,0.0
29,3,2,1875.4814703493087
29,3,3,0.0
29,3,4,0.0
29,4,1,0.0
29,4,2,0.0
29,4,3,0.0
29,4,4,0.0
30,1,1,0.0
30,1,2,0.0
30,1,3,0.0
30,1,4,33.00330033003327
30,2,1,1521.3600666335474
30,2,2,0.0
30,2,3,0.0
30,2,4,0.0
30,3,1,0.0
30,3,2,1143.6673154228824
30,3,3,0.0
30,3,4,0.0
30,4,1,0.0
30,4,2,0.0
30,4,3,0.0
30,4,4,0.0
31,1,1,0.0
31,1,2,0.0
31,1,3,0.0
31,1,4,0.0
31,2,1,1794.7022452365698
31,2,2,0.0
31,2,3,0.0
31,2,4,0.0
31,3,1,0.0
31,3,2,0.11954800059432244
31,3,3,0.0
31,3,4,0.0
31,4,1,20.472692430535016
31,4,2,219.80198019801978
31,4,3,20.472692430535016
31,4,4,0.0
32,1,1,0.0
32,1,2,1.2456031070901579
32,1,3,268.6913268666237
32,1,4,0.0
32,2,1,0.0
32,2,2,0.0
32,2,3,0.0
32,2,4,109.90099009901012
32,3,1,0.0
32,3,2,0.04286230782112213
32,3,3,0.0
32,3,4,0.0
32,4,1,123.7623762376233
32,4,2,0.0
32,4,3,392.45370310424704
32,4,4,0.0
33,1,1,0.0
33,1,2,0.0
33,1,3,0.0
33,1,4,0.0
33,2,1,4.630956555948977
33,2,2,0.0
33,2,3,1310.1681803855356
33,2,4,0.0
33,3,1,0.0
33,3,2,0.0
33,3,3,0.0
33,3,4,0.0
33,4,1,0.0
33,4,2,0.0
33,4,3,0.0
33,4,4,0.0
34,1,1,0.0
34,1,2,0.0
34,1,3,0.0
34,1,4,495.0495049504955
34,2,1,0.8165127104616285
34,2,2,0.0
34,2,3,0.3923152743210019
34,2,4,495.0495049504955
34,3,1,346.6853925892078
34,3,2,0.0
34,3,3,0.0
34,3,4,0.0
34,4,1,0.0
34,4,2,0.0
34,4,3,0.16348068809152452
34,4,4,0.0
35,1,1,0.0
35,1,2,88.96598203297812
35,1,3,2.07451060194095
35,1,4,0.0
35,2,1,0.0
35,2,2,0.0
35,2,3,0.619451883351896
35,2,4,0.0
35,3,1,0.0
35,3,2,0.0
35,3,3,0.0
35,3,4,0.0
35,4,1,0.0
35,4,2,0.0
35,4,3,0.0
35,4,4,0.0
36,1,1,0.0
36,1,2,0.0
36,1,3,0.0
36,1,4,0.0
36,2,1,2785.102796224425
36,2,2,0.0
36,2,3,0.6903976206221404
36,2,4,0.0
36,3,1,0.0
36,3,2,0.0
36,3,3,0.0
36,3,4,0.0
36,4,1,0.0
36,4,2,0.0
36,4,3,0.0
36,4,4,0.0
37,1,1,0.0
37,1,2,0.0
37,1,3,0.0
37,1,4,8.953922527366549
37,2,1,0.13910846061728205
37,2,2,0.0
37,2,3,0.43610145584494553
37,2,4,64.91312577586561
37,3,1,7899.296210755235
37,3,2,0.0
37,3,3,0.0
37,3,4,3.728251924697298
37,4,1,0.0
37,4,2,0.0
37,4,3,0.0
37,4,4,0.0
38,1,1,0.0
38,1,2,0.0
38,1,3,0.0
38,1,4,0.0
38,2,1,0.17688972189298963
38,2,2,0.0
38,2,3,0.0
38,2,4,0.0
38,3,1,0.0
38,3,2,0.6521285543250103
38,3,3,0.0
38,3,4,0.0
38,4,1,0.0
38,4,2,0.0
38,4,3,0.0
38,4,4,0.0
39,1,1,0.0
39,1,2,0.0
39,1,3,0.0
39,1,4,0.0
39,2,1,4.318002102142363
39,2,2,0.0
39,2,3,0.4143885407367745
39,2,4,0.0
39,3,1,6612.119327429284
39,3,2,0.0
39,3,3,0.0
39,3,4,0.0
39,4,1,0.0
39,4,2,0.0
