oos_period,centrality_type,model,centrality_score
20,eigenvector,1,0.9988524252511376
20,eigenvector,2,0.001146698971269539
20,eigenvector,3,7.867658084250011e-07
20,eigenvector,4,8.901078427823995e-08
21,eigenvector,1,0.9965190887243002
21,eigenvector,2,0.0004990498357647457
21,eigenvector,3,0.0024828116031702418
21,eigenvector,4,0.0004990498357647457
22,eigenvector,1,0.0036963655198719914
22,eigenvector,2,0.0016188421644453526
22,eigenvector,3,2.404697110752558e-09
22,eigenvector,4,0.9946847899099854
23,eigenvector,1,0.000499013429987053
23,eigenvector,2,0.9985029597090387
23,eigenvector,3,0.000499013429987053
23,eigenvector,4,0.000499013429987053
24,eigenvector,1,0.0009269573417473268
24,eigenvector,2,0.8387299152152365
24,eigenvector,3,0.0009269573417473268
24,eigenvector,4,0.15941617010026865
25,eigenvector,1,3.180119988754569e-07
25,eigenvector,2,0.00023622173427326944
25,eigenvector,3,0.0037284077094704537
25,eigenvector,4,0.9960350525432573
26,eigenvector,1,1.1889173406971101e-07
26,eigenvector,2,0.0005095997911499972
26,eigenvector,3,0.9994901624243818
26,eigenvector,4,1.1889173406971101e-07
27,eigenvector,1,0.43666599958091773
27,eigenvector,2,0.000499043339108243
27,eigenvector,3,0.5623359137398656
27,eigenvector,4,0.000499043339108243
28,eigenvector,1,0.0035930233518077777
28,eigenvector,2,0.0004990544920660694
28,eigenvector,3,0.99540886766306
28,eigenvector,4,0.0004990544920660694
29,eigenvector,1,3.5173376971757064e-06
29,eigenvector,2,3.789582130925947e-05
29,eigenvector,3,0.9999550695022962
29,eigenvector,4,3.5173376971757064e-06
30,eigenvector,1,2.239844167884473e-06
30,eigenvector,2,0.0017247116792611142
30,eigenvector,3,0.9982729219515353
30,eigenvector,4,1.2652403571063676e-07
31,eigenvector,1,5.36348695389979e-07
31,eigenvector,2,0.0020656753331911673
31,eigenvector,3,0.0005303316210734379
31,eigenvector,4,0.9974034566960399
32,eigenvector,1,0.04299817135053815
32,eigenvector,2,0.7567059900722284
32,eigenvector,3,0.0011212376601977662
32,eigenvector,4,0.19917460091603562
33,eigenvector,1,0.0004991286251077316
33,eigenvector,2,0.9985026141236767
33,eigenvector,3,0.0004991286251077316
33,eigenvector,4,0.0004991286251077316
34,eigenvector,1,0.36975939524436546
34,eigenvector,2,0.37066484185271303
34,eigenvector,3,0.2594530900239572
34,eigenvector,4,0.00012267287796421687
35,eigenvector,1,0.9997066913792696
35,eigenvector,2,0.0002727257379463287
35,eigenvector,3,1.0291440892030423e-05
35,eigenvector,4,1.0291440892030423e-05
36,eigenvector,1,0.0004990617622244192
36,eigenvector,2,0.9985028147123266
36,eigenvector,3,0.0004990617622244192
36,eigenvector,4,0.0004990617622244192
37,eigenvector,1,1.9394738461804216e-05
37,eigenvector,2,0.5574858361912055
37,eigenvector,3,0.4424940470201629
37,eigenvector,4,7.220491698972446e-07
38,eigenvector,1,8.091984322811284e-05
38,eigenvector,2,0.004714237355682872
38,eigenvector,3,0.9951239229568608
38,eigenvector,4,8.091984322811284e-05
39,eigenvector,1,2.6483824609088628e-06
39,eigenvector,2,0.8144842989962295
39,eigenvector,3,0.18551040423784865
39,eigenvector,4,2.6483824609088628e-06
40,eigenvector,1,8.241221804647654e-07
40,eigenvector,2,1.338425429687499e-05
40,eigenvector,3,1.0491415919626204e-05
40,eigenvector,4,0.9999753002066031
41,eigenvector,1,0.0004455335464086891
41,eigenvector,2,8.712638634193504e-06
41,eigenvector,3,1.8552376286526081e-06
41,eigenvector,4,0.9995438985763285
42,eigenvector,1,3.8105537082103405e-07
42,eigenvector,2,0.03372696672533565
42,eigenvector,3,0.03271097893492279
42,eigenvector,4,0.9335616732833707
43,eigenvector,1,0.04894207113909773
43,eigenvector,2,0.009714610142663555
43,eigenvector,3,1.786830160938354e-05
43,eigenvector,4,0.9413254504156293
44,eigenvector,1,0.9225584414776528
44,eigenvector,2,0.039225903292829135
44,eigenvector,3,0.01405549127320679
44,eigenvector,4,0.024160163955311433
45,eigenvector,1,0.27232778008791314
45,eigenvector,2,0.04344579397462055
45,eigenvector,3,0.5346303093252665
45,eigenvector,4,0.14959611661119976
46,eigenvector,1,0.002282265032704808
46,eigenvector,2,0.0010915573317961018
46,eigenvector,3,0.9966243635004457
46,eigenvector,4,1.8141340533418073e-06
47,eigenvector,1,0.00019962365023493784
47,eigenvector,2,0.0041072972938676
47,eigenvector,3,0.9956930790030214
47,eigenvector,4,5.187597241883486e-11
48,eigenvector,1,0.010047677808101216
48,eigenvector,2,0.0002843441078610518
48,eigenvector,3,0.9896503170281732
48,eigenvector,4,1.766105486441499e-05
49,eigenvector,1,0.0004303000594049011
49,eigenvector,2,0.001140474468240674
49,eigenvector,3,6.893282457323972e-07
49,eigenvector,4,0.9984285361431086
20,pagerank,1,0.45513086395864183
20,pagerank,2,0.276369104959178
20,pagerank,3,0.1342847224875241
20,pagerank,4,0.1342153085910772
21,pagerank,1,0.473387107988614
21,pagerank,2,0.1754385964904073
21,pagerank,3,0.175735699025893
21,pagerank,4,0.1754385964904073
22,pagerank,1,0.3174603174599144
22,pagerank,2,0.3174603174599144
22,pagerank,3,0.04761904761898716
22,pagerank,4,0.3174603174599144
23,pagerank,1,0.1754385964904073
23,pagerank,2,0.4736842105240997
23,pagerank,3,0.1754385964904073
23,pagerank,4,0.1754385964904073
24,pagerank,1,0.20618556700917562
24,pagerank,2,0.3535634653332174
24,pagerank,3,0.20618556700917562
24,pagerank,4,0.2340654006429331
25,pagerank,1,0.17411219946981826
25,pagerank,2,0.18300686184322162
25,pagerank,3,0.3132189767428446
25,pagerank,4,0.32966196193947245
26,pagerank,1,0.15570260801803784
26,pagerank,2,0.28804982483337
26,pagerank,3,0.40054495912640226
26,pagerank,4,0.15570260801803784
27,pagerank,1,0.2827800944700945
27,pagerank,2,0.20618556700917562
27,pagerank,3,0.304848771506056
27,pagerank,4,0.20618556700917562
28,pagerank,1,0.20672889357253094
28,pagerank,2,0.2061855670091756
28,pagerank,3,0.38089997240361956
28,pagerank,4,0.2061855670091756
29,pagerank,1,0.15570260801803784
29,pagerank,2,0.28804982483337
29,pagerank,3,0.40054495912640226
29,pagerank,4,0.15570260801803784
30,pagerank,1,0.21488827261705107
30,pagerank,2,0.2988108547607372
30,pagerank,3,0.3701450495828705
30,pagerank,4,0.11615582303624382
31,pagerank,1,0.13764484704763974
31,pagerank,2,0.2533233881502746
31,pagerank,3,0.1377618963382864
31,pagerank,4,0.47126986846012897
32,pagerank,1,0.31230504932790293
32,pagerank,2,0.3149171540027077
32,pagerank,3,0.04640467385967613
32,pagerank,4,0.3263731228087132
33,pagerank,1,0.1754385964904073
33,pagerank,2,0.4736842105240997
33,pagerank,3,0.1754385964904073
33,pagerank,4,0.1754385964904073
34,pagerank,1,0.1899584036599469
34,pagerank,2,0.35470971362289133
34,pagerank,3,0.2739610726971944
34,pagerank,4,0.1813708100169573
35,pagerank,1,0.45527145402616126
35,pagerank,2,0.2037883961778293
35,pagerank,3,0.1704700748957318
35,pagerank,4,0.1704700748957318
36,pagerank,1,0.1754385964904073
36,pagerank,2,0.4736842105240997
36,pagerank,3,0.1754385964904073
36,pagerank,4,0.1754385964904073
37,pagerank,1,0.14716786006920918
37,pagerank,2,0.45422326108259237
37,pagerank,3,0.26458643586470776
37,pagerank,4,0.1340224429799169
38,pagerank,1,0.15570260801803784
38,pagerank,2,0.28804982483337
38,pagerank,3,0.40054495912640226
38,pagerank,4,0.15570260801803784
39,pagerank,1,0.15571403996384922
39,pagerank,2,0.40058732457264457
39,pagerank,3,0.28798459549550454
39,pagerank,4,0.15571403996384922
40,pagerank,1,0.15055555689710776
40,pagerank,2,0.15080886013335026
40,pagerank,3,0.16660943286078223
40,pagerank,4,0.532026150104745
41,pagerank,1,0.2114931146230647
