oos_period,model,centrality_score
20,1,0.9994535441602614
20,2,0.0005460138286216683
20,3,3.830107988780662e-07
20,4,5.899931798570342e-08
21,1,0.9950777590826939
21,2,1.1263199910957652e-07
21,3,0.004116171296707227
21,4,0.0008059569875995872
22,1,0.9306020061265184
22,2,0.051231524965069525
22,3,0.01816426953397423
22,4,2.199373437759533e-06
23,1,3.818020155139546e-09
23,2,0.9975136748325558
23,3,0.00026843182789088743
23,4,0.0022178895205331086
24,1,0.49962330985219555
24,2,0.00035552741105646606
24,3,0.0003978528835523144
24,4,0.49962330985219555
25,1,3.1373914270176822e-09
25,2,0.9114261307515604
25,3,0.0011870935542398868
25,4,0.08738677255580823
26,1,0.21355223794873365
26,2,0.13064507250912666
26,3,0.6553784787262611
26,4,0.0004242108148785118
27,1,0.9861603010800983
27,2,4.386701433994171e-07
27,3,0.013634352058694496
27,4,0.00020490819006381807
28,1,0.0005960435142100917
28,2,0.00012913111542499218
28,3,0.999274717960925
28,4,1.074084399039197e-07
29,1,0.017999839156853412
29,2,0.21737709453355455
29,3,0.08089254795474901
29,4,0.6837305183538429
30,1,7.30069325273775e-05
30,2,0.4535867757963406
30,3,0.3413252148197723
30,4,0.20501500245035978
31,1,5.247520878039257e-07
31,2,0.001977317615905248
31,3,0.0004966975129843661
31,4,0.9975254601180225
32,1,0.9424946411998176
32,2,0.025058444336168058
32,3,0.03243936567066256
32,4,7.548792351760835e-06
33,1,4.97093299988919e-08
33,2,0.002033658700345445
33,3,7.177397061794378e-06
33,4,0.9979591141922627
34,1,0.34356202405369457
34,2,0.34465970208888685
34,3,0.3117429804226403
34,4,3.52934337784034e-05
35,1,0.9903457375004884
35,2,0.00771007809225932
35,3,0.001943826559462885
35,4,3.578467894739028e-07
36,1,2.6178571313311186e-05
36,2,0.9161318696650793
36,3,0.0838402963242621
36,4,1.6554383452034013e-06
37,1,1.939607668346762e-05
37,2,0.5574397471562869
37,3,0.4425401346914774
37,4,7.22074552352375e-07
38,1,0.23864292240705107
38,2,0.1919864993334775
38,3,0.5693694413412794
38,4,1.1369171920366297e-06
39,1,3.8417215841091995e-08
39,2,4.9907984356930814e-05
39,3,0.0004053184742522806
39,4,0.999544735123175
40,1,0.10098262415457214
40,2,0.00012607432879082332
40,3,0.006577237208473855
40,4,0.8923140643071631
41,1,0.0004455335464086891
41,2,8.71263863419349e-06
41,3,1.8552376286526056e-06
41,4,0.9995438985763285
42,1,3.8105537082103426e-07
42,2,0.03372696672533563
42,3,0.0327109789349228
42,4,0.9335616732833707
43,1,0.04894207113909774
43,2,0.009714610142663558
43,3,1.7868301609383545e-05
43,4,0.9413254504156293
44,1,0.9225584414776531
44,2,0.03922590329282904
44,3,0.014055491273206662
44,4,0.024160163955311294
45,1,0.2723277800879132
45,2,0.0434457939746205
45,3,0.5346303093252665
45,4,0.1495961166111998
46,1,0.002282265032704805
46,2,0.0010915573317961042
46,3,0.9966243635004457
46,4,1.8141340533418082e-06
47,1,1.0484427265790395e-05
47,2,6.37544290393544e-07
47,3,0.9999883731023039
47,4,5.049251398844566e-07
48,1,0.010047677808101223
48,2,0.00028434410786105197
48,3,0.9896503170281732
48,4,1.7661054864414985e-05
49,1,0.0004303000594049017
49,2,0.0011404744682406733
49,3,6.893282457323973e-07
49,4,0.9984285361431086
