oos_period,variant,row_model,col_model,mu
20,legacy,1,1,0.0
20,legacy,1,2,-0.9100164079346722
20,legacy,1,3,-1.3975896316577008
20,legacy,1,4,0.0
20,legacy,2,1,0.9100164079346722
20,legacy,2,2,0.0
20,legacy,2,3,-0.7079809959796814
20,legacy,2,4,-0.6100000000000012
20,legacy,3,1,1.3975896316577008
20,legacy,3,2,0.7079809959796814
20,legacy,3,3,0.0
20,legacy,3,4,-0.9135891209245451
20,legacy,4,1,-0.0
20,legacy,4,2,0.6100000000000012
20,legacy,4,3,0.9135891209245451
20,legacy,4,4,0.0
21,legacy,1,1,0.0
21,legacy,1,2,-1.941737854614195
21,legacy,1,3,0.0
21,legacy,1,4,-0.3500000000000005
21,legacy,2,1,1.941737854614195
21,legacy,2,2,0.0
21,legacy,2,3,0.0
21,legacy,2,4,0.0
21,legacy,3,1,-0.0
21,legacy,3,2,-0.0
21,legacy,3,3,0.0
21,legacy,3,4,-0.9076441844832853
21,legacy,4,1,0.3500000000000005
21,legacy,4,2,-0.0
21,legacy,4,3,0.9076441844832853
21,legacy,4,4,0.0
22,legacy,1,1,0.0
22,legacy,1,2,-0.6334684281236002
22,legacy,1,3,0.0
22,legacy,1,4,0.03181818181818164
22,legacy,2,1,0.6334684281236002
22,legacy,2,2,0.0
22,legacy,2,3,0.0
22,legacy,2,4,-0.12000000000000004
22,legacy,3,1,-0.0
22,legacy,3,2,-0.0
22,legacy,3,3,0.0
22,legacy,3,4,0.0
22,legacy,4,1,-0.03181818181818164
22,legacy,4,2,0.12000000000000004
22,legacy,4,3,-0.0
22,legacy,4,4,0.0
23,legacy,1,1,0.0
23,legacy,1,2,1.470710784612264
23,legacy,1,3,0.0
23,legacy,1,4,0.0
23,legacy,2,1,-1.470710784612264
23,legacy,2,2,0.0
23,legacy,2,3,-0.24742497837613797
23,legacy,2,4,0.0
23,legacy,3,1,-0.0
23,legacy,3,2,0.24742497837613797
23,legacy,3,3,0.0
23,legacy,3,4,0.0
23,legacy,4,1,-0.0
23,legacy,4,2,-0.0
23,legacy,4,3,-0.0
23,legacy,4,4,0.0
24,legacy,1,1,0.0
24,legacy,1,2,0.0
24,legacy,1,3,0.0
24,legacy,1,4,0.0
24,legacy,2,1,-0.0
24,legacy,2,2,0.0
24,legacy,2,3,-0.183520772234292
24,legacy,2,4,0.0
24,legacy,3,1,-0.0
24,legacy,3,2,0.183520772234292
24,legacy,3,3,0.0
24,legacy,3,4,0.010046673979999364
24,legacy,4,1,-0.0
24,legacy,4,2,-0.0
24,legacy,4,3,-0.010046673979999364
24,legacy,4,4,0.0
25,legacy,1,1,0.0
25,legacy,1,2,0.04530523526784921
25,legacy,1,3,0.7085137130527114
25,legacy,1,4,0.0
25,legacy,2,1,-0.04530523526784921
25,legacy,2,2,0.0
25,legacy,2,3,0.05054184978864352
25,legacy,2,4,0.2500000000000002
25,legacy,3,1,-0.7085137130527114
25,legacy,3,2,-0.05054184978864352
25,legacy,3,3,0.0
25,legacy,3,4,0.0
25,legacy,4,1,-0.0
25,legacy,4,2,-0.2500000000000002
25,legacy,4,3,-0.0
25,legacy,4,4,0.0
26,legacy,1,1,0.0
26,legacy,1,2,0.04234567560862982
26,legacy,1,3,0.0
26,legacy,1,4,0.0
26,legacy,2,1,-0.04234567560862982
26,legacy,2,2,0.0
26,legacy,2,3,0.2124263892267082
26,legacy,2,4,0.0
26,legacy,3,1,-0.0
26,legacy,3,2,-0.2124263892267082
26,legacy,3,3,0.0
26,legacy,3,4,0.0
26,legacy,4,1,-0.0
26,legacy,4,2,-0.0
26,legacy,4,3,-0.0
26,legacy,4,4,0.0
27,legacy,1,1,0.0
27,legacy,1,2,-0.17776520087283734
27,legacy,1,3,0.0
27,legacy,1,4,0.0
27,legacy,2,1,0.17776520087283734
27,legacy,2,2,0.0
27,legacy,2,3,0.22898351811223985
27,legacy,2,4,0.0
27,legacy,3,1,-0.0
27,legacy,3,2,-0.22898351811223985
27,legacy,3,3,0.0
27,legacy,3,4,0.0
27,legacy,4,1,-0.0
27,legacy,4,2,-0.0
27,legacy,4,3,-0.0
27,legacy,4,4,0.0
28,legacy,1,1,0.0
28,legacy,1,2,-0.3560952415624396
28,legacy,1,3,0.0
28,legacy,1,4,0.0
28,legacy,2,1,0.3560952415624396
28,legacy,2,2,0.0
28,legacy,2,3,0.31933911428870604
28,legacy,2,4,0.0
28,legacy,3,1,-0.0
