oos_period,row_model,col_model,mu_matrice
20,1,1,0.0
20,1,2,-0.9100164079346722
20,1,3,-1.3975896316577008
20,1,4,0.0
20,2,1,0.9100164079346722
20,2,2,0.0
20,2,3,-0.7079809959796814
20,2,4,-0.6100000000000012
20,3,1,1.3975896316577008
20,3,2,0.7079809959796814
20,3,3,0.0
20,3,4,-0.9135891209245451
20,4,1,-0.0
20,4,2,0.6100000000000012
20,4,3,0.9135891209245451
20,4,4,0.0
21,1,1,0.0
21,1,2,-1.941737854614195
21,1,3,0.0
21,1,4,-0.3500000000000005
21,2,1,1.941737854614195
21,2,2,0.0
21,2,3,0.0
21,2,4,0.0
21,3,1,-0.0
21,3,2,-0.0
21,3,3,0.0
21,3,4,-0.9076441844832853
21,4,1,0.3500000000000005
21,4,2,-0.0
21,4,3,0.9076441844832853
21,4,4,0.0
22,1,1,0.0
22,1,2,-0.6334684281236002
22,1,3,0.0
22,1,4,0.03181818181818164
22,2,1,0.6334684281236002
22,2,2,0.0
22,2,3,0.0
22,2,4,-0.12000000000000004
22,3,1,-0.0
22,3,2,-0.0
22,3,3,0.0
22,3,4,0.0
22,4,1,-0.03181818181818164
22,4,2,0.12000000000000004
22,4,3,-0.0
22,4,4,0.0
23,1,1,0.0
23,1,2,1.470710784612264
23,1,3,0.0
23,1,4,0.0
23,2,1,-1.470710784612264
23,2,2,0.0
23,2,3,-0.24742497837613797
23,2,4,0.0
23,3,1,-0.0
23,3,2,0.24742497837613797
23,3,3,0.0
23,3,4,0.0
23,4,1,-0.0
23,4,2,-0.0
23,4,3,-0.0
23,4,4,0.0
24,1,1,0.0
24,1,2,0.0
24,1,3,0.0
24,1,4,0.0
24,2,1,-0.0
24,2,2,0.0
24,2,3,-0.183520772234292
24,2,4,0.0
24,3,1,-0.0
24,3,2,0.183520772234292
24,3,3,0.0
24,3,4,0.010046673979999364
24,4,1,-0.0
24,4,2,-0.0
24,4,3,-0.010046673979999364
24,4,4,0.0
25,1,1,0.0
25,1,2,0.04530523526784921
25,1,3,0.7085137130527114
25,1,4,0.0
25,2,1,-0.04530523526784921
25,2,2,0.0
25,2,3,0.05054184978864352
25,2,4,0.2500000000000002
25,3,1,-0.7085137130527114
25,3,2,-0.05054184978864352
25,3,3,0.0
25,3,4,0.0
25,4,1,-0.0
25,4,2,-0.2500000000000002
25,4,3,-0.0
25,4,4,0.0
26,1,1,0.0
26,1,2,0.04234567560862982
26,1,3,0.0
26,1,4,0.0
26,2,1,-0.04234567560862982
26,2,2,0.0
26,2,3,0.2124263892267082
26,2,4,0.0
26,3,1,-0.0
26,3,2,-0.2124263892267082
26,3,3,0.0
26,3,4,0.0
26,4,1,-0.0
26,4,2,-0.0
26,4,3,-0.0
26,4,4,0.0
27,1,1,0.0
27,1,2,-0.17776520087283734
27,1,3,0.0
27,1,4,0.0
27,2,1,0.17776520087283734
27,2,2,0.0
27,2,3,0.22898351811223985
27,2,4,0.0
27,3,1,-0.0
27,3,2,-0.22898351811223985
27,3,3,0.0
27,3,4,0.0
27,4,1,-0.0
27,4,2,-0.0
27,4,3,-0.0
27,4,4,0.0
28,1,1,0.0
28,1,2,-0.3560952415624396
28,1,3,0.0
28,1,4,0.0
28,2,1,0.3560952415624396
28,2,2,0.0
28,2,3,0.31933911428870604
28,2,4,0.0
28,3,1,-0.0
28,3,2,-0.31933911428870604
28,3,3,0.0
28,3,4,0.0
28,4,1,-0.0
28,4,2,-0.0
28,4,3,-0.0
28,4,4,0.0
29,1,1,0.0
29,1,2,0.06892428190859201
29,1,3,0.0
29,1,4,0.0
29,2,1,-0.06892428190859201
29,2,2,0.0
29,2,3,0.1894236285052802
29,2,4,0.0
29,3,1,-0.0
29,3,2,-0.1894236285052802
29,3,3,0.0
29,3,4,0.0
29,4,1,-0.0
29,4,2,-0.0
29,4,3,-0.0
29,4,4,0.0
30,1,1,0.0
30,1,2,0.15365736672998828
30,1,3,0.0
30,1,4,-0.0033333333333333604
30,2,1,-0.15365736672998828
30,2,2,0.0
30,2,3,0.11551039885771112
30,2,4,0.0
30,3,1,-0.0
30,3,2,-0.11551039885771112
30,3,3,0.0
30,3,4,0.0
30,4,1,0.0033333333333333604
30,4,2,-0.0
30,4,3,-0.0
30,4,4,0.0
31,1,1,0.0
31,1,2,0.18126492676889355
31,1,3,0.0
31,1,4,0.0020677419354840367
31,2,1,-0.18126492676889355
31,2,2,0.0
31,2,3,0.00877135481269621
31,2,4,0.022199999999999998
31,3,1,-0.0
31,3,2,-0.00877135481269621
31,3,3,0.0
31,3,4,0.0020677419354840367
31,4,1,-0.0020677419354840367
31,4,2,-0.022199999999999998
31,4,3,-0.0020677419354840367
31,4,4,0.0
32,1,1,0.0
32,1,2,-0.08919027917176633
32,1,3,-0.027137824013528995
32,1,4,0.012499999999999954
32,2,1,0.08919027917176633
32,2,2,0.0
32,2,3,0.0058850695156072936
32,2,4,-0.011100000000000021
32,3,1,0.027137824013528995
32,3,2,-0.0058850695156072936
32,3,3,0.0
32,3,4,0.03963782401352895
32,4,1,-0.012499999999999954
32,4,2,0.011100000000000021
32,4,3,-0.03963782401352895
32,4,4,0.0
33,1,1,0.0
33,1,2,0.4673656495433666
33,1,3,0.0
33,1,4,0.0
33,2,1,-0.4673656495433666
33,2,2,0.0
33,2,3,-0.1323269862189391
33,2,4,0.0
33,3,1,-0.0
33,3,2,0.1323269862189391
33,3,3,0.0
33,3,4,0.0
33,4,1,-0.0
33,4,2,-0.0
33,4,3,-0.0
33,4,4,0.0
34,1,1,0.0
34,1,2,0.05326246271437992
34,1,3,0.03501522465150999
34,1,4,-0.050000000000000044
34,2,1,-0.05326246271437992
34,2,2,0.0
34,2,3,-0.09596530201054072
34,2,4,-0.050000000000000044
34,3,1,-0.03501522465150999
34,3,2,0.09596530201054072
34,3,3,0.0
34,3,4,0.037647058823529436
34,4,1,0.050000000000000044
34,4,2,0.050000000000000044
34,4,3,-0.037647058823529436
34,4,4,0.0
35,1,1,0.0
35,1,2,-0.00898556418533079
35,1,3,-0.22980271097564348
35,1,4,0.0
35,2,1,0.00898556418533079
35,2,2,0.0
35,2,3,-0.13863441894253722
35,2,4,0.0
35,3,1,0.22980271097564348
35,3,2,0.13863441894253722
35,3,3,0.0
35,3,4,0.0
35,4,1,-0.0
35,4,2,-0.0
35,4,3,-0.0
35,4,4,0.0
36,1,1,0.0
36,1,2,0.281295382418667
36,1,3,0.0
36,1,4,0.0
36,2,1,-0.281295382418667
36,2,2,0.0
36,2,3,-0.12641794142732557
36,2,4,0.0
36,3,1,-0.0
36,3,2,0.12641794142732557
36,3,3,0.0
36,3,4,0.0
36,4,1,-0.0
36,4,2,-0.0
36,4,3,-0.0
36,4,4,0.0
37,1,1,0.0
37,1,2,0.05544421475188953
37,1,3,0.7978289172862787
37,1,4,-5.054885482190011
37,2,1,-0.05544421475188953
37,2,2,0.0
37,2,3,-0.07894991866845281
37,2,4,-1.39414015535818
37,3,1,-0.7978289172862787
37,3,2,0.07894991866845281
37,3,3,0.0
37,3,4,-1.0418675872624763
37,4,1,5.054885482190011
37,4,2,1.39414015535818
37,4,3,1.0418675872624763
