oos_period,variant,row_model,col_model,sigma
20,legacy,1,1,0.0
20,legacy,1,2,1e-06
20,legacy,1,3,0.2198385948326176
20,legacy,1,4,1e-06
20,legacy,2,1,1e-06
20,legacy,2,2,0.0
20,legacy,2,3,0.3404052799374276
20,legacy,2,4,1e-06
20,legacy,3,1,0.2198385948326176
20,legacy,3,2,0.3404052799374276
20,legacy,3,3,0.0
20,legacy,3,4,0.24835782968347087
20,legacy,4,1,1e-06
20,legacy,4,2,1e-06
20,legacy,4,3,0.24835782968347087
20,legacy,4,4,0.0
21,legacy,1,1,0.0
21,legacy,1,2,0.24128350907461305
21,legacy,1,3,0.5170385262175567
21,legacy,1,4,1e-06
21,legacy,2,1,0.24128350907461305
21,legacy,2,2,0.0
21,legacy,2,3,1e-06
21,legacy,2,4,1e-06
21,legacy,3,1,0.5170385262175567
21,legacy,3,2,1e-06
21,legacy,3,3,0.0
21,legacy,3,4,0.13110202790099243
21,legacy,4,1,1e-06
21,legacy,4,2,1e-06
21,legacy,4,3,0.13110202790099243
21,legacy,4,4,0.0
22,legacy,1,1,0.0
22,legacy,1,2,0.5410676436810715
22,legacy,1,3,0.15038338877393756
22,legacy,1,4,1e-06
22,legacy,2,1,0.5410676436810715
22,legacy,2,2,0.0
22,legacy,2,3,0.8462805100565959
22,legacy,2,4,0.24478615060966005
22,legacy,3,1,0.15038338877393756
22,legacy,3,2,0.8462805100565959
22,legacy,3,3,0.0
22,legacy,3,4,1e-06
22,legacy,4,1,1e-06
22,legacy,4,2,0.24478615060966005
22,legacy,4,3,1e-06
22,legacy,4,4,0.0
23,legacy,1,1,0.0
23,legacy,1,2,1e-06
23,legacy,1,3,0.13356069943721396
23,legacy,1,4,1e-06
23,legacy,2,1,1e-06
23,legacy,2,2,0.0
23,legacy,2,3,0.7538051767045906
23,legacy,2,4,1e-06
23,legacy,3,1,0.13356069943721396
23,legacy,3,2,0.7538051767045906
23,legacy,3,3,0.0
23,legacy,3,4,0.15900173668043588
