oos_period,row_model,col_model,sigma_matrice
20,1,1,0.0
20,1,2,1e-06
20,1,3,0.21983859483261747
20,1,4,1e-06
20,2,1,1e-06
20,2,2,0.0
20,2,3,0.3404052799374277
20,2,4,1e-06
20,3,1,0.21983859483261747
20,3,2,0.3404052799374277
20,3,3,0.0
20,3,4,0.24835782968347034
20,4,1,1e-06
20,4,2,1e-06
20,4,3,0.24835782968347034
20,4,4,0.0
21,1,1,0.0
21,1,2,0.24128350907461246
21,1,3,0.09559723088313361
21,1,4,1e-06
21,2,1,0.24128350907461246
21,2,2,0.0
21,2,3,1e-06
21,2,4,1e-06
21,3,1,0.09559723088313361
21,3,2,1e-06
21,3,3,0.0
21,3,4,0.1311020279009927
21,4,1,1e-06
21,4,2,1e-06
21,4,3,0.1311020279009927
21,4,4,0.0
22,1,1,0.0
22,1,2,0.5410676436810717
22,1,3,0.06558526513816464
22,1,4,1e-06
22,2,1,0.5410676436810717
22,2,2,0.0
22,2,3,0.21721845403287035
22,2,4,0.24478615060966014
22,3,1,0.06558526513816464
22,3,2,0.21721845403287035
22,3,3,0.0
22,3,4,1e-06
22,4,1,1e-06
22,4,2,0.24478615060966014
22,4,3,1e-06
22,4,4,0.0
23,1,1,0.0
23,1,2,1e-06
23,1,3,0.15115031611183236
23,1,4,1e-06
23,2,1,1e-06
23,2,2,0.0
23,2,3,0.7538051767045907
23,2,4,1e-06
23,3,1,0.15115031611183236
23,3,2,0.7538051767045907
23,3,3,0.0
23,3,4,0.2903261762562754
23,4,1,1e-06
23,4,2,1e-06
23,4,3,0.2903261762562754
23,4,4,0.0
24,1,1,0.0
24,1,2,1e-06
24,1,3,0.1586998877454323
24,1,4,1e-06
24,2,1,1e-06
24,2,2,0.0
24,2,3,0.6671337333351691
24,2,4,1e-06
24,3,1,0.1586998877454323
24,3,2,0.6671337333351691
24,3,3,0.0
24,3,4,0.1929888772610583
24,4,1,1e-06
24,4,2,1e-06
24,4,3,0.1929888772610583
24,4,4,0.0
25,1,1,0.0
25,1,2,1e-06
25,1,3,1e-06
25,1,4,1e-06
25,2,1,1e-06
25,2,2,0.0
25,2,3,0.5231463564599884
25,2,4,1e-06
25,3,1,1e-06
25,3,2,0.5231463564599884
25,3,3,0.0
25,3,4,1e-06
25,4,1,1e-06
25,4,2,1e-06
25,4,3,1e-06
25,4,4,0.0
26,1,1,0.0
26,1,2,1e-06
26,1,3,1e-06
26,1,4,1e-06
26,2,1,1e-06
26,2,2,0.0
26,2,3,1e-06
26,2,4,1e-06
26,3,1,1e-06
26,3,2,1e-06
26,3,3,0.0
26,3,4,0.05074450264621994
26,4,1,1e-06
26,4,2,1e-06
26,4,3,0.05074450264621994
26,4,4,0.0
27,1,1,0.0
27,1,2,1e-06
27,1,3,1e-06
27,1,4,1e-06
27,2,1,1e-06
27,2,2,0.0
27,2,3,1e-06
27,2,4,1e-06
27,3,1,1e-06
27,3,2,1e-06
27,3,3,0.0
27,3,4,1e-06
27,4,1,1e-06
27,4,2,1e-06
27,4,3,1e-06
27,4,4,0.0
28,1,1,0.0
28,1,2,0.03611622702368736
28,1,3,1e-06
28,1,4,1e-06
28,2,1,0.03611622702368736
28,2,2,0.0
28,2,3,1e-06
28,2,4,1e-06
28,3,1,1e-06
28,3,2,1e-06
28,3,3,0.0
28,3,4,1e-06
28,4,1,1e-06
28,4,2,1e-06
28,4,3,1e-06
28,4,4,0.0
29,1,1,0.0
29,1,2,0.09911293364097143
29,1,3,1e-06
29,1,4,1e-06
29,2,1,0.09911293364097143
29,2,2,0.0
29,2,3,1e-06
29,2,4,1e-06
29,3,1,1e-06
29,3,2,1e-06
29,3,3,0.0
29,3,4,1e-06
29,4,1,1e-06
29,4,2,1e-06
29,4,3,1e-06
29,4,4,0.0
30,1,1,0.0
30,1,2,1e-06
30,1,3,0.05683557157388096
30,1,4,1e-06
30,2,1,1e-06
30,2,2,0.0
30,2,3,1e-06
30,2,4,1e-06
30,3,1,0.05683557157388096
30,3,2,1e-06
30,3,3,0.0
30,3,4,0.15386061615400848
30,4,1,1e-06
30,4,2,1e-06
30,4,3,0.15386061615400848
30,4,4,0.0
31,1,1,0.0
31,1,2,1e-06
31,1,3,1e-06
31,1,4,1e-06
31,2,1,1e-06
31,2,2,0.0
31,2,3,0.07327098712726424
31,2,4,1e-06
31,3,1,1e-06
31,3,2,0.07327098712726424
31,3,3,0.0
31,3,4,1e-06
31,4,1,1e-06
31,4,2,1e-06
31,4,3,1e-06
31,4,4,0.0
32,1,1,0.0
32,1,2,0.07150409175609952
32,1,3,1e-06
32,1,4,1e-06
32,2,1,0.07150409175609952
32,2,2,0.0
32,2,3,0.13720174166467045
32,2,4,1e-06
32,3,1,1e-06
32,3,2,0.13720174166467045
32,3,3,0.0
32,3,4,1e-06
32,4,1,1e-06
32,4,2,1e-06
32,4,3,1e-06
32,4,4,0.0
33,1,1,0.0
33,1,2,0.10082205441724208
33,1,3,1e-06
33,1,4,1e-06
33,2,1,0.10082205441724208
33,2,2,0.0
33,2,3,1e-06
33,2,4,1e-06
33,3,1,1e-06
33,3,2,1e-06
33,3,3,0.0
33,3,4,0.15652440440052146
33,4,1,1e-06
33,4,2,1e-06
33,4,3,0.15652440440052146
33,4,4,0.0
34,1,1,0.0
34,1,2,0.0651316394245316
34,1,3,1e-06
34,1,4,1e-06
34,2,1,0.0651316394245316
34,2,2,0.0
34,2,3,0.24451270894086982
34,2,4,1e-06
34,3,1,1e-06
34,3,2,0.24451270894086982
34,3,3,0.0
34,3,4,0.2301844407068605
34,4,1,1e-06
34,4,2,1e-06
34,4,3,0.2301844407068605
34,4,4,0.0
35,1,1,0.0
35,1,2,1e-06
35,1,3,0.11067442109027345
35,1,4,1e-06
35,2,1,1e-06
35,2,2,0.0
35,2,3,0.2237017555009713
35,2,4,1e-06
35,3,1,0.11067442109027345
35,3,2,0.2237017555009713
35,3,3,0.0
35,3,4,1e-06
35,4,1,1e-06
35,4,2,1e-06
35,4,3,1e-06
35,4,4,0.0
36,1,1,0.0
36,1,2,1e-06
36,1,3,0.11117241353857674
36,1,4,1e-06
36,2,1,1e-06
36,2,2,0.0
36,2,3,0.18300888921286568
36,2,4,1e-06
36,3,1,0.11117241353857674
36,3,2,0.18300888921286568
36,3,3,0.0
36,3,4,1e-06
36,4,1,1e-06
36,4,2,1e-06
36,4,3,1e-06
36,4,4,0.0
37,1,1,0.0
37,1,2,0.3984682431238223
37,1,3,1e-06
37,1,4,0.5644442504936114
37,2,1,0.3984682431238223
37,2,2,0.0
37,2,3,0.1809356686736749
37,2,4,0.021377014682237266
37,3,1,1e-06
37,3,2,0.1809356686736749
37,3,3,0.0
37,3,4,0.2793520349767048
37,4,1,0.5644442504936114
37,4,2,0.021377014682237266
37,4,3,0.2793520349767048
37,4,4,0.0
38,1,1,0.0
38,1,2,0.3690462182202242
38,1,3,0.3824953940458303
38,1,4,1e-06
38,2,1,0.3690462182202242
38,2,2,0.0
38,2,3,0.1722391959010989
38,2,4,0.09753942108166633
38,3,1,0.3824953940458303
38,3,2,0.1722391959010989
38,3,3,0.0
38,3,4,0.2122929226011699
38,4,1,1e-06
38,4,2,0.09753942108166633
38,4,3,0.2122929226011699
38,4,4,0.0
39,1,1,0.0
39,1,2,0.315806247398658
39,1,3,1e-06
39,1,4,1e-06
39,2,1,0.315806247398658
39,2,2,0.0
39,2,3,0.1517494890444808
39,2,4,0.31435911765547575
39,3,1,1e-06
39,3,2,0.1517494890444808
39,3,3,0.0
39,3,4,0.15675028279815867
39,4,1,1e-06
39,4,2,0.31435911765547575
39,4,3,0.15675028279815867
39,4,4,0.0
40,1,1,0.0
40,1,2,0.5272059078952529
40,1,3,0.24079977354919813
40,1,4,1e-06
40,2,1,0.5272059078952529
40,2,2,0.0
40,2,3,0.11321977194913786
40,2,4,1e-06
40,3,1,0.24079977354919813
40,3,2,0.11321977194913786
40,3,3,0.0
40,3,4,1e-06
40,4,1,1e-06
40,4,2,1e-06
40,4,3,1e-06
40,4,4,0.0
41,1,1,0.0
41,1,2,0.5869647097991366
41,1,3,0.3518249929576196
41,1,4,1.346148171251013
41,2,1,0.5869647097991366
41,2,2,0.0
41,2,3,0.3239455709522312
41,2,4,1e-06
41,3,1,0.3518249929576196
41,3,2,0.3239455709522312
41,3,3,0.0
41,3,4,0.6019155694301949
41,4,1,1.346148171251013
41,4,2,1e-06
41,4,3,0.6019155694301949
41,4,4,0.0
42,1,1,0.0
42,1,2,1.2972161333986676
42,1,3,1e-06
42,1,4,1.774485273554545
42,2,1,1.2972161333986676
42,2,2,0.0
42,2,3,0.3193306454823201
42,2,4,0.5345534524273087
42,3,1,1e-06
42,3,2,0.3193306454823201
42,3,3,0.0
42,3,4,0.5774634314863429
42,4,1,1.774485273554545
42,4,2,0.5345534524273087
42,4,3,0.5774634314863429
42,4,4,0.0
43,1,1,0.0
43,1,2,3.258373880992146
43,1,3,1.1031930669927783
43,1,4,3.929485043300708
43,2,1,3.258373880992146
43,2,2,0.0
43,2,3,0.3516994381319474
43,2,4,0.9828840705138686
43,3,1,1.1031930669927783
43,3,2,0.3516994381319474
43,3,3,0.0
43,3,4,0.4852172451833802
43,4,1,3.929485043300708
43,4,2,0.9828840705138686
43,4,3,0.4852172451833802
43,4,4,0.0
44,1,1,0.0
44,1,2,1e-06
44,1,3,0.6379109895187275
44,1,4,1e-06
44,2,1,1e-06
44,2,2,0.0
44,2,3,0.3088307192951016
44,2,4,1e-06
44,3,1,0.6379109895187275
44,3,2,0.3088307192951016
44,3,3,0.0
44,3,4,1e-06
44,4,1,1e-06
44,4,2,1e-06
44,4,3,1e-06
44,4,4,0.0
45,1,1,0.0
45,1,2,3.7015685581558513
45,1,3,3.897066016352929
45,1,4,2.3920814908415515
45,2,1,3.7015685581558513
45,2,2,0.0
45,2,3,1.7765125095337944
45,2,4,0.690760375693381
45,3,1,3.897066016352929
45,3,2,1.7765125095337944
45,3,3,0.0
45,3,4,1.1002109804763893
45,4,1,2.3920814908415515
45,4,2,0.690760375693381
45,4,3,1.1002109804763893
45,4,4,0.0
46,1,1,0.0
46,1,2,2.8431411801845954
46,1,3,2.768087049702271
46,1,4,1e-06
46,2,1,2.8431411801845954
46,2,2,0.0
46,2,3,1e-06
46,2,4,4.226313534165705
46,3,1,2.768087049702271
46,3,2,1e-06
46,3,3,0.0
46,3,4,2.844230339392544
46,4,1,1e-06
46,4,2,4.226313534165705
46,4,3,2.844230339392544
46,4,4,0.0
47,1,1,0.0
47,1,2,9.544039503890936
47,1,3,1e-06
47,1,4,4.9337182556919235
47,2,1,9.544039503890936
47,2,2,0.0
47,2,3,2.020793920606504
47,2,4,4.141445553185031
47,3,1,1e-06
47,3,2,2.020793920606504
47,3,3,0.0
47,3,4,4.597051224181341
47,4,1,4.9337182556919235
47,4,2,4.141445553185031
47,4,3,4.597051224181341
47,4,4,0.0
48,1,1,0.0
48,1,2,7.774282368151191
48,1,3,4.893572935277122
48,1,4,9.327047585280477
48,2,1,7.774282368151191
48,2,2,0.0
48,2,3,3.0542084554509144
48,2,4,4.086973327053114
48,3,1,4.893572935277122
48,3,2,3.0542084554509144
48,3,3,0.0
48,3,4,11.53560331797117
48,4,1,9.327047585280477
48,4,2,4.086973327053114
48,4,3,11.53560331797117
48,4,4,0.0
49,1,1,0.0
49,1,2,8.310688235455208
49,1,3,3.059807948474469
49,1,4,1e-06
49,2,1,8.310688235455208
49,2,2,0.0
49,2,3,1e-06
49,2,4,3.585164464115001
49,3,1,3.059807948474469
49,3,2,1e-06
49,3,3,0.0
49,3,4,1e-06
49,4,1,1e-06
49,4,2,3.585164464115001
49,4,3,1e-06
49,4,4,0.0
