TARGET_PERIOD,16,23,24,89,actual,period_dt,actual_level,actual_lag1
2011-09-01,-0.7000000000000002,-0.8000000000000003,-1.0000000000000002,-1.1,0.2999999999999998,2011-09-01,3.0,2.7
2011-12-01,-1.0,-1.1,-0.7999999999999998,-1.2,-0.20000000000000018,2011-12-01,2.8,3.0
2012-03-01,-0.3999999999999999,-1.2999999999999998,-1.1999999999999997,-0.9999999999999998,-0.09999999999999964,2012-03-01,2.7,2.8
2012-06-01,-0.6000000000000001,-1.1,-0.8000000000000003,-0.8000000000000003,-0.30000000000000027,2012-06-01,2.4,2.7
2012-09-01,-0.5999999999999999,-1.0,-0.7,-0.7999999999999998,0.20000000000000018,2012-09-01,2.6,2.4
2012-12-01,-0.8,-1.4000000000000001,-0.8,-0.8,-0.3999999999999999,2012-12-01,2.2,2.6
2013-03-01,-0.10000000000000009,-0.5000000000000002,0.0,-0.20000000000000018,-0.5000000000000002,2013-03-01,1.7,2.2
2013-06-01,-0.09999999999999987,0.30000000000000004,0.0,0.10000000000000009,-0.09999999999999987,2013-06-01,1.6,1.7
2013-09-01,0.2999999999999998,0.2999999999999998,0.09999999999999987,0.2999999999999998,-0.5,2013-09-01,1.1,1.6
2013-12-01,0.7999999999999998,0.8999999999999999,0.3999999999999999,1.1,-0.30000000000000004,2013-12-01,0.8,1.1
2014-03-01,0.30000000000000004,0.7,0.8,1.0999999999999999,-0.30000000000000004,2014-03-01,0.5,0.8
2014-06-01,0.7,1.1,1.1,1.1,0.0,2014-06-01,0.5,0.5
2014-09-01,0.8,0.8999999999999999,1.1,0.8999999999999999,-0.2,2014-09-01,0.3,0.5
2014-12-01,0.8999999999999999,0.8999999999999999,0.8,1.0999999999999999,-0.5,2014-12-01,-0.2,0.3
2015-03-01,1.3,1.4,1.4,1.5999999999999999,0.1,2015-03-01,-0.1,-0.2
2015-06-01,0.9,1.3,1.3,1.5,0.6,2015-06-01,0.5,-0.1
2015-09-01,0.09999999999999998,0.7,0.7,0.8,-0.3,2015-09-01,0.2,0.5
2015-12-01,0.3,0.49999999999999994,1.1,1.6,0.0,2015-12-01,0.2,0.2
2016-03-01,0.3,0.8,1.2,1.5,-0.2,2016-03-01,0.0,0.2
2016-06-01,0.7,1.1,1.2711864407,1.6,0.1,2016-06-01,0.1,0.0
2016-09-01,0.6,1.5999999999999999,0.9998000000000001,1.4,0.30000000000000004,2016-09-01,0.4,0.1
