oos_period,row_model,col_model,adjacency_matrice
20,1,1,0.0
20,1,2,0.0
20,1,3,0.0
20,1,4,0.0
20,1,5,0.0
20,1,6,0.0
20,1,7,4653.53851444542
20,1,8,11049.53526456813
20,1,9,0.0
20,1,10,0.0
20,1,11,0.0
20,2,1,0.0
20,2,2,0.0
20,2,3,0.0
20,2,4,1287.1287128713122
20,2,5,1270.146303855946
20,2,6,0.0
20,2,7,4851.485148514879
20,2,8,0.0
20,2,9,1895.5607924077344
20,2,10,0.0
20,2,11,3168.3168316831843
20,3,1,0.0
20,3,2,0.0
20,3,3,0.0
20,3,4,1287.128712871301
20,3,5,1485.148514851536
20,3,6,0.0
20,3,7,3168.3168316831843
20,3,8,0.0
20,3,9,0.0
20,3,10,0.0
20,3,11,0.0
20,4,1,0.0
20,4,2,0.0
20,4,3,0.0
20,4,4,0.0
20,4,5,0.0
20,4,6,0.31284190117539634
20,4,7,0.0
20,4,8,0.0
20,4,9,0.0
20,4,10,0.0
20,4,11,0.0
20,5,1,0.0
20,5,2,0.0
20,5,3,0.0
20,5,4,393.2362782576052
20,5,5,0.0
20,5,6,2.881641379300947
20,5,7,3366.336633663349
20,5,8,13069.306930693068
20,5,9,0.0
20,5,10,0.0
20,5,11,0.0
20,6,1,0.0
20,6,2,0.0
20,6,3,0.0
20,6,4,0.0
20,6,5,0.0
20,6,6,0.0
20,6,7,0.0
20,6,8,0.0
20,6,9,0.0
20,6,10,0.0
20,6,11,1.3012957885034744
20,7,1,0.0
20,7,2,0.0
20,7,3,0.0
20,7,4,0.0
20,7,5,0.0
20,7,6,0.0
20,7,7,0.0
20,7,8,0.0
20,7,9,0.0
20,7,10,0.0
20,7,11,0.0
20,8,1,0.0
20,8,2,0.0
20,8,3,0.0
20,8,4,4455.445544554467
20,8,5,0.0
20,8,6,4455.445544554467
20,8,7,4455.445544554467
20,8,8,0.0
20,8,9,0.0
20,8,10,0.0
20,8,11,0.0
20,9,1,0.0
20,9,2,0.0
20,9,3,495.0495049504759
20,9,4,1683.168316831678
20,9,5,0.0
20,9,6,1683.168316831678
20,9,7,1683.168316831678
20,9,8,0.0
20,9,9,0.0
20,9,10,0.0
20,9,11,1683.168316831678
20,10,1,0.0
20,10,2,2079.207920792042
20,10,3,2079.207920792056
20,10,4,1166.7240766174577
20,10,5,0.0
20,10,6,21.576996110277456
20,10,7,0.0
20,10,8,13069.306930693068
20,10,9,0.0
20,10,10,0.0
20,10,11,0.0
20,11,1,0.0
20,11,2,0.0
20,11,3,0.0
20,11,4,0.0
20,11,5,0.0
20,11,6,0.0
20,11,7,5643.564356435675
20,11,8,0.0
20,11,9,0.0
20,11,10,0.0
20,11,11,0.0
21,1,1,0.0
21,1,2,0.0
21,1,3,4611.38336332913
21,1,4,6829.536577419686
21,1,5,210.8802521124898
21,1,6,7621.048278927906
21,1,7,5445.668223049395
21,1,8,9194.938409571643
21,1,9,8063.380302787114
21,1,10,1259.865058469379
21,1,11,2.402959574445887
21,2,1,455.6628046136585
21,2,2,0.0
21,2,3,0.0
21,2,4,0.0
21,2,5,639.5353940563635
21,2,6,0.0
21,2,7,1558.8058658636696
21,2,8,0.0
21,2,9,880.8574539060525
21,2,10,297.0297029702985
21,2,11,0.0
21,3,1,0.0
21,3,2,0.0
21,3,3,0.0
21,3,4,0.0
21,3,5,0.0
21,3,6,0.0
21,3,7,0.0
