oos_period,centrality_type,alpha,gamma
20,eigenvector,0.1,0.1
21,eigenvector,0.1,0.1
22,eigenvector,0.1,0.1
23,eigenvector,0.1,0.1
24,eigenvector,0.1,0.1
25,eigenvector,0.0,0.5
26,eigenvector,0.5,0.5
27,eigenvector,5.0,0.001
28,eigenvector,2.0,0.001
29,eigenvector,5.0,0.1
30,eigenvector,2.0,1.0
31,eigenvector,1.0,0.5
32,eigenvector,0.0,0.1
33,eigenvector,0.5,0.1
34,eigenvector,0.5,0.01
35,eigenvector,2.0,0.05
36,eigenvector,0.1,0.001
37,eigenvector,0.0,0.001
38,eigenvector,0.0,0.001
39,eigenvector,0.0,0.001
40,eigenvector,0.0,0.001
41,eigenvector,0.0,0.001
42,eigenvector,0.0,0.001
43,eigenvector,0.5,0.001
44,eigenvector,0.5,0.001
45,eigenvector,0.5,0.1
46,eigenvector,0.5,0.1
47,eigenvector,0.0,0.5
48,eigenvector,0.0,1.0
49,eigenvector,2.0,1.0
50,eigenvector,0.5,0.01
51,eigenvector,0.0,0.5
52,eigenvector,0.0,0.5
53,eigenvector,0.0,0.1
54,eigenvector,0.0,0.001
55,eigenvector,0.1,0.001
56,eigenvector,0.1,0.001
57,eigenvector,0.01,0.001
58,eigenvector,0.0,0.001
59,eigenvector,0.05,0.001
60,eigenvector,0.5,0.001
61,eigenvector,0.1,0.001
62,eigenvector,0.5,0.05
63,eigenvector,0.5,0.001
64,eigenvector,0.0,0.1
65,eigenvector,0.0,0.1
66,eigenvector,2.0,0.001
67,eigenvector,0.0,0.001
68,eigenvector,0.0,0.001
69,eigenvector,0.5,0.1
70,eigenvector,5.0,0.001
71,eigenvector,0.5,0.01
72,eigenvector,2.0,0.001
73,eigenvector,2.0,0.001
74,eigenvector,2.0,1.0
75,eigenvector,5.0,0.001
76,eigenvector,0.1,0.001
77,eigenvector,1.0,0.01
78,eigenvector,1.0,0.5
79,eigenvector,0.0,0.01
20,pagerank,0.1,0.1
21,pagerank,0.1,0.1
22,pagerank,0.1,0.1
23,pagerank,0.1,0.1
24,pagerank,0.1,0.1
25,pagerank,0.0,0.5
26,pagerank,0.0,0.5
27,pagerank,5.0,0.05
28,pagerank,5.0,0.001
29,pagerank,0.0,0.5
30,pagerank,2.0,0.5
31,pagerank,1.0,0.1
32,pagerank,2.0,0.5
33,pagerank,5.0,0.05
34,pagerank,5.0,0.001
35,pagerank,5.0,0.1
36,pagerank,0.0,0.001
37,pagerank,0.5,0.001
38,pagerank,0.0,0.001
39,pagerank,0.0,0.001
40,pagerank,0.0,0.001
41,pagerank,0.0,0.001
42,pagerank,0.0,0.001
43,pagerank,5.0,0.001
44,pagerank,0.5,0.001
45,pagerank,1.0,0.01
46,pagerank,2.0,0.1
47,pagerank,0.0,0.5
48,pagerank,0.0,1.0
49,pagerank,0.0,1.0
50,pagerank,0.0,1.0
51,pagerank,0.0,0.5
52,pagerank,0.0,0.5
53,pagerank,0.0,0.1
54,pagerank,0.0,0.001
55,pagerank,0.1,0.001
56,pagerank,0.5,0.001
57,pagerank,0.1,0.001
58,pagerank,0.0,0.001
59,pagerank,0.0,0.001
60,pagerank,0.5,0.001
61,pagerank,0.5,0.001
62,pagerank,0.1,0.001
63,pagerank,5.0,0.001
64,pagerank,5.0,0.001
65,pagerank,0.0,0.1
66,pagerank,0.5,0.05
67,pagerank,0.0,0.001
68,pagerank,0.0,0.001
69,pagerank,1.0,0.05
70,pagerank,2.0,0.05
71,pagerank,5.0,0.01
72,pagerank,0.5,0.05
73,pagerank,0.5,0.01
74,pagerank,5.0,1.0
75,pagerank,2.0,0.001
76,pagerank,5.0,0.001
77,pagerank,5.0,0.001
78,pagerank,0.5,0.1
79,pagerank,0.0,0.01
20,softmax,0.1,0.1
21,softmax,0.1,0.1
22,softmax,0.1,0.1
23,softmax,0.1,0.1
24,softmax,0.1,0.1
25,softmax,5.0,0.001
26,softmax,5.0,0.5
27,softmax,0.0,0.5
28,softmax,5.0,0.5
29,softmax,5.0,0.001
30,softmax,5.0,1.0
31,softmax,5.0,0.1
32,softmax,5.0,0.5
33,softmax,0.1,0.01
34,softmax,2.0,0.01
35,softmax,2.0,0.001
36,softmax,0.1,0.001
37,softmax,0.0,0.001
38,softmax,0.0,0.001
39,softmax,0.0,0.001
40,softmax,0.0,0.001
41,softmax,0.0,0.001
42,softmax,0.0,0.001
43,softmax,5.0,0.05
44,softmax,1.0,0.001
45,softmax,1.0,0.001
46,softmax,1.0,0.001
47,softmax,0.0,0.5
48,softmax,0.0,1.0
49,softmax,0.0,1.0
50,softmax,5.0,0.1
51,softmax,0.0,0.5
52,softmax,0.0,0.5
53,softmax,0.0,0.1
54,softmax,0.0,0.001
55,softmax,0.1,0.001
56,softmax,0.5,0.001
57,softmax,0.5,0.001
58,softmax,0.0,0.001
59,softmax,1.0,0.001
60,softmax,1.0,0.001
61,softmax,1.0,0.001
62,softmax,0.0,0.001
63,softmax,5.0,0.001
64,softmax,0.0,0.1
65,softmax,0.0,0.1
66,softmax,0.1,0.001
67,softmax,0.0,0.001
68,softmax,0.5,0.001
69,softmax,5.0,0.001
70,softmax,5.0,0.001
71,softmax,5.0,0.5
72,softmax,5.0,0.5
73,softmax,2.0,0.1
74,softmax,5.0,0.001
75,softmax,5.0,0.001
76,softmax,1.0,0.001
77,softmax,0.5,0.001
78,softmax,2.0,0.05
79,softmax,2.0,0.01
