oos_period,centrality_type,model,centrality_score
20,eigenvector,1,0.28596396474361
20,eigenvector,2,0.0855295947527217
20,eigenvector,3,0.09852344770398566
20,eigenvector,4,0.04299451841598603
20,eigenvector,5,0.060719226449721816
20,eigenvector,6,0.04297251928373264
20,eigenvector,7,0.042967913898880716
20,eigenvector,8,0.02835140350430659
20,eigenvector,9,0.11880124549028044
20,eigenvector,10,0.1467528074097861
20,eigenvector,11,0.04642335834598823
21,eigenvector,1,0.457953514067865
21,eigenvector,2,0.14650017547407057
21,eigenvector,3,0.1037183611818998
21,eigenvector,4,0.05521719728813217
21,eigenvector,5,2.2910572356577218e-11
21,eigenvector,6,1.4472899011706224e-11
21,eigenvector,7,1.4472899011706224e-11
21,eigenvector,8,0.10013026951835406
21,eigenvector,9,0.13647748431938841
21,eigenvector,10,2.9980808857731557e-06
21,eigenvector,11,1.6547811827755044e-11
22,eigenvector,1,0.695027976298855
22,eigenvector,2,0.023134992076623753
22,eigenvector,3,0.06020340697823093
22,eigenvector,4,0.1105909768456222
22,eigenvector,5,0.007526024212679398
22,eigenvector,6,0.004102239825927915
22,eigenvector,7,0.007129853386940432
22,eigenvector,8,0.005329717757399307
22,eigenvector,9,0.03519287560466073
22,eigenvector,10,0.051761936938604015
22,eigenvector,11,7.345602206928986e-11
23,eigenvector,1,0.12169389681930828
23,eigenvector,2,0.006296562061656693
23,eigenvector,3,0.006356215163803641
23,eigenvector,4,0.0454097712139827
23,eigenvector,5,0.005024911190602246
23,eigenvector,6,0.012523888214329789
23,eigenvector,7,0.017893008666781274
23,eigenvector,8,0.0038509318480418383
23,eigenvector,9,0.3418275950236575
23,eigenvector,10,0.41310158508213535
23,eigenvector,11,0.026021634714700717
24,eigenvector,1,0.0660186415225902
24,eigenvector,2,0.08774349278744259
24,eigenvector,3,0.14001730146688518
24,eigenvector,4,0.009889785386276254
24,eigenvector,5,0.32979627587954413
24,eigenvector,6,0.00552103208977814
24,eigenvector,7,0.007293582804466601
24,eigenvector,8,5.810890050378559e-11
24,eigenvector,9,0.11591391315081012
24,eigenvector,10,0.11043706394331877
24,eigenvector,11,0.12736891090977906
25,eigenvector,1,0.2177052728794502
25,eigenvector,2,0.06076787739095283
25,eigenvector,3,3.64113303878029e-10
25,eigenvector,4,0.06780682751604043
25,eigenvector,5,0.00013130860766953208
25,eigenvector,6,1.5617236364956448e-10
25,eigenvector,7,0.217979967681474
25,eigenvector,8,6.279750300260584e-11
25,eigenvector,9,0.22905348714176946
25,eigenvector,10,4.522323023059403e-10
25,eigenvector,11,0.20655525774632796
26,eigenvector,1,0.05352472715060472
26,eigenvector,2,0.03715253584037231
26,eigenvector,3,0.012550613837297876
26,eigenvector,4,0.21894280216194803
26,eigenvector,5,0.05594934805426772
26,eigenvector,6,0.006196688148626176
26,eigenvector,7,0.18663115553577198
26,eigenvector,8,0.006196688148626176
26,eigenvector,9,0.14312798039289834
26,eigenvector,10,0.13178368994455136
26,eigenvector,11,0.14794377078403512
27,eigenvector,1,0.19100974781092217
27,eigenvector,2,0.024083299969230722
27,eigenvector,3,0.05781080747503054
27,eigenvector,4,0.13390247965150223
27,eigenvector,5,0.07766021493436989
27,eigenvector,6,0.051540094936715804
27,eigenvector,7,0.0680196330945806
27,eigenvector,8,0.09963641854415786
27,eigenvector,9,0.14021930767963592
27,eigenvector,10,0.09177310568194852
27,eigenvector,11,0.0643448902209057
28,eigenvector,1,0.054925558572714854
28,eigenvector,2,0.18255962732891082
28,eigenvector,3,0.015832803154470037
28,eigenvector,4,0.06907863164046316
28,eigenvector,5,0.024653171521670268
28,eigenvector,6,0.09382802046656896
28,eigenvector,7,0.01605190451798644
28,eigenvector,8,0.06764139518027074
28,eigenvector,9,0.15168164076286836
28,eigenvector,10,0.21136650029576878
28,eigenvector,11,0.11238074655730759
29,eigenvector,1,0.08775631527253108
29,eigenvector,2,0.043840327272964094
29,eigenvector,3,0.056773747161695344
29,eigenvector,4,0.04843068104518169
29,eigenvector,5,0.13279462721681065
29,eigenvector,6,0.11673285704171237
29,eigenvector,7,0.08059809580120095
29,eigenvector,8,0.13574104461607223
29,eigenvector,9,0.05883063180986083
29,eigenvector,10,0.21327273166413963
29,eigenvector,11,0.025228941096831086
30,eigenvector,1,0.4031823259335993
30,eigenvector,2,0.07610564434022546
30,eigenvector,3,0.04462057665854996
30,eigenvector,4,0.022430888472101628
30,eigenvector,5,0.08726451928253384
30,eigenvector,6,0.13437946306388998
30,eigenvector,7,0.19722168302258608
30,eigenvector,8,0.01089388835349989
30,eigenvector,9,0.01006331326177976
30,eigenvector,10,0.013755881915043474
30,eigenvector,11,8.181569519063397e-05
31,eigenvector,1,9.934552276590246e-05
31,eigenvector,2,0.0012239930067812423
31,eigenvector,3,0.19411738377592888
31,eigenvector,4,5.659277831817751e-10
31,eigenvector,5,0.0005811921611940769
31,eigenvector,6,0.00029527890297579906
31,eigenvector,7,0.7126068707795741
31,eigenvector,8,0.0497965064673284
31,eigenvector,9,0.006833566970378682
31,eigenvector,10,0.0002540164832923213
31,eigenvector,11,0.0341918453628527
32,eigenvector,1,1.954186472495896e-05
32,eigenvector,2,1.0394797102981733e-08
32,eigenvector,3,0.003720668336655651
32,eigenvector,4,1.9393842048816445e-07
32,eigenvector,5,1.0264403134676963e-07
32,eigenvector,6,1.0394797415183146e-08
32,eigenvector,7,0.006135199770253131
32,eigenvector,8,0.00320694746052085
32,eigenvector,9,1.0811525933921501e-08
32,eigenvector,10,1.3149168665358394e-08
32,eigenvector,11,0.9869173012341045
33,eigenvector,1,0.046662150485621424
33,eigenvector,2,8.873343806582473e-12
33,eigenvector,3,0.23141446559935436
33,eigenvector,4,0.0014873394309856403
33,eigenvector,5,0.008572489353695903
33,eigenvector,6,0.008030388116636773
33,eigenvector,7,0.05210444682239387
33,eigenvector,8,0.005025739529545492
33,eigenvector,9,0.17867581145023895
33,eigenvector,10,2.264884955701395e-06
33,eigenvector,11,0.46802490431669846
34,eigenvector,1,0.00690891819591208
34,eigenvector,2,0.003958306894371605
34,eigenvector,3,0.8673915208519756
34,eigenvector,4,0.00012253783577118708
34,eigenvector,5,9.60865632805142e-07
34,eigenvector,6,0.004190668075290061
34,eigenvector,7,0.021037078105268017
34,eigenvector,8,0.007554586277172798
34,eigenvector,9,0.026243665821572126
34,eigenvector,10,2.7970376561064715e-06
34,eigenvector,11,0.0625889600383774
35,eigenvector,1,0.00788780787342564
35,eigenvector,2,0.05529621938589552
35,eigenvector,3,0.30589125288406227
35,eigenvector,4,0.13852820962089266
35,eigenvector,5,4.324949960654126e-06
35,eigenvector,6,0.1190739891340529
35,eigenvector,7,0.1341274150492329
35,eigenvector,8,0.07952382582999508
35,eigenvector,9,0.06020691158355792
35,eigenvector,10,0.004835556618885494
35,eigenvector,11,0.09462448706903885
36,eigenvector,1,0.18105088385036588
36,eigenvector,2,0.2765156399300698
36,eigenvector,3,0.18431890278537716
36,eigenvector,4,5.75210102444037e-12
36,eigenvector,5,1.3329539571348683e-05
36,eigenvector,6,0.026472886186285186
36,eigenvector,7,5.093788398295657e-05
36,eigenvector,8,5.7519543200451534e-12
36,eigenvector,9,0.23967299829538757
36,eigenvector,10,0.03963186788232356
36,eigenvector,11,0.05227255363413258
37,eigenvector,1,0.00020547757197150661
37,eigenvector,2,0.10678216979485496
37,eigenvector,3,0.019794114516399203
37,eigenvector,4,1.2112262090521842e-05
37,eigenvector,5,0.33482080634990213
37,eigenvector,6,0.03280056028261401
37,eigenvector,7,0.05507017186898409
37,eigenvector,8,0.29236593664773186
37,eigenvector,9,0.07254700708805023
37,eigenvector,10,0.038551230564729214
37,eigenvector,11,0.047050413051672256
38,eigenvector,1,0.059687038040846796
38,eigenvector,2,0.10674111451894909
38,eigenvector,3,2.288243532745843e-12
38,eigenvector,4,1.5283300706936217e-12
38,eigenvector,5,0.03771632477536785
38,eigenvector,6,0.40100953419051005
38,eigenvector,7,0.1853954928415037
38,eigenvector,8,0.06431892882308435
38,eigenvector,9,0.10674111452093593
38,eigenvector,10,0.03839045228267938
38,eigenvector,11,1.306153218673925e-12
39,eigenvector,1,0.03833239082561367
39,eigenvector,2,9.445412773765795e-05
39,eigenvector,3,6.810032883565194e-12
39,eigenvector,4,1.1507380258144621e-11
39,eigenvector,5,0.20909893447629618
39,eigenvector,6,0.10334515876537541
39,eigenvector,7,0.00019074297484572813
39,eigenvector,8,0.13185984124174469
39,eigenvector,9,0.09951485809126738
39,eigenvector,10,0.40645844212842214
39,eigenvector,11,0.011105177349379602
40,eigenvector,1,0.21328857653547048
40,eigenvector,2,0.009850811942301472
40,eigenvector,3,0.0003666762023290816
40,eigenvector,4,0.05740004574371735
40,eigenvector,5,0.02284793217134835
40,eigenvector,6,0.08878246305889044
40,eigenvector,7,0.08783821996823926
40,eigenvector,8,0.25725379539728954
40,eigenvector,9,0.026209400372000948
40,eigenvector,10,0.10230891224922621
40,eigenvector,11,0.13385316635818698
41,eigenvector,1,0.00021561061861491123
41,eigenvector,2,0.042253735055590595
41,eigenvector,3,0.013228044256840571
41,eigenvector,4,0.6172274007048477
41,eigenvector,5,0.023582999527128896
41,eigenvector,6,0.11142591365642478
41,eigenvector,7,4.4241113260913694e-11
41,eigenvector,8,0.16495658797590435
41,eigenvector,9,4.4531657697706594e-11
41,eigenvector,10,0.012686145034218103
41,eigenvector,11,0.014423563080657316
42,eigenvector,1,0.12491086502903223
