oos_period,model,centrality_score
20,1,2.1127437050005825e-05
20,2,0.0426425145596364
20,3,0.00039574976567584096
20,4,9.759782793206797e-10
20,5,2.4971220134834723e-05
20,6,1.7944446789738734e-09
20,7,9.699884527771075e-10
20,8,1.787855510720873e-07
20,9,0.002091530431298484
20,10,0.9548238646803168
20,11,5.937892520372992e-08
21,1,0.7867101071357941
21,2,0.10438322429239709
21,3,3.3975079454343157e-06
21,4,0.10886206162778753
21,5,8.278194595252123e-11
21,6,3.8437566051603025e-11
21,7,3.8437566051603025e-11
21,8,3.8437566051603025e-11
21,9,3.8437566051603025e-11
21,10,3.928497721747081e-05
21,11,1.924221326005947e-06
22,1,0.8290211576773056
22,2,0.01356323487695575
22,3,0.00816656246370681
22,4,0.09597632102168727
22,5,1.2646925667549981e-09
22,6,4.085104538791171e-05
22,7,5.6374835404300146e-05
22,8,1.7668711919133175e-10
22,9,0.02854279834118858
22,10,0.02463269811929718
22,11,1.7668711919133175e-10
23,1,0.14971869246139097
23,2,0.0189701060503324
23,3,0.010005341518299878
23,4,2.7435210462324624e-09
23,5,2.452574875063306e-10
23,6,9.253396062891271e-10
23,7,0.007303685509862297
23,8,2.452574875063306e-10
23,9,0.27031959085567164
23,10,0.44232268399800745
23,11,0.10135989544605978
24,1,0.12341496090339953
24,2,0.1219282027267884
24,3,0.32371260066657764
24,4,0.013295399612819343
24,5,0.06750076724274487
24,6,0.006341085210147128
24,7,0.007746936731640926
24,8,7.162742697892192e-11
24,9,0.14896031937590035
24,10,0.12260939190348506
24,11,0.06449033555386931
25,1,0.35811326434531615
25,2,0.010774328476656202
25,3,1.5984727252591768e-10
25,4,0.039084031472796515
25,5,7.680415955156547e-05
25,6,1.5984727252591768e-10
25,7,0.42430138608635265
25,8,1.5984727252591768e-10
25,9,0.10500558897489237
25,10,4.721760307501735e-10
25,11,0.06264459553171668
26,1,0.010773219112981987
26,2,1.0607194685649834e-09
26,3,1.0607194685649834e-09
26,4,0.09651108147435462
26,5,1.752924460972184e-08
26,6,1.0607194685649834e-09
26,7,0.6161416441693796
26,8,1.0607194685649834e-09
26,9,0.15466787681471175
26,10,0.01953211722914536
26,11,0.10237403942630395
27,1,0.0008793094837611042
27,2,3.733821421657887e-07
27,3,6.489168445060704e-09
27,4,0.22406909027325686
27,5,2.3063304508470352e-05
27,6,0.0038331200175861454
27,7,0.000838142233545919
27,8,6.489168445060704e-09
27,9,0.07207180429771894
27,10,0.6917105844658802
27,11,0.006574499562263183
28,1,0.22044263543861803
28,2,0.13019858002179407
28,3,0.14358954590436487
28,4,0.06807152128562431
28,5,0.00448714165564049
28,6,0.039116746518753374
28,7,0.015993743794079737
28,8,8.58671544756141e-11
28,9,0.19973797636963803
28,10,0.16810828388821406
28,11,0.010253825036405652
29,1,0.0773555433851274
29,2,0.045097596845683395
29,3,2.2968558113047077e-10
29,4,0.016425110391498896
29,5,0.11119063856337633
29,6,0.2723977691688848
29,7,0.0345491170197908
29,8,0.08325582016054484
29,9,0.08411659320512743
29,10,0.2756118107995948
29,11,2.2968558113047077e-10
30,1,0.5342014193162509
30,2,0.06818250462981505
30,3,0.040586874939146145
30,4,0.0081342806228265
30,5,0.0724496148079855
30,6,0.11082747578638809
30,7,0.11133619008997048
30,8,0.026532221795148997
30,9,0.019265033832188774
30,10,0.008349798050007818
30,11,0.00013458612927182514
31,1,0.0014715969009252284
31,2,0.012845541215831242
31,3,0.31043769762744533
31,4,0.0009435162292509553
31,5,0.006292080890275869
31,6,0.013203802592480919
