oos_period,full_gcsr_eigenvector,full_gcsr_v2_eigenvector,full_gcsr_pagerank,full_gcsr_v2_pagerank,full_gcsr_softmax,full_gcsr_v2_softmax,graph_only_eigenvector,graph_only_v2_eigenvector,graph_only_pagerank,graph_only_v2_pagerank,graph_only_softmax,graph_only_v2_softmax,rs_selection,rs_selection_v2,bates_granger_mv,var_error,recent_best
20,-0.012694959818274565,-0.028941987286956905,-0.013510171707824481,-0.01845214103770626,-0.007426941978288193,-0.009831431975269811,-0.02763272898899316,-0.079820663344155,-0.023373922723518237,-0.04537772197569581,-0.00898435580202045,-0.020940412442166434,-0.11324380165289438,-0.11324380165289438,0.045122170024681774,-0.07074380164501698,-0.11324380165289438
21,-0.01156299906962252,-0.03420435009956466,-0.020217821403878677,-0.019996579961862923,-0.0025634294298542,-0.006451746551209059,-0.05051164332477653,-0.11931097841410127,-0.06228960928379636,-0.07077827811233653,-0.010960471090204801,-0.03294583956794926,-0.12267493112947843,-0.1561761656973791,0.14812514795296555,-0.08017493111692287,-0.17163172125293574
22,-0.011634473767144004,-0.03427724584341231,-0.01960829813538781,-0.019429004314794496,-0.0013757871135848497,-0.005274768504282386,-0.060548129915974594,-0.12933140724543365,-0.06781315091632056,-0.07745658707771355,-0.012299627927221803,-0.036607914988983345,-0.12899643141125972,-0.16249766597916038,0.1718036476745442,-0.07212470178205463,-0.14795322153471724
23,-0.04346321311480349,-0.0569169285041152,-0.04760204265366172,-0.0457388024021482,-0.02919959382597506,-0.03241178936939738,-0.10300375462735058,-0.09178042504423409,-0.08556732922107678,-0.07490786154182702,-0.014892371447880717,-0.03646599280713543,-0.17792205124597027,-0.21142328581387093,0.15187193824098566,-0.06749907040925121,-0.24687884136942778
24,-0.04531120850229305,-0.05818947895496941,-0.04917808552311957,-0.04695404544903814,-0.030225406941315234,-0.033429629998262905,-0.10208895938237188,-0.09344062783659543,-0.08620187338148974,-0.07663250882389346,-0.015821013907410784,-0.037671250410803075,-0.16998816694844965,-0.21348940151635024,0.15301849764247724,-0.0662798294836641,-0.23894495707190716
25,-0.04533168075793278,-0.048210140110494154,-0.0491985577787593,-0.04616371347396337,-0.030087465364982986,-0.03295799186800326,-0.10079312475561679,-0.09035173181226,-0.0858045718250652,-0.07159503970469051,-0.015772710919495864,-0.03747782197311997,-0.14750882810547433,-0.19101006267337495,0.1571500092804252,-0.026300490637729414,-0.22896561822893186
26,-0.04202290981235681,-0.05489020330187192,-0.04588978683318333,-0.0502983295574812,-0.027636074637395865,-0.02964922092242729,-0.10216871602225827,-0.0941208473559355,-0.0870623818630696,-0.07337090050068641,-0.015935209230110197,-0.04109852282744027,-0.1442030429815075,-0.19770427754940803,0.160455794402872,-0.02299470551528296,-0.14565983310496505
27,-0.007180761055026713,-0.052351326632713725,-0.028082352691540212,-0.0504057380383205,-0.02679662323732909,-0.03332530136040091,-0.07636954494030446,-0.09926559407043445,-0.08390083390782212,-0.0772268997755257,-0.015914243233379553,-0.04535444068989343,-0.10936089422117677,-0.1628621287890773,0.1633979431618723,0.0118474432478878,-0.11081768434463433
28,-0.011435094818893547,0.022289664508481737,-0.035061607221111325,-0.0502262562489588,-0.024911325337916634,-0.033145819571039216,-0.07687789768110909,-0.0703928251376054,-0.08354457576073272,-0.06868960185289184,-0.015503346627577973,-0.04351045866217022,-0.10694220225096965,-0.0804434368188702,0.31319332698100144,0.014266135219495052,-0.07839899237442742
29,0.003009707680579423,0.03647371326321557,-0.02087755846637749,0.01663503337112642,-0.011500739435853374,-0.01896177081630538,-0.0707271271239438,-0.01020214350279268,-0.08578144230586686,-0.04575467467521345,-0.015705316487839998,-0.0408250257750284,-0.04292457689625662,-0.09350338513037149,0.4247109523424156,-0.006677852220135819,0.5931186329802861
