oos_period,row_model,col_model,mu_matrice
20,1,1,0.0
20,1,2,0.0
20,1,3,0.0
20,1,4,0.0
20,1,5,0.0
20,1,6,0.0
20,1,7,-0.4700073899589875
20,1,8,-1.1160030617213812
20,1,9,0.0
20,1,10,0.0
20,1,11,0.0
20,2,1,-0.0
20,2,2,0.0
20,2,3,0.0
20,2,4,-0.13000000000000253
20,2,5,-0.12828477668945054
20,2,6,0.0
20,2,7,-0.4900000000000028
20,2,8,0.0
20,2,9,-0.1914516400331812
20,2,10,0.20999999999999622
20,2,11,-0.3200000000000016
20,3,1,-0.0
20,3,2,-0.0
20,3,3,0.0
20,3,4,-0.13000000000000142
20,3,5,-0.15000000000000513
20,3,6,0.0
20,3,7,-0.3200000000000016
20,3,8,0.0
20,3,9,0.04999999999999807
20,3,10,0.20999999999999766
20,3,11,0.0
20,4,1,-0.0
20,4,2,0.13000000000000253
20,4,3,0.13000000000000142
20,4,4,0.0
20,4,5,0.039716864104018125
20,4,6,-0.08643818737457613
20,4,7,0.0
20,4,8,0.4500000000000012
20,4,9,0.16999999999999948
20,4,10,0.11783913173836323
20,4,11,0.0
20,5,1,-0.0
20,5,2,0.12828477668945054
20,5,3,0.15000000000000513
20,5,4,-0.039716864104018125
20,5,5,0.0
20,5,6,-0.29602241741311036
20,5,7,-0.33999999999999825
20,5,8,-1.3199999999999998
20,5,9,0.0
20,5,10,0.0
20,5,11,0.0
20,6,1,-0.0
20,6,2,-0.0
20,6,3,-0.0
20,6,4,0.08643818737457613
20,6,5,0.29602241741311036
20,6,6,0.0
20,6,7,0.0
20,6,8,0.4500000000000012
20,6,9,0.16999999999999948
20,6,10,0.002179276607138023
20,6,11,-0.37577203066735493
20,7,1,0.4700073899589875
20,7,2,0.4900000000000028
20,7,3,0.3200000000000016
20,7,4,-0.0
20,7,5,0.33999999999999825
20,7,6,-0.0
20,7,7,0.0
20,7,8,0.4500000000000012
20,7,9,0.16999999999999948
20,7,10,0.0
20,7,11,0.5700000000000032
20,8,1,1.1160030617213812
20,8,2,-0.0
20,8,3,-0.0
20,8,4,-0.4500000000000012
20,8,5,1.3199999999999998
20,8,6,-0.4500000000000012
20,8,7,-0.4500000000000012
20,8,8,0.0
20,8,9,0.0
20,8,10,1.3199999999999998
20,8,11,0.0
20,9,1,-0.0
20,9,2,0.1914516400331812
20,9,3,-0.04999999999999807
20,9,4,-0.16999999999999948
20,9,5,-0.0
20,9,6,-0.16999999999999948
20,9,7,-0.16999999999999948
20,9,8,-0.0
20,9,9,0.0
20,9,10,0.0
20,9,11,-0.16999999999999948
20,10,1,-0.0
20,10,2,-0.20999999999999622
20,10,3,-0.20999999999999766
20,10,4,-0.11783913173836323
20,10,5,-0.0
20,10,6,-0.002179276607138023
20,10,7,-0.0
20,10,8,-1.3199999999999998
20,10,9,-0.0
20,10,10,0.0
20,10,11,0.0
20,11,1,-0.0
20,11,2,0.3200000000000016
20,11,3,-0.0
20,11,4,-0.0
20,11,5,-0.0
20,11,6,0.37577203066735493
20,11,7,-0.5700000000000032
20,11,8,-0.0
20,11,9,0.16999999999999948
20,11,10,-0.0
20,11,11,0.0
21,1,1,0.0
21,1,2,0.04602194326597951
21,1,3,-0.46574971969624207
21,1,4,-0.6897831943193883
21,1,5,-0.02129890546336147
21,1,6,-0.7697258761717185
21,1,7,-0.550012490527989
21,1,8,-0.928688779366736
