method,oos_period,model,weight
full_gcsr_eigenvector,20,15,1.2572014807464455e-17
full_gcsr_eigenvector,20,16,0.0318866775984945
full_gcsr_eigenvector,20,22,0.07703523163089648
full_gcsr_eigenvector,20,23,0.021671931316472222
full_gcsr_eigenvector,20,24,0.09050199469545514
full_gcsr_eigenvector,20,37,0.04723941410105199
full_gcsr_eigenvector,20,39,0.019360363276390725
full_gcsr_eigenvector,20,89,1.4955068824040083e-18
full_gcsr_eigenvector,20,94,0.04231421096013405
full_gcsr_eigenvector,20,95,0.5021124257886206
full_gcsr_eigenvector,20,96,0.1678777506314844
full_gcsr_eigenvector,21,15,0.04597289948054102
full_gcsr_eigenvector,21,16,0.0841940355829057
full_gcsr_eigenvector,21,22,0.11884364666413745
full_gcsr_eigenvector,21,23,0.08829359868782848
full_gcsr_eigenvector,21,24,0.11963307730673109
full_gcsr_eigenvector,21,37,0.0948981123967036
full_gcsr_eigenvector,21,39,0.05566650746384538
full_gcsr_eigenvector,21,89,0.0
full_gcsr_eigenvector,21,94,0.07537444513511668
full_gcsr_eigenvector,21,95,0.11074930896199559
full_gcsr_eigenvector,21,96,0.20637436831919495
full_gcsr_eigenvector,22,15,0.059346662245594366
full_gcsr_eigenvector,22,16,0.07425451961483023
full_gcsr_eigenvector,22,22,0.12847993244555972
full_gcsr_eigenvector,22,23,0.04549035559087965
full_gcsr_eigenvector,22,24,0.10922443629121949
full_gcsr_eigenvector,22,37,0.1020300045776913
full_gcsr_eigenvector,22,39,0.07309465912149973
full_gcsr_eigenvector,22,89,2.989338089535046e-18
full_gcsr_eigenvector,22,94,0.08692384836450767
full_gcsr_eigenvector,22,95,0.08418707918169917
full_gcsr_eigenvector,22,96,0.23696850256551846
full_gcsr_eigenvector,23,15,0.0
full_gcsr_eigenvector,23,16,0.06350612675826563
full_gcsr_eigenvector,23,22,0.15552806301325978
full_gcsr_eigenvector,23,23,0.0
full_gcsr_eigenvector,23,24,0.09138556728265314
full_gcsr_eigenvector,23,37,0.05172075144683217
full_gcsr_eigenvector,23,39,0.08662637443355696
full_gcsr_eigenvector,23,89,0.0
full_gcsr_eigenvector,23,94,0.1637734261215629
full_gcsr_eigenvector,23,95,0.14467433932462603
full_gcsr_eigenvector,23,96,0.2427853516182433
full_gcsr_eigenvector,24,15,0.0
full_gcsr_eigenvector,24,16,0.08855168635335815
full_gcsr_eigenvector,24,22,0.2493035500865495
full_gcsr_eigenvector,24,23,0.0
full_gcsr_eigenvector,24,24,0.09030629219972704
full_gcsr_eigenvector,24,37,0.06257727612351162
full_gcsr_eigenvector,24,39,0.10244364074568788
full_gcsr_eigenvector,24,89,0.0
full_gcsr_eigenvector,24,94,0.12985643634668723
full_gcsr_eigenvector,24,95,0.03991888813676945
full_gcsr_eigenvector,24,96,0.23704223000670913
full_gcsr_eigenvector,25,15,0.017773872420357995
full_gcsr_eigenvector,25,16,0.09792837685951301
full_gcsr_eigenvector,25,22,0.12667321308840185
full_gcsr_eigenvector,25,23,0.061269074719637294
full_gcsr_eigenvector,25,24,0.10402133186269928
full_gcsr_eigenvector,25,37,0.10654391979346363
full_gcsr_eigenvector,25,39,0.11226672481576985
full_gcsr_eigenvector,25,89,0.048036973389607815
full_gcsr_eigenvector,25,94,0.10543792986558709
full_gcsr_eigenvector,25,95,0.07456158437383213
full_gcsr_eigenvector,25,96,0.14548699881013005
full_gcsr_eigenvector,26,15,0.007643683847632805
full_gcsr_eigenvector,26,16,0.08796739751836935
full_gcsr_eigenvector,26,22,0.1288428919915928
full_gcsr_eigenvector,26,23,0.06747159543134018
full_gcsr_eigenvector,26,24,0.11382957410520365
