oos_period,window,validation_loss
20,20,
21,20,
22,20,
23,20,
24,20,
25,20,
26,20,
27,20,
28,20,
29,20,
30,20,
31,20,
32,20,
33,20,
34,20,
35,20,
36,20,
37,20,
38,20,
39,20,
40,20,
41,20,
42,20,
43,20,
44,20,
45,20,
46,20,
47,20,
48,20,
49,20,
50,20,
51,20,
52,20,
53,20,
54,20,
55,20,
56,20,
57,20,
58,20,
59,20,
60,20,
61,20,
62,20,
63,20,
64,20,
65,20,
66,20,
67,20,
68,20,
69,20,
70,20,
71,20,
72,20,
73,20,
74,20,
75,20,
76,20,
77,20,
78,20,
79,20,
20,40,
21,40,
22,40,
23,40,
24,40,
25,40,
26,40,
27,40,
28,40,
29,40,
30,40,
31,40,
32,40,
33,40,
34,40,
35,40,
36,40,
37,40,
38,40,
39,40,
40,40,
41,40,
42,40,
43,40,
44,40,
45,40,
46,40,
47,40,
48,40,
49,40,
50,40,
51,40,
52,40,
53,40,
54,40,
55,40,
56,40,
57,40,
58,40,
59,40,
60,40,
61,40,
62,40,
63,40,
64,40,
65,40,
66,40,
67,40,
68,40,
69,40,
70,40,
71,40,
72,40,
73,40,
74,40,
75,40,
76,40,
77,40,
78,40,
79,40,
20,60,
21,60,
22,60,
23,60,
24,60,
25,60,
26,60,
27,60,
28,60,
29,60,
30,60,
31,60,
32,60,
33,60,
34,60,
35,60,
36,60,
37,60,
38,60,
39,60,
40,60,
41,60,
42,60,
43,60,
44,60,
45,60,
46,60,
47,60,
48,60,
49,60,
50,60,
51,60,
52,60,
53,60,
54,60,
55,60,
56,60,
57,60,
58,60,
59,60,
60,60,
61,60,
62,60,
63,60,
64,60,
65,60,
66,60,
67,60,
68,60,
69,60,
70,60,
71,60,
72,60,
73,60,
74,60,
75,60,
76,60,
77,60,
78,60,
79,60,
