oos_period,variant,row_model,col_model,adjacency
20,legacy,1,1,0.0
20,legacy,1,2,0.0
20,legacy,1,3,0.0
20,legacy,1,4,7397.914464039015
20,legacy,1,5,0.0
20,legacy,1,6,0.0
20,legacy,1,7,6144.688393158598
20,legacy,1,8,8990.28769734447
20,legacy,1,9,0.0
20,legacy,1,10,8060.683911894985
20,legacy,1,11,1.9503053132263717
20,legacy,2,1,0.0
20,legacy,2,2,0.0
20,legacy,2,3,0.0
20,legacy,2,4,0.0
20,legacy,2,5,619.5330194636759
20,legacy,2,6,9.8077051122973e-11
20,legacy,2,7,792.0792079207924
20,legacy,2,8,2307.765558683943
20,legacy,2,9,720.5103695427739
20,legacy,2,10,0.6205118017339847
20,legacy,2,11,792.0792079207914
20,legacy,3,1,0.0
20,legacy,3,2,0.0
20,legacy,3,3,0.0
20,legacy,3,4,0.0
20,legacy,3,5,0.45215483338743456
20,legacy,3,6,21.56822946232854
20,legacy,3,7,9.8077051122973e-11
20,legacy,3,8,2307.765558683943
20,legacy,3,9,305.43955923749616
20,legacy,3,10,847.3442196697656
20,legacy,3,11,9.8077051122973e-11
20,legacy,4,1,0.0
20,legacy,4,2,1386.1386138613789
20,legacy,4,3,1386.1386138613852
20,legacy,4,4,0.0
20,legacy,4,5,1790.6694223294758
20,legacy,4,6,814.6989724373409
20,legacy,4,7,2178.217821782167
20,legacy,4,8,5735.8685639169435
20,legacy,4,9,742.57425742576
20,legacy,4,10,0.0
20,legacy,4,11,543.0036608668288
20,legacy,5,1,0.0
20,legacy,5,2,0.0
20,legacy,5,3,0.0
20,legacy,5,4,0.0
20,legacy,5,5,0.0
20,legacy,5,6,4.872431871586841
20,legacy,5,7,1731.3122181750232
20,legacy,5,8,5735.8685639169435
20,legacy,5,9,0.0
20,legacy,5,10,0.0
20,legacy,5,11,495.0495049504911
20,legacy,6,1,0.0
20,legacy,6,2,0.0
20,legacy,6,3,0.0
20,legacy,6,4,0.0
20,legacy,6,5,0.0
20,legacy,6,6,0.0
20,legacy,6,7,0.0
20,legacy,6,8,3324.1965540882265
20,legacy,6,9,0.0
20,legacy,6,10,0.0
20,legacy,6,11,0.0
20,legacy,7,1,0.0
20,legacy,7,2,0.0
20,legacy,7,3,0.0
