oos_period,row_model,col_model,adjacency_matrice
20,1,1,0.0
20,1,2,0.0
20,1,3,5130.529579659926
20,1,4,7397.914464039011
20,1,5,473.51666442117266
20,1,6,8212.61343647636
20,1,7,6144.688393158596
20,1,8,0.0
20,1,9,0.4106996854874793
20,1,10,8060.683911894985
20,1,11,1.9503053132263728
20,2,1,4.079154122041217
20,2,2,0.0
20,2,3,0.0
20,2,4,0.0
20,2,5,619.5330194636754
20,2,6,1980.1980198019874
20,2,7,792.079207920788
20,2,8,3267.3267326732685
20,2,9,720.5103695427754
20,2,10,0.6205118017339831
20,2,11,0.0
20,3,1,0.0
20,3,2,0.0
20,3,3,0.0
20,3,4,0.0
20,3,5,0.45213795959905734
20,3,6,1980.1980198019874
20,3,7,1980.1980198019874
20,3,8,3267.3267326732685
20,3,9,0.0
20,3,10,0.0
20,3,11,0.0
20,4,1,0.0
20,4,2,1386.1386138613768
20,4,3,1386.1386138613866
20,4,4,0.0
20,4,5,1790.6694223294758
20,4,6,814.6989724373412
20,4,7,2178.2178217821656
20,4,8,0.0
20,4,9,0.0
20,4,10,0.0
20,4,11,99.00990099009408
20,5,1,0.0
20,5,2,0.0
20,5,3,0.0
20,5,4,0.0
20,5,5,0.0
20,5,6,0.0
20,5,7,1731.3122181750232
20,5,8,396.0396039603842
20,5,9,0.0
20,5,10,0.0
20,5,11,0.0
20,6,1,0.0
20,6,2,0.0
20,6,3,0.0
20,6,4,0.0
20,6,5,0.0
20,6,6,0.0
20,6,7,0.0
20,6,8,1287.128712871281
20,6,9,420.79207920793607
20,6,10,0.0
20,6,11,0.0
20,7,1,0.0
20,7,2,0.0
20,7,3,0.0
20,7,4,0.0
20,7,5,0.0
20,7,6,0.0
20,7,7,0.0
20,7,8,1287.128712871281
20,7,9,420.79207920793607
20,7,10,0.0
20,7,11,0.0
20,8,1,0.0
20,8,2,0.0
20,8,3,0.0
20,8,4,0.0
20,8,5,0.0
20,8,6,0.0
20,8,7,0.0
20,8,8,0.0
20,8,9,0.0
20,8,10,0.0
20,8,11,0.0
20,9,1,0.0
20,9,2,0.0
20,9,3,0.0
20,9,4,470.2970297029608
20,9,5,0.0
20,9,6,0.0
20,9,7,0.0
20,9,8,2846.534653465327
20,9,9,0.0
20,9,10,470.2970297029608
20,9,11,0.0
20,10,1,0.0
20,10,2,0.0
20,10,3,0.0
20,10,4,0.5427569505928149
20,10,5,0.0
20,10,6,0.0
20,10,7,99.00990099009408
20,10,8,396.0396039603842
20,10,9,0.0
20,10,10,0.0
20,10,11,99.00990099009408
20,11,1,0.0
20,11,2,0.0
20,11,3,309.0347438070785
20,11,4,0.0
20,11,5,0.0
20,11,6,1513.3567503314653
20,11,7,0.0
20,11,8,0.8962467798774973
20,11,9,420.79207920793607
20,11,10,0.0
20,11,11,0.0
21,1,1,0.0
21,1,2,8.709234012670931
21,1,3,0.0
21,1,4,1026.5928611959998
21,1,5,221.48092682296195
21,1,6,7505.778825649731
21,1,7,1.3078925064544789
21,1,8,7251.704845028597
21,1,9,0.0
21,1,10,0.49442663440848816
21,1,11,2.376683910171623
21,2,1,0.0
21,2,2,0.0
21,2,3,0.0
21,2,4,0.0
21,2,5,31.70361554196334
21,2,6,0.0
21,2,7,0.0
21,2,8,0.0
21,2,9,299.52899152288603
21,2,10,0.7124198157519713
21,2,11,0.0
21,3,1,886.9206801450605
