oos_period,model,centrality_score
20,1,0.9786946902728156
20,2,0.0010101395278450589
20,3,0.0008844778077048565
20,4,0.01912851542254265
20,5,7.372713248121109e-07
20,6,1.495210879000915e-08
20,7,1.495210879000915e-08
20,8,6.259295940542699e-10
20,9,0.0002027290669631488
20,10,7.852367203089162e-05
20,11,1.564276256894375e-07
21,1,0.2744786897762888
21,2,0.013681897659364523
21,3,0.14521392360583502
21,4,0.2151217093527715
21,5,0.004618351891556386
21,6,0.03201448363503875
21,7,0.0790723476819933
21,8,0.16916590292207162
21,9,0.05495102625097284
21,10,0.011355511024067977
21,11,0.0003261561990393618
22,1,0.1227901162949593
22,2,0.19389469519310637
22,3,0.05188016003734573
22,4,0.07064437763299573
22,5,0.015461195161011269
22,6,0.07276449060950141
22,7,0.10896291887968115
22,8,0.01745856680162415
22,9,0.1559963862995324
22,10,0.12095158899597569
22,11,0.06919550409326669
23,1,0.03389239227727673
23,2,0.10050271164363717
23,3,0.21116684432872446
23,4,0.015736077773757875
23,5,0.16017710749334882
23,6,0.07878100687559829
23,7,0.07878100687559829
23,8,1.746759767242081e-11
23,9,0.17320102098358678
23,10,0.10571583479925623
23,11,0.04204599693074768
24,1,0.16668537039565526
24,2,0.07184337888402142
24,3,0.024802164659351946
24,4,0.08264639855966131
24,5,0.09471662524166398
24,6,0.012060576106050156
24,7,0.11207546276058661
24,8,0.07793994754530961
24,9,0.19011790339126153
24,10,0.016023346231299213
24,11,0.15108882622413886
25,1,0.10107757384090041
25,2,0.0007196937100317301
25,3,0.03848163237821671
25,4,0.020332066968928714
25,5,0.005674746234163161
25,6,4.654904191979709e-06
25,7,0.6542444462271501
25,8,0.08136918885893632
25,9,0.058347839801038526
25,10,0.010849238906623686
25,11,0.028898918168818417
26,1,0.198462810476955
26,2,0.034745926110612474
26,3,0.05281967909427135
26,4,0.13274219815916616
26,5,0.017370582861540303
26,6,0.021538467597878082
26,7,0.021252969826662423
26,8,0.09477305006284403
26,9,0.1682930801430004
26,10,0.134284854063198
26,11,0.12371638160287164
27,1,0.08562199057779545
27,2,0.1991373636423458
27,3,0.03397369348855622
27,4,0.14616627635816293
27,5,0.011042198741668034
27,6,0.17435238188045277
27,7,0.044166290596117305
27,8,0.07527212844151303
27,9,0.0928181047567337
27,10,0.1019490044208515
27,11,0.03550056709480306
28,1,0.09560950800527461
28,2,0.040074221782626276
28,3,0.0396037325604116
28,4,0.018672545677810577
28,5,0.20781558776768036
28,6,0.16727843421247007
28,7,0.07896061384849591
28,8,0.12846542583896667
28,9,0.11512705838481159
28,10,0.09396033847523563
28,11,0.014432533445216623
29,1,0.003089780812147584
29,2,0.006911035684241196
29,3,0.2582904071630136
29,4,0.032677905836960175
29,5,0.025226423707117543
29,6,0.09374233087386998
29,7,0.28395274220569594
29,8,0.23752302557966623
29,9,0.005440581965960192
29,10,0.0528477404513073
29,11,0.0002980257190202766
30,1,5.507997933030542e-05
30,2,0.10176430063878782
30,3,0.2655989330612588
30,4,3.3870436802658043e-11
30,5,0.00482023768484887
30,6,6.366900456650052e-09
30,7,0.29002840769971944
30,8,0.09307473118415674
30,9,0.15157984518072184
30,10,0.05924703752899397
30,11,0.033831420640411246
31,1,0.012660538138453142
31,2,4.249247806599603e-11
31,3,0.1555647312368994
31,4,0.015146105543096658
31,5,0.13598510209000195
31,6,0.060894263629384826
31,7,0.20167344441832624
31,8,0.0025917363503719887
31,9,0.06725145844706416
31,10,0.008623391962383977
31,11,0.3396092281405252
32,1,0.21466660537049775
32,2,1.308763062297595e-11
32,3,0.04298157532878279
32,4,0.004961526027222543
32,5,0.01635911248476173
32,6,0.023830801894805548
32,7,0.13718740654885947
32,8,0.010334314027418912
32,9,0.139928038141831
32,10,1.3616354949471323e-05
32,11,0.40973700380678324
33,1,0.0003690119239565073
33,2,0.012762066068293937
33,3,0.8977975198844034
33,4,8.427918902307819e-06
33,5,6.633147691078953e-06
33,6,0.00010131200826742316
33,7,0.07157537632130204
33,8,0.0006178952215050412
33,9,0.012185145344519057
33,10,3.4122900908916556e-05
33,11,0.004542489259250309
34,1,0.01700295553916931
34,2,0.07611472101145089
34,3,0.49457308227995306
34,4,0.0709528562646629
34,5,9.9910973494067e-08
34,6,0.10759809330083635
34,7,0.08284068464577866
34,8,0.037436197001209266
34,9,0.0656179039146738
34,10,4.869611067463038e-05
34,11,0.04781471001961756
35,1,0.04059225061265133
35,2,0.14714964741274883
35,3,0.05458453978348985
