oos_period,row_model,col_model,mu_matrice
20,1,1,0.0
20,1,2,0.0
20,1,3,0.0
20,1,4,-0.7471893608679405
20,1,5,0.0
20,1,6,0.0
20,1,7,-0.6206135277090185
20,1,8,-0.9080190574317916
20,1,9,0.0
20,1,10,-0.8141290751013934
20,1,11,-0.44145150662948784
20,2,1,-0.0
20,2,2,0.0
20,2,3,0.0
20,2,4,0.13999999999999926
20,2,5,-0.06257283496583127
20,2,6,-9.905782163420273e-15
20,2,7,-0.08000000000000004
20,2,8,-0.23308432142707822
20,2,9,-0.07277154732382017
20,2,10,-0.1797435598508286
20,2,11,-0.07999999999999993
20,3,1,-0.0
20,3,2,-0.0
20,3,3,0.0
20,3,4,0.1399999999999999
20,3,5,-0.03622078737943901
20,3,6,-0.07999999999999993
20,3,7,-9.905782163420273e-15
20,3,8,-0.23308432142707822
20,3,9,-0.03084939548298711
20,3,10,-0.08558176618664633
20,3,11,-9.905782163420273e-15
20,4,1,0.7471893608679405
20,4,2,-0.13999999999999926
20,4,3,-0.1399999999999999
20,4,4,0.0
20,4,5,-0.18085761165527706
20,4,6,-0.08228459621617143
20,4,7,-0.2199999999999989
20,4,8,-0.5793227249556113
20,4,9,-0.07500000000000176
20,4,10,0.034508940265461946
20,4,11,-0.05484336974754971
20,5,1,-0.0
20,5,2,0.06257283496583127
20,5,3,0.03622078737943901
20,5,4,0.18085761165527706
20,5,5,0.0
20,5,6,-0.08541573527952405
20,5,7,-0.17486253403567734
20,5,8,-0.5793227249556113
20,5,9,0.00926707252966423
20,5,10,0.1383064648746327
20,5,11,-0.0499999999999996
20,6,1,-0.0
20,6,2,9.905782163420273e-15
20,6,3,0.07999999999999993
20,6,4,0.08228459621617143
20,6,5,0.08541573527952405
20,6,6,0.0
20,6,7,0.0
20,6,8,-0.3357438519629109
20,6,9,0.14499999999999785
20,6,10,0.012472860140895
20,6,11,0.15284903178347795
20,7,1,0.6206135277090185
20,7,2,0.08000000000000004
20,7,3,9.905782163420273e-15
20,7,4,0.2199999999999989
20,7,5,0.17486253403567734
20,7,6,-0.0
20,7,7,0.0
20,7,8,-0.3357438519629109
20,7,9,0.03456186711380385
20,7,10,0.0499999999999996
20,7,11,0.0
20,8,1,0.9080190574317916
20,8,2,0.23308432142707822
20,8,3,0.23308432142707822
20,8,4,0.5793227249556113
20,8,5,0.5793227249556113
20,8,6,0.3357438519629109
20,8,7,0.3357438519629109
20,8,8,0.0
20,8,9,0.3703057190767148
20,8,10,0.5793227249556113
20,8,11,0.12339758193198515
20,9,1,-0.0
20,9,2,0.07277154732382017
20,9,3,0.03084939548298711
20,9,4,0.07500000000000176
20,9,5,-0.00926707252966423
20,9,6,-0.14499999999999785
20,9,7,-0.03456186711380385
20,9,8,-0.3703057190767148
20,9,9,0.0
20,9,10,-0.037704816701443114
20,9,11,-0.06512650157521899
20,10,1,0.8141290751013934
20,10,2,0.1797435598508286
20,10,3,0.08558176618664633
20,10,4,-0.034508940265461946
20,10,5,-0.1383064648746327
20,10,6,-0.012472860140895
20,10,7,-0.0499999999999996
20,10,8,-0.5793227249556113
20,10,9,0.037704816701443114
20,10,10,0.0
20,10,11,0.0
20,11,1,0.44145150662948784
20,11,2,0.07999999999999993
20,11,3,9.905782163420273e-15
20,11,4,0.05484336974754971
20,11,5,0.0499999999999996
20,11,6,-0.15284903178347795
20,11,7,-0.0
